dataset_source,repo_name,latest_commit,repo_dir,repo_dir_exists,commit_exists,error
control,BiancoChiu/iOSRealRun-cli-18,cbae4f82e572aaa30402dd48b620095af563b68c,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BiancoChiu_iOSRealRun-cli-18,1,1,
control,BiancoChiu/iOSRealRun-cli-18,87c1f190c78839acead294e745990692fed6d80d,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BiancoChiu_iOSRealRun-cli-18,1,1,
control,C4NU/Paddie,af78d9ca13262dfd0eb4a863bd582284ea452fab,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/C4NU_Paddie,1,1,
control,C4NU/Paddie,d3420b46f68925d6f95c5353d0a4a279ae49d00f,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/C4NU_Paddie,1,1,
control,C4NU/Paddie,46fe27201a0aaf26672fd5deec435ff61c53e8b7,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/C4NU_Paddie,1,1,
control,C4NU/Paddie,1a14eff63d31b1ad0ab3a0691bfb5aa0df680cae,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/C4NU_Paddie,1,1,
control,C4NU/Paddie,7d588668b42aaceddaff6f2d555702cc0f621a54,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/C4NU_Paddie,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2e475ab5a9f5e652f78775462a0266e1fae0b0c3,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,84ee3ace472147df2b22afd8d948484ef2d4c6f4,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,082dcef82b88940afa60985c64c398429d547f7f,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,a2cf0eff16041de6c7dd1d55ed8fe389491a8558,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2ad3fe85e7d446edaf80cd78f6d8db36654b8d08,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,fcc15fef88fd0cd4f154b584f2e0fa082da10bfc,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,de2f651b9e4429956f6a8aa8845c55648db1079b,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,875f91c8c138c8b47e7e31292530ce72a1cabcc9,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
