dataset_source,repo_name,previous_month,month,previous_commit,current_commit,repo_dir,git_diff_exit_code,python_diff_rows,stderr
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-11,2024-12,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-12,2025-01,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-01,2025-02,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-02,2025-03,5221bbfc995e48829975b34634f55d0e5936e59a,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,2025-04,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-04,2025-05,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-05,2025-06,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-06,2025-07,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-07,2025-08,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,AkariAsai/ScholarQABench,2024-11,2024-12,8f63e5b270ac2eac04ba06bfe42913388087f87f,8f63e5b270ac2eac04ba06bfe42913388087f87f,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,0,0,
control,AkariAsai/ScholarQABench,2024-12,2025-01,8f63e5b270ac2eac04ba06bfe42913388087f87f,8f63e5b270ac2eac04ba06bfe42913388087f87f,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,0,0,
control,AkariAsai/ScholarQABench,2025-01,2025-02,8f63e5b270ac2eac04ba06bfe42913388087f87f,c439fbce548b5fab5ff5304e748763e6c8b2b014,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,0,1,
control,AkariAsai/ScholarQABench,2025-02,2025-03,c439fbce548b5fab5ff5304e748763e6c8b2b014,c439fbce548b5fab5ff5304e748763e6c8b2b014,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,0,0,
control,AkariAsai/ScholarQABench,2025-03,2025-04,c439fbce548b5fab5ff5304e748763e6c8b2b014,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,0,0,
control,AkariAsai/ScholarQABench,2025-04,2025-05,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,0,0,
treatment,1mrat/cursor-taskrunner,2024-08,2024-09,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2024-09,2024-10,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2024-10,2024-11,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2024-11,2024-12,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2024-12,2025-01,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2025-01,2025-02,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2025-02,2025-03,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2025-03,2025-04,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2025-04,2025-05,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2025-05,2025-06,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2025-06,2025-07,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,1mrat/cursor-taskrunner,2025-07,2025-08,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,0,0,
treatment,Anemll/Anemll,2025-02,2025-03,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,0,0,
treatment,Anemll/Anemll,2025-03,2025-04,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,d175746c2ffbabd0a0e4491212c0ef0a501d9848,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,0,8,
treatment,Anemll/Anemll,2025-04,2025-05,d175746c2ffbabd0a0e4491212c0ef0a501d9848,4bfa0b08183a437e759798f2245bbcba2313521f,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,0,1,
treatment,Anemll/Anemll,2025-05,2025-06,4bfa0b08183a437e759798f2245bbcba2313521f,b0ea623eaac791a0803849c4f35ef8357f98935b,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,0,98,
treatment,Anemll/Anemll,2025-06,2025-07,b0ea623eaac791a0803849c4f35ef8357f98935b,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,0,12,
treatment,Anemll/Anemll,2025-07,2025-08,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,0,0,
treatment,Apocrathia/home-assistant-config,2024-01,2024-02,bbe44a43577ec4c93304b6303bf7604710f10533,26904b6524e3139a36005bd9d482feb396099c25,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,0,0,
treatment,Apocrathia/home-assistant-config,2024-02,2024-03,26904b6524e3139a36005bd9d482feb396099c25,8a82eda5ceac8dc9bc217ca0985392aceff8fcd4,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,0,0,
treatment,Apocrathia/home-assistant-config,2024-03,2024-04,8a82eda5ceac8dc9bc217ca0985392aceff8fcd4,a47d24eaa2e788005bda981bc81601dc1324825e,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,0,0,
treatment,Apocrathia/home-assistant-config,2024-04,2024-05,a47d24eaa2e788005bda981bc81601dc1324825e,b26234ca26d401d2aa3188cb603a9f7838bf808d,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,0,0,
treatment,Apocrathia/home-assistant-config,2024-05,2024-06,b26234ca26d401d2aa3188cb603a9f7838bf808d,e52f1adc336026dcd83a7321b395c8aaed3fbc0a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,0,0,
treatment,Apocrathia/home-assistant-config,2024-06,2024-07,e52f1adc336026dcd83a7321b395c8aaed3fbc0a,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,0,0,
treatment,Apocrathia/home-assistant-config,2024-07,2024-08,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,0,0,
