classification,token_range,month_after_adoption,treatment_event_row_count,control_event_row_count,treatment_event_row_count_per_100_repo_months,control_event_row_count_per_100_repo_months,event_row_count_difference_treatment_minus_control,treatment_event_row_share_within_month,control_event_row_share_within_month,treatment_panel_repo_months,control_panel_repo_months
HWC-like,141-150,5,119,13,247.91666666666666,39.39393939393939,106,0.09746109746109746,0.11403508771929824,48,33
HWC-like,151-160,5,123,10,256.25,30.303030303030305,113,0.10073710073710074,0.08771929824561403,48,33
HWC-like,161-170,5,130,15,270.8333333333333,45.45454545454545,115,0.10647010647010648,0.13157894736842105,48,33
HWC-like,171-180,5,88,7,183.33333333333334,21.21212121212121,81,0.07207207207207207,0.06140350877192982,48,33
HWC-like,181-190,5,84,11,175.0,33.333333333333336,73,0.0687960687960688,0.09649122807017543,48,33
HWC-like,191-200,5,103,5,214.58333333333334,15.151515151515152,98,0.08435708435708436,0.043859649122807015,48,33
AGC-like,ALL,6,116,7,644.4444444444445,43.75,109,1.0,1.0,18,16
AGC-like,100-110,6,13,0,72.22222222222223,0.0,13,0.11206896551724138,0.0,18,16
AGC-like,111-120,6,19,0,105.55555555555556,0.0,19,0.16379310344827586,0.0,18,16
AGC-like,121-130,6,11,1,61.111111111111114,6.25,10,0.09482758620689655,0.14285714285714285,18,16
AGC-like,131-140,6,18,0,100.0,0.0,18,0.15517241379310345,0.0,18,16
AGC-like,141-150,6,12,1,66.66666666666667,6.25,11,0.10344827586206896,0.14285714285714285,18,16
AGC-like,151-160,6,12,2,66.66666666666667,12.5,10,0.10344827586206896,0.2857142857142857,18,16
AGC-like,161-170,6,6,1,33.333333333333336,6.25,5,0.05172413793103448,0.14285714285714285,18,16
AGC-like,171-180,6,11,0,61.111111111111114,0.0,11,0.09482758620689655,0.0,18,16
AGC-like,181-190,6,9,2,50.0,12.5,7,0.07758620689655173,0.2857142857142857,18,16
AGC-like,191-200,6,5,0,27.77777777777778,0.0,5,0.04310344827586207,0.0,18,16
HWC-like,ALL,6,965,53,5361.111111111111,331.25,912,1.0,1.0,18,16
HWC-like,100-110,6,133,9,738.8888888888889,56.25,124,0.1378238341968912,0.16981132075471697,18,16
HWC-like,111-120,6,108,5,600.0,31.25,103,0.11191709844559586,0.09433962264150944,18,16
HWC-like,121-130,6,124,9,688.8888888888889,56.25,115,0.12849740932642487,0.16981132075471697,18,16
HWC-like,131-140,6,106,6,588.8888888888889,37.5,100,0.10984455958549223,0.11320754716981132,18,16
HWC-like,141-150,6,88,6,488.8888888888889,37.5,82,0.09119170984455958,0.11320754716981132,18,16
HWC-like,151-160,6,85,7,472.22222222222223,43.75,78,0.08808290155440414,0.1320754716981132,18,16
HWC-like,161-170,6,103,4,572.2222222222222,25.0,99,0.10673575129533679,0.07547169811320754,18,16
HWC-like,171-180,6,90,2,500.0,12.5,88,0.09326424870466321,0.03773584905660377,18,16
HWC-like,181-190,6,76,3,422.22222222222223,18.75,73,0.07875647668393783,0.05660377358490566,18,16
HWC-like,191-200,6,52,2,288.8888888888889,12.5,50,0.0538860103626943,0.03773584905660377,18,16
