classification,token_range,event_month,treatment_event_row_count,treatment_panel_repo_months,treatment_panel_repositories,treatment_aligned_pairs,treatment_event_row_count_per_100_repo_months,treatment_event_row_count_per_100_repositories,control_event_row_count,control_panel_repo_months,control_panel_repositories,control_aligned_pairs,control_event_row_count_per_100_repo_months,control_event_row_count_per_100_repositories,event_row_count_difference_treatment_minus_control,treatment_event_row_share_within_month,control_event_row_share_within_month
AGC-like,121-130,-1,11,53,53,300,20.754716981132077,20.754716981132077,19,54,54,300,35.18518518518518,35.18518518518518,-8,0.09565217391304348,0.16379310344827586
AGC-like,131-140,-1,13,53,53,300,24.528301886792452,24.528301886792452,10,54,54,300,18.51851851851852,18.51851851851852,3,0.11304347826086956,0.08620689655172414
AGC-like,141-150,-1,11,53,53,300,20.754716981132077,20.754716981132077,10,54,54,300,18.51851851851852,18.51851851851852,1,0.09565217391304348,0.08620689655172414
AGC-like,151-160,-1,10,53,53,300,18.867924528301888,18.867924528301888,12,54,54,300,22.22222222222222,22.22222222222222,-2,0.08695652173913043,0.10344827586206896
AGC-like,161-170,-1,7,53,53,300,13.20754716981132,13.20754716981132,11,54,54,300,20.37037037037037,20.37037037037037,-4,0.06086956521739131,0.09482758620689655
AGC-like,171-180,-1,11,53,53,300,20.754716981132077,20.754716981132077,8,54,54,300,14.814814814814815,14.814814814814815,3,0.09565217391304348,0.06896551724137931
AGC-like,181-190,-1,11,53,53,300,20.754716981132077,20.754716981132077,10,54,54,300,18.51851851851852,18.51851851851852,1,0.09565217391304348,0.08620689655172414
AGC-like,191-200,-1,9,53,53,300,16.9811320754717,16.9811320754717,4,54,54,300,7.407407407407407,7.407407407407407,5,0.0782608695652174,0.034482758620689655
HWC-like,ALL,-1,630,53,53,300,1188.6792452830189,1188.6792452830189,384,54,54,300,711.1111111111111,711.1111111111111,246,1.0,1.0
HWC-like,100-110,-1,78,53,53,300,147.16981132075472,147.16981132075472,50,54,54,300,92.5925925925926,92.5925925925926,28,0.12380952380952381,0.13020833333333334
HWC-like,111-120,-1,66,53,53,300,124.52830188679245,124.52830188679245,56,54,54,300,103.70370370370371,103.70370370370371,10,0.10476190476190476,0.14583333333333334
HWC-like,121-130,-1,68,53,53,300,128.30188679245282,128.30188679245282,39,54,54,300,72.22222222222223,72.22222222222223,29,0.10793650793650794,0.1015625
HWC-like,131-140,-1,79,53,53,300,149.0566037735849,149.0566037735849,30,54,54,300,55.55555555555556,55.55555555555556,49,0.1253968253968254,0.078125
HWC-like,141-150,-1,53,53,53,300,100.0,100.0,40,54,54,300,74.07407407407408,74.07407407407408,13,0.08412698412698413,0.10416666666666667
HWC-like,151-160,-1,80,53,53,300,150.9433962264151,150.9433962264151,35,54,54,300,64.81481481481481,64.81481481481481,45,0.12698412698412698,0.09114583333333333
HWC-like,161-170,-1,58,53,53,300,109.43396226415095,109.43396226415095,27,54,54,300,50.0,50.0,31,0.09206349206349207,0.0703125
HWC-like,171-180,-1,55,53,53,300,103.77358490566037,103.77358490566037,44,54,54,300,81.48148148148148,81.48148148148148,11,0.0873015873015873,0.11458333333333333
HWC-like,181-190,-1,42,53,53,300,79.24528301886792,79.24528301886792,26,54,54,300,48.148148148148145,48.148148148148145,16,0.06666666666666667,0.06770833333333333
HWC-like,191-200,-1,51,53,53,300,96.22641509433963,96.22641509433963,37,54,54,300,68.51851851851852,68.51851851851852,14,0.08095238095238096,0.09635416666666667
ALL,ALL,0,1860,100,100,300,1860.0,1860.0,232,71,71,300,326.76056338028167,326.76056338028167,1628,1.0,1.0
ALL,100-110,0,284,100,100,300,284.0,284.0,34,71,71,300,47.88732394366197,47.88732394366197,250,0.15268817204301074,0.14655172413793102
ALL,111-120,0,260,100,100,300,260.0,260.0,28,71,71,300,39.436619718309856,39.436619718309856,232,0.13978494623655913,0.1206896551724138
ALL,121-130,0,205,100,100,300,205.0,205.0,22,71,71,300,30.985915492957748,30.985915492957748,183,0.11021505376344086,0.09482758620689655
ALL,131-140,0,172,100,100,300,172.0,172.0,24,71,71,300,33.80281690140845,33.80281690140845,148,0.09247311827956989,0.10344827586206896
ALL,141-150,0,204,100,100,300,204.0,204.0,22,71,71,300,30.985915492957748,30.985915492957748,182,0.10967741935483871,0.09482758620689655
ALL,151-160,0,149,100,100,300,149.0,149.0,22,71,71,300,30.985915492957748,30.985915492957748,127,0.08010752688172043,0.09482758620689655
ALL,161-170,0,145,100,100,300,145.0,145.0,20,71,71,300,28.169014084507044,28.169014084507044,125,0.07795698924731183,0.08620689655172414
ALL,171-180,0,169,100,100,300,169.0,169.0,19,71,71,300,26.760563380281692,26.760563380281692,150,0.09086021505376345,0.08189655172413793
ALL,181-190,0,122,100,100,300,122.0,122.0,17,71,71,300,23.943661971830984,23.943661971830984,105,0.06559139784946237,0.07327586206896551
ALL,191-200,0,150,100,100,300,150.0,150.0,24,71,71,300,33.80281690140845,33.80281690140845,126,0.08064516129032258,0.10344827586206896
AGC-like,ALL,0,486,100,100,300,486.0,486.0,49,71,71,300,69.01408450704226,69.01408450704226,437,1.0,1.0
AGC-like,100-110,0,69,100,100,300,69.0,69.0,8,71,71,300,11.267605633802816,11.267605633802816,61,0.1419753086419753,0.16326530612244897
AGC-like,111-120,0,57,100,100,300,57.0,57.0,3,71,71,300,4.225352112676056,4.225352112676056,54,0.11728395061728394,0.061224489795918366
AGC-like,121-130,0,63,100,100,300,63.0,63.0,8,71,71,300,11.267605633802816,11.267605633802816,55,0.12962962962962962,0.16326530612244897
AGC-like,131-140,0,51,100,100,300,51.0,51.0,5,71,71,300,7.042253521126761,7.042253521126761,46,0.10493827160493827,0.10204081632653061
AGC-like,141-150,0,57,100,100,300,57.0,57.0,3,71,71,300,4.225352112676056,4.225352112676056,54,0.11728395061728394,0.061224489795918366
AGC-like,151-160,0,40,100,100,300,40.0,40.0,2,71,71,300,2.816901408450704,2.816901408450704,38,0.0823045267489712,0.04081632653061224
AGC-like,161-170,0,47,100,100,300,47.0,47.0,4,71,71,300,5.633802816901408,5.633802816901408,43,0.09670781893004116,0.08163265306122448
AGC-like,171-180,0,35,100,100,300,35.0,35.0,4,71,71,300,5.633802816901408,5.633802816901408,31,0.0720164609053498,0.08163265306122448
AGC-like,181-190,0,35,100,100,300,35.0,35.0,2,71,71,300,2.816901408450704,2.816901408450704,33,0.0720164609053498,0.04081632653061224
AGC-like,191-200,0,32,100,100,300,32.0,32.0,10,71,71,300,14.084507042253522,14.084507042253522,22,0.06584362139917696,0.20408163265306123
HWC-like,ALL,0,1374,100,100,300,1374.0,1374.0,183,71,71,300,257.7464788732394,257.7464788732394,1191,1.0,1.0
HWC-like,100-110,0,215,100,100,300,215.0,215.0,26,71,71,300,36.61971830985915,36.61971830985915,189,0.1564774381368268,0.14207650273224043
HWC-like,111-120,0,203,100,100,300,203.0,203.0,25,71,71,300,35.2112676056338,35.2112676056338,178,0.1477438136826783,0.1366120218579235
HWC-like,121-130,0,142,100,100,300,142.0,142.0,14,71,71,300,19.718309859154928,19.718309859154928,128,0.10334788937409024,0.07650273224043716
HWC-like,131-140,0,121,100,100,300,121.0,121.0,19,71,71,300,26.760563380281692,26.760563380281692,102,0.08806404657933042,0.10382513661202186
HWC-like,141-150,0,147,100,100,300,147.0,147.0,19,71,71,300,26.760563380281692,26.760563380281692,128,0.10698689956331878,0.10382513661202186
HWC-like,151-160,0,109,100,100,300,109.0,109.0,20,71,71,300,28.169014084507044,28.169014084507044,89,0.07933042212518195,0.1092896174863388
HWC-like,161-170,0,98,100,100,300,98.0,98.0,16,71,71,300,22.535211267605632,22.535211267605632,82,0.07132459970887918,0.08743169398907104
HWC-like,171-180,0,134,100,100,300,134.0,134.0,15,71,71,300,21.12676056338028,21.12676056338028,119,0.0975254730713246,0.08196721311475409
HWC-like,181-190,0,87,100,100,300,87.0,87.0,15,71,71,300,21.12676056338028,21.12676056338028,72,0.06331877729257641,0.08196721311475409
HWC-like,191-200,0,118,100,100,300,118.0,118.0,14,71,71,300,19.718309859154928,19.718309859154928,104,0.0858806404657933,0.07650273224043716
ALL,ALL,1,1132,71,71,300,1594.3661971830986,1594.3661971830986,268,44,44,300,609.0909090909091,609.0909090909091,864,1.0,1.0
ALL,100-110,1,147,71,71,300,207.04225352112675,207.04225352112675,26,44,44,300,59.09090909090909,59.09090909090909,121,0.12985865724381626,0.09701492537313433
ALL,111-120,1,135,71,71,300,190.14084507042253,190.14084507042253,37,44,44,300,84.0909090909091,84.0909090909091,98,0.11925795053003534,0.13805970149253732
ALL,121-130,1,121,71,71,300,170.42253521126761,170.42253521126761,37,44,44,300,84.0909090909091,84.0909090909091,84,0.1068904593639576,0.13805970149253732
ALL,131-140,1,121,71,71,300,170.42253521126761,170.42253521126761,41,44,44,300,93.18181818181819,93.18181818181819,80,0.1068904593639576,0.15298507462686567
ALL,141-150,1,128,71,71,300,180.28169014084506,180.28169014084506,25,44,44,300,56.81818181818182,56.81818181818182,103,0.11307420494699646,0.09328358208955224
ALL,151-160,1,101,71,71,300,142.25352112676057,142.25352112676057,16,44,44,300,36.36363636363637,36.36363636363637,85,0.0892226148409894,0.05970149253731343
ALL,161-170,1,106,71,71,300,149.29577464788733,149.29577464788733,19,44,44,300,43.18181818181818,43.18181818181818,87,0.09363957597173145,0.0708955223880597
ALL,171-180,1,87,71,71,300,122.53521126760563,122.53521126760563,29,44,44,300,65.9090909090909,65.9090909090909,58,0.07685512367491167,0.10820895522388059
ALL,181-190,1,115,71,71,300,161.9718309859155,161.9718309859155,20,44,44,300,45.45454545454545,45.45454545454545,95,0.10159010600706714,0.07462686567164178
ALL,191-200,1,71,71,71,300,100.0,100.0,18,44,44,300,40.90909090909091,40.90909090909091,53,0.0627208480565371,0.06716417910447761
AGC-like,ALL,1,189,71,71,300,266.19718309859155,266.19718309859155,46,44,44,300,104.54545454545455,104.54545454545455,143,1.0,1.0
AGC-like,100-110,1,32,71,71,300,45.070422535211264,45.070422535211264,6,44,44,300,13.636363636363637,13.636363636363637,26,0.1693121693121693,0.13043478260869565
AGC-like,111-120,1,20,71,71,300,28.169014084507044,28.169014084507044,4,44,44,300,9.090909090909092,9.090909090909092,16,0.10582010582010581,0.08695652173913043
AGC-like,121-130,1,29,71,71,300,40.84507042253521,40.84507042253521,7,44,44,300,15.909090909090908,15.909090909090908,22,0.15343915343915343,0.15217391304347827
AGC-like,131-140,1,15,71,71,300,21.12676056338028,21.12676056338028,9,44,44,300,20.454545454545453,20.454545454545453,6,0.07936507936507936,0.1956521739130435
AGC-like,141-150,1,15,71,71,300,21.12676056338028,21.12676056338028,4,44,44,300,9.090909090909092,9.090909090909092,11,0.07936507936507936,0.08695652173913043
AGC-like,151-160,1,14,71,71,300,19.718309859154928,19.718309859154928,2,44,44,300,4.545454545454546,4.545454545454546,12,0.07407407407407407,0.043478260869565216
AGC-like,161-170,1,13,71,71,300,18.309859154929576,18.309859154929576,1,44,44,300,2.272727272727273,2.272727272727273,12,0.06878306878306878,0.021739130434782608
AGC-like,171-180,1,19,71,71,300,26.760563380281692,26.760563380281692,4,44,44,300,9.090909090909092,9.090909090909092,15,0.10052910052910052,0.08695652173913043
AGC-like,181-190,1,19,71,71,300,26.760563380281692,26.760563380281692,7,44,44,300,15.909090909090908,15.909090909090908,12,0.10052910052910052,0.15217391304347827
AGC-like,191-200,1,13,71,71,300,18.309859154929576,18.309859154929576,2,44,44,300,4.545454545454546,4.545454545454546,11,0.06878306878306878,0.043478260869565216
HWC-like,ALL,1,943,71,71,300,1328.1690140845071,1328.1690140845071,222,44,44,300,504.54545454545456,504.54545454545456,721,1.0,1.0
HWC-like,100-110,1,115,71,71,300,161.9718309859155,161.9718309859155,20,44,44,300,45.45454545454545,45.45454545454545,95,0.12195121951219512,0.09009009009009009
HWC-like,111-120,1,115,71,71,300,161.9718309859155,161.9718309859155,33,44,44,300,75.0,75.0,82,0.12195121951219512,0.14864864864864866
HWC-like,121-130,1,92,71,71,300,129.57746478873239,129.57746478873239,30,44,44,300,68.18181818181819,68.18181818181819,62,0.0975609756097561,0.13513513513513514
HWC-like,131-140,1,106,71,71,300,149.29577464788733,149.29577464788733,32,44,44,300,72.72727272727273,72.72727272727273,74,0.11240721102863202,0.14414414414414414
HWC-like,141-150,1,113,71,71,300,159.1549295774648,159.1549295774648,21,44,44,300,47.72727272727273,47.72727272727273,92,0.11983032873807,0.0945945945945946
HWC-like,151-160,1,87,71,71,300,122.53521126760563,122.53521126760563,14,44,44,300,31.818181818181817,31.818181818181817,73,0.09225874867444327,0.06306306306306306
HWC-like,161-170,1,93,71,71,300,130.98591549295776,130.98591549295776,18,44,44,300,40.90909090909091,40.90909090909091,75,0.09862142099681867,0.08108108108108109
HWC-like,171-180,1,68,71,71,300,95.77464788732394,95.77464788732394,25,44,44,300,56.81818181818182,56.81818181818182,43,0.07211028632025451,0.11261261261261261
HWC-like,181-190,1,96,71,71,300,135.2112676056338,135.2112676056338,13,44,44,300,29.545454545454547,29.545454545454547,83,0.10180275715800637,0.05855855855855856
HWC-like,191-200,1,58,71,71,300,81.69014084507042,81.69014084507042,16,44,44,300,36.36363636363637,36.36363636363637,42,0.061505832449628844,0.07207207207207207
ALL,ALL,2,1008,60,60,300,1680.0,1680.0,233,46,46,300,506.5217391304348,506.5217391304348,775,1.0,1.0
ALL,100-110,2,140,60,60,300,233.33333333333334,233.33333333333334,47,46,46,300,102.17391304347827,102.17391304347827,93,0.1388888888888889,0.2017167381974249
ALL,111-120,2,131,60,60,300,218.33333333333334,218.33333333333334,25,46,46,300,54.34782608695652,54.34782608695652,106,0.12996031746031747,0.1072961373390558
ALL,121-130,2,100,60,60,300,166.66666666666666,166.66666666666666,44,46,46,300,95.65217391304348,95.65217391304348,56,0.0992063492063492,0.1888412017167382
ALL,131-140,2,107,60,60,300,178.33333333333334,178.33333333333334,27,46,46,300,58.69565217391305,58.69565217391305,80,0.10615079365079365,0.11587982832618025
ALL,141-150,2,87,60,60,300,145.0,145.0,17,46,46,300,36.95652173913044,36.95652173913044,70,0.08630952380952381,0.07296137339055794
ALL,151-160,2,118,60,60,300,196.66666666666666,196.66666666666666,11,46,46,300,23.91304347826087,23.91304347826087,107,0.11706349206349206,0.04721030042918455
ALL,161-170,2,98,60,60,300,163.33333333333334,163.33333333333334,21,46,46,300,45.65217391304348,45.65217391304348,77,0.09722222222222222,0.09012875536480687
ALL,171-180,2,68,60,60,300,113.33333333333333,113.33333333333333,15,46,46,300,32.608695652173914,32.608695652173914,53,0.06746031746031746,0.06437768240343347
ALL,181-190,2,88,60,60,300,146.66666666666666,146.66666666666666,13,46,46,300,28.26086956521739,28.26086956521739,75,0.0873015873015873,0.055793991416309016
ALL,191-200,2,71,60,60,300,118.33333333333333,118.33333333333333,13,46,46,300,28.26086956521739,28.26086956521739,58,0.07043650793650794,0.055793991416309016
AGC-like,ALL,2,139,60,60,300,231.66666666666666,231.66666666666666,67,46,46,300,145.65217391304347,145.65217391304347,72,1.0,1.0
AGC-like,100-110,2,21,60,60,300,35.0,35.0,17,46,46,300,36.95652173913044,36.95652173913044,4,0.1510791366906475,0.2537313432835821
AGC-like,111-120,2,18,60,60,300,30.0,30.0,9,46,46,300,19.565217391304348,19.565217391304348,9,0.12949640287769784,0.13432835820895522
AGC-like,121-130,2,11,60,60,300,18.333333333333332,18.333333333333332,11,46,46,300,23.91304347826087,23.91304347826087,0,0.07913669064748201,0.16417910447761194
AGC-like,131-140,2,18,60,60,300,30.0,30.0,8,46,46,300,17.391304347826086,17.391304347826086,10,0.12949640287769784,0.11940298507462686
AGC-like,141-150,2,11,60,60,300,18.333333333333332,18.333333333333332,3,46,46,300,6.521739130434782,6.521739130434782,8,0.07913669064748201,0.04477611940298507
AGC-like,151-160,2,18,60,60,300,30.0,30.0,2,46,46,300,4.3478260869565215,4.3478260869565215,16,0.12949640287769784,0.029850746268656716
AGC-like,161-170,2,11,60,60,300,18.333333333333332,18.333333333333332,5,46,46,300,10.869565217391305,10.869565217391305,6,0.07913669064748201,0.07462686567164178
AGC-like,171-180,2,11,60,60,300,18.333333333333332,18.333333333333332,4,46,46,300,8.695652173913043,8.695652173913043,7,0.07913669064748201,0.05970149253731343
AGC-like,181-190,2,10,60,60,300,16.666666666666668,16.666666666666668,6,46,46,300,13.043478260869565,13.043478260869565,4,0.07194244604316546,0.08955223880597014
AGC-like,191-200,2,10,60,60,300,16.666666666666668,16.666666666666668,2,46,46,300,4.3478260869565215,4.3478260869565215,8,0.07194244604316546,0.029850746268656716
HWC-like,ALL,2,869,60,60,300,1448.3333333333333,1448.3333333333333,166,46,46,300,360.8695652173913,360.8695652173913,703,1.0,1.0
HWC-like,100-110,2,119,60,60,300,198.33333333333334,198.33333333333334,30,46,46,300,65.21739130434783,65.21739130434783,89,0.13693901035673187,0.18072289156626506
HWC-like,111-120,2,113,60,60,300,188.33333333333334,188.33333333333334,16,46,46,300,34.78260869565217,34.78260869565217,97,0.13003452243958574,0.0963855421686747
HWC-like,121-130,2,89,60,60,300,148.33333333333334,148.33333333333334,33,46,46,300,71.73913043478261,71.73913043478261,56,0.10241657077100115,0.19879518072289157
HWC-like,131-140,2,89,60,60,300,148.33333333333334,148.33333333333334,19,46,46,300,41.30434782608695,41.30434782608695,70,0.10241657077100115,0.1144578313253012
HWC-like,141-150,2,76,60,60,300,126.66666666666667,126.66666666666667,14,46,46,300,30.434782608695652,30.434782608695652,62,0.08745684695051784,0.08433734939759036
HWC-like,151-160,2,100,60,60,300,166.66666666666666,166.66666666666666,9,46,46,300,19.565217391304348,19.565217391304348,91,0.11507479861910241,0.05421686746987952
HWC-like,161-170,2,87,60,60,300,145.0,145.0,16,46,46,300,34.78260869565217,34.78260869565217,71,0.1001150747986191,0.0963855421686747
HWC-like,171-180,2,57,60,60,300,95.0,95.0,11,46,46,300,23.91304347826087,23.91304347826087,46,0.06559263521288838,0.06626506024096386
HWC-like,181-190,2,78,60,60,300,130.0,130.0,7,46,46,300,15.217391304347826,15.217391304347826,71,0.08975834292289989,0.04216867469879518
HWC-like,191-200,2,61,60,60,300,101.66666666666667,101.66666666666667,11,46,46,300,23.91304347826087,23.91304347826087,50,0.07019562715765247,0.06626506024096386
ALL,ALL,3,871,59,59,300,1476.2711864406779,1476.2711864406779,288,36,36,300,800.0,800.0,583,1.0,1.0
ALL,100-110,3,117,59,59,300,198.3050847457627,198.3050847457627,33,36,36,300,91.66666666666667,91.66666666666667,84,0.13432835820895522,0.11458333333333333
ALL,111-120,3,121,59,59,300,205.08474576271186,205.08474576271186,29,36,36,300,80.55555555555556,80.55555555555556,92,0.13892078071182548,0.10069444444444445
ALL,121-130,3,78,59,59,300,132.20338983050848,132.20338983050848,43,36,36,300,119.44444444444444,119.44444444444444,35,0.08955223880597014,0.14930555555555555
ALL,131-140,3,81,59,59,300,137.28813559322035,137.28813559322035,38,36,36,300,105.55555555555556,105.55555555555556,43,0.09299655568312284,0.13194444444444445
ALL,141-150,3,80,59,59,300,135.59322033898306,135.59322033898306,23,36,36,300,63.888888888888886,63.888888888888886,57,0.09184845005740529,0.0798611111111111
ALL,151-160,3,79,59,59,300,133.89830508474577,133.89830508474577,32,36,36,300,88.88888888888889,88.88888888888889,47,0.09070034443168772,0.1111111111111111
ALL,161-170,3,85,59,59,300,144.0677966101695,144.0677966101695,30,36,36,300,83.33333333333333,83.33333333333333,55,0.09758897818599312,0.10416666666666667
ALL,171-180,3,74,59,59,300,125.42372881355932,125.42372881355932,23,36,36,300,63.888888888888886,63.888888888888886,51,0.08495981630309989,0.0798611111111111
ALL,181-190,3,62,59,59,300,105.08474576271186,105.08474576271186,20,36,36,300,55.55555555555556,55.55555555555556,42,0.0711825487944891,0.06944444444444445
ALL,191-200,3,94,59,59,300,159.32203389830508,159.32203389830508,17,36,36,300,47.22222222222222,47.22222222222222,77,0.1079219288174512,0.059027777777777776
AGC-like,ALL,3,145,59,59,300,245.76271186440678,245.76271186440678,52,36,36,300,144.44444444444446,144.44444444444446,93,1.0,1.0
AGC-like,100-110,3,18,59,59,300,30.508474576271187,30.508474576271187,8,36,36,300,22.22222222222222,22.22222222222222,10,0.12413793103448276,0.15384615384615385
AGC-like,111-120,3,20,59,59,300,33.898305084745765,33.898305084745765,2,36,36,300,5.555555555555555,5.555555555555555,18,0.13793103448275862,0.038461538461538464
AGC-like,121-130,3,18,59,59,300,30.508474576271187,30.508474576271187,1,36,36,300,2.7777777777777777,2.7777777777777777,17,0.12413793103448276,0.019230769230769232
AGC-like,131-140,3,19,59,59,300,32.20338983050848,32.20338983050848,11,36,36,300,30.555555555555557,30.555555555555557,8,0.1310344827586207,0.21153846153846154
AGC-like,141-150,3,9,59,59,300,15.254237288135593,15.254237288135593,4,36,36,300,11.11111111111111,11.11111111111111,5,0.06206896551724138,0.07692307692307693
AGC-like,151-160,3,9,59,59,300,15.254237288135593,15.254237288135593,13,36,36,300,36.111111111111114,36.111111111111114,-4,0.06206896551724138,0.25
AGC-like,161-170,3,19,59,59,300,32.20338983050848,32.20338983050848,3,36,36,300,8.333333333333334,8.333333333333334,16,0.1310344827586207,0.057692307692307696
AGC-like,171-180,3,13,59,59,300,22.033898305084747,22.033898305084747,6,36,36,300,16.666666666666668,16.666666666666668,7,0.0896551724137931,0.11538461538461539
AGC-like,181-190,3,7,59,59,300,11.864406779661017,11.864406779661017,4,36,36,300,11.11111111111111,11.11111111111111,3,0.04827586206896552,0.07692307692307693
AGC-like,191-200,3,13,59,59,300,22.033898305084747,22.033898305084747,0,36,36,300,0.0,0.0,13,0.0896551724137931,0.0
HWC-like,ALL,3,726,59,59,300,1230.5084745762713,1230.5084745762713,236,36,36,300,655.5555555555555,655.5555555555555,490,1.0,1.0
HWC-like,100-110,3,99,59,59,300,167.79661016949152,167.79661016949152,25,36,36,300,69.44444444444444,69.44444444444444,74,0.13636363636363635,0.1059322033898305
HWC-like,111-120,3,101,59,59,300,171.1864406779661,171.1864406779661,27,36,36,300,75.0,75.0,74,0.13911845730027547,0.11440677966101695
HWC-like,121-130,3,60,59,59,300,101.69491525423729,101.69491525423729,42,36,36,300,116.66666666666667,116.66666666666667,18,0.08264462809917356,0.17796610169491525
HWC-like,131-140,3,62,59,59,300,105.08474576271186,105.08474576271186,27,36,36,300,75.0,75.0,35,0.08539944903581267,0.11440677966101695
HWC-like,141-150,3,71,59,59,300,120.33898305084746,120.33898305084746,19,36,36,300,52.77777777777778,52.77777777777778,52,0.09779614325068871,0.08050847457627118
HWC-like,151-160,3,70,59,59,300,118.64406779661017,118.64406779661017,19,36,36,300,52.77777777777778,52.77777777777778,51,0.09641873278236915,0.08050847457627118
HWC-like,161-170,3,66,59,59,300,111.86440677966101,111.86440677966101,27,36,36,300,75.0,75.0,39,0.09090909090909091,0.11440677966101695
HWC-like,171-180,3,61,59,59,300,103.38983050847457,103.38983050847457,17,36,36,300,47.22222222222222,47.22222222222222,44,0.08402203856749312,0.07203389830508475
HWC-like,181-190,3,55,59,59,300,93.22033898305085,93.22033898305085,16,36,36,300,44.44444444444444,44.44444444444444,39,0.07575757575757576,0.06779661016949153
HWC-like,191-200,3,81,59,59,300,137.28813559322035,137.28813559322035,17,36,36,300,47.22222222222222,47.22222222222222,64,0.1115702479338843,0.07203389830508475
ALL,ALL,4,1178,55,55,300,2141.818181818182,2141.818181818182,87,34,34,300,255.88235294117646,255.88235294117646,1091,1.0,1.0
ALL,100-110,4,184,55,55,300,334.54545454545456,334.54545454545456,14,34,34,300,41.1764705882353,41.1764705882353,170,0.15619694397283532,0.16091954022988506
ALL,111-120,4,147,55,55,300,267.27272727272725,267.27272727272725,11,34,34,300,32.35294117647059,32.35294117647059,136,0.12478777589134125,0.12643678160919541
ALL,121-130,4,102,55,55,300,185.45454545454547,185.45454545454547,7,34,34,300,20.58823529411765,20.58823529411765,95,0.0865874363327674,0.08045977011494253
ALL,131-140,4,117,55,55,300,212.72727272727272,212.72727272727272,11,34,34,300,32.35294117647059,32.35294117647059,106,0.09932088285229201,0.12643678160919541
ALL,141-150,4,114,55,55,300,207.27272727272728,207.27272727272728,10,34,34,300,29.41176470588235,29.41176470588235,104,0.0967741935483871,0.11494252873563218
ALL,151-160,4,107,55,55,300,194.54545454545453,194.54545454545453,6,34,34,300,17.647058823529413,17.647058823529413,101,0.09083191850594227,0.06896551724137931
ALL,161-170,4,117,55,55,300,212.72727272727272,212.72727272727272,12,34,34,300,35.294117647058826,35.294117647058826,105,0.09932088285229201,0.13793103448275862
ALL,171-180,4,76,55,55,300,138.1818181818182,138.1818181818182,5,34,34,300,14.705882352941176,14.705882352941176,71,0.06451612903225806,0.05747126436781609
ALL,181-190,4,125,55,55,300,227.27272727272728,227.27272727272728,7,34,34,300,20.58823529411765,20.58823529411765,118,0.10611205432937182,0.08045977011494253
ALL,191-200,4,89,55,55,300,161.8181818181818,161.8181818181818,4,34,34,300,11.764705882352942,11.764705882352942,85,0.07555178268251274,0.04597701149425287
AGC-like,ALL,4,154,55,55,300,280.0,280.0,5,34,34,300,14.705882352941176,14.705882352941176,149,1.0,1.0
AGC-like,100-110,4,19,55,55,300,34.54545454545455,34.54545454545455,0,34,34,300,0.0,0.0,19,0.12337662337662338,0.0
AGC-like,111-120,4,14,55,55,300,25.454545454545453,25.454545454545453,2,34,34,300,5.882352941176471,5.882352941176471,12,0.09090909090909091,0.4
AGC-like,121-130,4,14,55,55,300,25.454545454545453,25.454545454545453,0,34,34,300,0.0,0.0,14,0.09090909090909091,0.0
AGC-like,131-140,4,24,55,55,300,43.63636363636363,43.63636363636363,0,34,34,300,0.0,0.0,24,0.15584415584415584,0.0
AGC-like,141-150,4,15,55,55,300,27.272727272727273,27.272727272727273,0,34,34,300,0.0,0.0,15,0.09740259740259741,0.0
AGC-like,151-160,4,20,55,55,300,36.36363636363637,36.36363636363637,0,34,34,300,0.0,0.0,20,0.12987012987012986,0.0
AGC-like,161-170,4,20,55,55,300,36.36363636363637,36.36363636363637,2,34,34,300,5.882352941176471,5.882352941176471,18,0.12987012987012986,0.4
AGC-like,171-180,4,11,55,55,300,20.0,20.0,1,34,34,300,2.9411764705882355,2.9411764705882355,10,0.07142857142857142,0.2
AGC-like,181-190,4,9,55,55,300,16.363636363636363,16.363636363636363,0,34,34,300,0.0,0.0,9,0.05844155844155844,0.0
AGC-like,191-200,4,8,55,55,300,14.545454545454545,14.545454545454545,0,34,34,300,0.0,0.0,8,0.05194805194805195,0.0
HWC-like,ALL,4,1024,55,55,300,1861.8181818181818,1861.8181818181818,82,34,34,300,241.1764705882353,241.1764705882353,942,1.0,1.0
HWC-like,100-110,4,165,55,55,300,300.0,300.0,14,34,34,300,41.1764705882353,41.1764705882353,151,0.1611328125,0.17073170731707318
HWC-like,111-120,4,133,55,55,300,241.8181818181818,241.8181818181818,9,34,34,300,26.470588235294116,26.470588235294116,124,0.1298828125,0.10975609756097561
HWC-like,121-130,4,88,55,55,300,160.0,160.0,7,34,34,300,20.58823529411765,20.58823529411765,81,0.0859375,0.08536585365853659
HWC-like,131-140,4,93,55,55,300,169.0909090909091,169.0909090909091,11,34,34,300,32.35294117647059,32.35294117647059,82,0.0908203125,0.13414634146341464
HWC-like,141-150,4,99,55,55,300,180.0,180.0,10,34,34,300,29.41176470588235,29.41176470588235,89,0.0966796875,0.12195121951219512
HWC-like,151-160,4,87,55,55,300,158.1818181818182,158.1818181818182,6,34,34,300,17.647058823529413,17.647058823529413,81,0.0849609375,0.07317073170731707
HWC-like,161-170,4,97,55,55,300,176.36363636363637,176.36363636363637,10,34,34,300,29.41176470588235,29.41176470588235,87,0.0947265625,0.12195121951219512
HWC-like,171-180,4,65,55,55,300,118.18181818181819,118.18181818181819,4,34,34,300,11.764705882352942,11.764705882352942,61,0.0634765625,0.04878048780487805
