classification,token_range,event_month,treatment_unique_body_count,treatment_panel_repo_months,treatment_panel_repositories,treatment_aligned_pairs,treatment_unique_body_count_per_100_repo_months,treatment_unique_body_count_per_100_repositories,control_unique_body_count,control_panel_repo_months,control_panel_repositories,control_aligned_pairs,control_unique_body_count_per_100_repo_months,control_unique_body_count_per_100_repositories,unique_body_count_difference_treatment_minus_control,treatment_unique_body_share_within_month,control_unique_body_share_within_month
HWC-like,171-180,0,127,100,100,300,127.0,127.0,14,71,71,300,19.718309859154928,19.718309859154928,113,0.09739263803680982,0.08588957055214724
HWC-like,181-190,0,86,100,100,300,86.0,86.0,14,71,71,300,19.718309859154928,19.718309859154928,72,0.06595092024539877,0.08588957055214724
HWC-like,191-200,0,112,100,100,300,112.0,112.0,14,71,71,300,19.718309859154928,19.718309859154928,98,0.08588957055214724,0.08588957055214724
ALL,ALL,1,1027,71,71,300,1446.4788732394366,1446.4788732394366,244,44,44,300,554.5454545454545,554.5454545454545,783,1.0,1.0
ALL,100-110,1,128,71,71,300,180.28169014084506,180.28169014084506,24,44,44,300,54.54545454545455,54.54545454545455,104,0.124634858812074,0.09836065573770492
ALL,111-120,1,118,71,71,300,166.19718309859155,166.19718309859155,30,44,44,300,68.18181818181819,68.18181818181819,88,0.11489776046738072,0.12295081967213115
ALL,121-130,1,114,71,71,300,160.56338028169014,160.56338028169014,32,44,44,300,72.72727272727273,72.72727272727273,82,0.11100292112950341,0.13114754098360656
ALL,131-140,1,110,71,71,300,154.92957746478874,154.92957746478874,41,44,44,300,93.18181818181819,93.18181818181819,69,0.10710808179162609,0.1680327868852459
ALL,141-150,1,119,71,71,300,167.6056338028169,167.6056338028169,24,44,44,300,54.54545454545455,54.54545454545455,95,0.11587147030185005,0.09836065573770492
ALL,151-160,1,94,71,71,300,132.3943661971831,132.3943661971831,16,44,44,300,36.36363636363637,36.36363636363637,78,0.09152872444011685,0.06557377049180328
ALL,161-170,1,93,71,71,300,130.98591549295776,130.98591549295776,19,44,44,300,43.18181818181818,43.18181818181818,74,0.09055501460564752,0.0778688524590164
ALL,171-180,1,77,71,71,300,108.45070422535211,108.45070422535211,25,44,44,300,56.81818181818182,56.81818181818182,52,0.07497565725413827,0.10245901639344263
ALL,181-190,1,103,71,71,300,145.07042253521126,145.07042253521126,16,44,44,300,36.36363636363637,36.36363636363637,87,0.1002921129503408,0.06557377049180328
ALL,191-200,1,71,71,71,300,100.0,100.0,17,44,44,300,38.63636363636363,38.63636363636363,54,0.0691333982473223,0.06967213114754098
AGC-like,ALL,1,167,71,71,300,235.2112676056338,235.2112676056338,37,44,44,300,84.0909090909091,84.0909090909091,130,1.0,1.0
