classification,token_range,month_after_adoption,treatment_unique_body_count,control_unique_body_count,treatment_unique_body_count_per_100_repo_months,control_unique_body_count_per_100_repo_months,unique_body_count_difference_treatment_minus_control,treatment_unique_body_share_within_month,control_unique_body_share_within_month,treatment_panel_repo_months,control_panel_repo_months
AGC-like,161-170,4,18,2,32.72727272727273,5.882352941176471,16,0.1258741258741259,0.4,55,34
AGC-like,171-180,4,10,1,18.181818181818183,2.9411764705882355,9,0.06993006993006994,0.2,55,34
AGC-like,181-190,4,7,0,12.727272727272727,0.0,7,0.04895104895104895,0.0,55,34
AGC-like,191-200,4,8,0,14.545454545454545,0.0,8,0.055944055944055944,0.0,55,34
HWC-like,ALL,4,935,78,1700.0,229.41176470588235,857,1.0,1.0,55,34
HWC-like,100-110,4,154,10,280.0,29.41176470588235,144,0.16470588235294117,0.1282051282051282,55,34
HWC-like,111-120,4,126,9,229.0909090909091,26.470588235294116,117,0.13475935828877006,0.11538461538461539,55,34
HWC-like,121-130,4,79,7,143.63636363636363,20.58823529411765,72,0.08449197860962566,0.08974358974358974,55,34
HWC-like,131-140,4,90,11,163.63636363636363,32.35294117647059,79,0.0962566844919786,0.14102564102564102,55,34
HWC-like,141-150,4,91,10,165.45454545454547,29.41176470588235,81,0.09732620320855614,0.1282051282051282,55,34
HWC-like,151-160,4,78,6,141.8181818181818,17.647058823529413,72,0.08342245989304813,0.07692307692307693,55,34
HWC-like,161-170,4,86,10,156.36363636363637,29.41176470588235,76,0.09197860962566845,0.1282051282051282,55,34
HWC-like,171-180,4,63,4,114.54545454545455,11.764705882352942,59,0.06737967914438503,0.05128205128205128,55,34
HWC-like,181-190,4,100,7,181.8181818181818,20.58823529411765,93,0.10695187165775401,0.08974358974358974,55,34
HWC-like,191-200,4,68,4,123.63636363636364,11.764705882352942,64,0.07272727272727272,0.05128205128205128,55,34
AGC-like,ALL,5,122,36,254.16666666666666,109.0909090909091,86,1.0,1.0,48,33
AGC-like,100-110,5,14,7,29.166666666666668,21.21212121212121,7,0.11475409836065574,0.19444444444444445,48,33
AGC-like,111-120,5,15,3,31.25,9.090909090909092,12,0.12295081967213115,0.08333333333333333,48,33
AGC-like,121-130,5,27,2,56.25,6.0606060606060606,25,0.22131147540983606,0.05555555555555555,48,33
AGC-like,131-140,5,17,1,35.416666666666664,3.0303030303030303,16,0.13934426229508196,0.027777777777777776,48,33
AGC-like,141-150,5,10,4,20.833333333333332,12.121212121212121,6,0.08196721311475409,0.1111111111111111,48,33
AGC-like,151-160,5,3,1,6.25,3.0303030303030303,2,0.02459016393442623,0.027777777777777776,48,33
AGC-like,161-170,5,10,5,20.833333333333332,15.151515151515152,5,0.08196721311475409,0.1388888888888889,48,33
AGC-like,171-180,5,6,2,12.5,6.0606060606060606,4,0.04918032786885246,0.05555555555555555,48,33
AGC-like,181-190,5,12,5,25.0,15.151515151515152,7,0.09836065573770492,0.1388888888888889,48,33
AGC-like,191-200,5,8,6,16.666666666666668,18.181818181818183,2,0.06557377049180328,0.16666666666666666,48,33
HWC-like,ALL,5,1124,108,2341.6666666666665,327.27272727272725,1016,1.0,1.0,48,33
HWC-like,100-110,5,152,12,316.6666666666667,36.36363636363637,140,0.13523131672597866,0.1111111111111111,48,33
HWC-like,111-120,5,112,14,233.33333333333334,42.42424242424242,98,0.099644128113879,0.12962962962962962,48,33
HWC-like,121-130,5,142,13,295.8333333333333,39.39393939393939,129,0.12633451957295375,0.12037037037037036,48,33
HWC-like,131-140,5,121,10,252.08333333333334,30.303030303030305,111,0.10765124555160142,0.09259259259259259,48,33
HWC-like,141-150,5,106,13,220.83333333333334,39.39393939393939,93,0.09430604982206406,0.12037037037037036,48,33
HWC-like,151-160,5,114,10,237.5,30.303030303030305,104,0.10142348754448399,0.09259259259259259,48,33
HWC-like,161-170,5,122,15,254.16666666666666,45.45454545454545,107,0.10854092526690391,0.1388888888888889,48,33
HWC-like,171-180,5,80,7,166.66666666666666,21.21212121212121,73,0.0711743772241993,0.06481481481481481,48,33
HWC-like,181-190,5,80,9,166.66666666666666,27.272727272727273,71,0.0711743772241993,0.08333333333333333,48,33
HWC-like,191-200,5,95,5,197.91666666666666,15.151515151515152,90,0.08451957295373666,0.046296296296296294,48,33
AGC-like,ALL,6,103,7,572.2222222222222,43.75,96,1.0,1.0,18,16
AGC-like,100-110,6,10,0,55.55555555555556,0.0,10,0.0970873786407767,0.0,18,16
AGC-like,111-120,6,17,0,94.44444444444444,0.0,17,0.1650485436893204,0.0,18,16
AGC-like,121-130,6,10,1,55.55555555555556,6.25,9,0.0970873786407767,0.14285714285714285,18,16
AGC-like,131-140,6,14,0,77.77777777777777,0.0,14,0.13592233009708737,0.0,18,16
AGC-like,141-150,6,10,1,55.55555555555556,6.25,9,0.0970873786407767,0.14285714285714285,18,16
