function_body_split_space_token_count,unique_bodies,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range
165,164,26,138,1.392156128908483,1.3639836543508272,0.15853658536585366,0.8414634146341463
166,154,28,126,1.4261651752208888,1.3526639553084647,0.18181818181818182,0.8181818181818182
167,158,20,138,1.4090579639041878,1.3808070523834006,0.12658227848101267,0.8734177215189873
168,158,18,140,1.3949817305370127,1.3742756003459715,0.11392405063291139,0.8860759493670886
169,147,17,130,1.3782783768043616,1.3536416673225338,0.11564625850340136,0.8843537414965986
170,192,23,169,1.4145554079466673,1.3854048030869122,0.11979166666666667,0.8802083333333334
171,147,21,126,1.402484778080551,1.3561973271501608,0.14285714285714285,0.8571428571428571
172,134,12,122,1.3600536631196303,1.329371813650643,0.08955223880597014,0.9104477611940298
173,143,21,122,1.4070762504874916,1.3580377268522104,0.14685314685314685,0.8531468531468531
174,173,20,153,1.3863807661890182,1.3446744859987891,0.11560693641618497,0.884393063583815
175,160,19,141,1.3882207181343835,1.3722477499139334,0.11875,0.88125
176,150,13,137,1.3887052539086693,1.3716644600496382,0.08666666666666667,0.9133333333333333
177,155,14,141,1.3788288534627426,1.3480458638869333,0.09032258064516129,0.9096774193548387
178,154,17,137,1.3905621860325303,1.3722823987280686,0.11038961038961038,0.8896103896103896
179,159,21,138,1.3802795088526145,1.3347098731106173,0.1320754716981132,0.8679245283018868
180,116,19,97,1.4025571446918634,1.3648625303225042,0.16379310344827586,0.8362068965517241
181,137,22,115,1.4090962312797402,1.3565418320920073,0.16058394160583941,0.8394160583941606
182,134,14,120,1.3983375347868483,1.3690718770463266,0.1044776119402985,0.8955223880597015
183,157,19,138,1.385307072890929,1.348506949706235,0.12101910828025478,0.8789808917197452
184,134,15,119,1.375989060622679,1.3352676942162032,0.11194029850746269,0.8880597014925373
185,162,21,141,1.4130745162332419,1.3804727091028184,0.12962962962962962,0.8703703703703703
186,131,18,113,1.4011725922806626,1.3676422085309512,0.13740458015267176,0.8625954198473282
187,137,17,120,1.403224062243942,1.360245203304252,0.12408759124087591,0.8759124087591241
188,134,13,121,1.3576804817152095,1.3343338859055258,0.09701492537313433,0.9029850746268657
189,149,18,131,1.4009636327008195,1.3499827590339748,0.12080536912751678,0.8791946308724832
190,118,24,94,1.4320352649011292,1.3937436009286133,0.2033898305084746,0.7966101694915254
191,144,14,130,1.3720388036085052,1.3593947753429658,0.09722222222222222,0.9027777777777778
192,143,17,126,1.3882121827042888,1.3574383166759978,0.11888111888111888,0.8811188811188811
193,127,14,113,1.3961324727502826,1.366743813686392,0.11023622047244094,0.889763779527559
194,130,12,118,1.3828392319740286,1.3607832305990235,0.09230769230769231,0.9076923076923077
195,139,15,124,1.3787042445480198,1.3514259182792043,0.1079136690647482,0.8920863309352518
196,145,20,125,1.4088009129987644,1.3617113987243954,0.13793103448275862,0.8620689655172413
197,130,17,113,1.3904993395245073,1.3561887966952908,0.13076923076923078,0.8692307692307693
198,127,14,113,1.3947017615981299,1.3678277859537835,0.11023622047244094,0.889763779527559
199,146,14,132,1.3912425932728005,1.354379087703081,0.0958904109589041,0.9041095890410958
200,142,13,129,1.358136035852808,1.3414809744790959,0.09154929577464789,0.9084507042253521
