dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ratio_sample
control,FolhaSP/mosaico,2025-05,6,4,3,14,3,,0,0,,0,3.0,3.0,True,both,control,control,0,0,6,215,167.0,6173.0,7189,1,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.9459101490553128,5.375278407684164,5.123963979403259,0.6931471805599453,0.0,1.6094379124341005,1,1,1,1,0,FolhaSP/mosaico,2025-05,5,1,4,1,0,0.2,1.791759469228055,0.6931471805599453,1.6094379124341003,70,80,70-79,bounded_band,1
control,FolhaSP/mosaico,2025-07,7,4,4,45,9,,0,0,,0,4.0,4.0,True,both,control,control,0,0,7,2587,228.0,6585.0,7648,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.079441541679836,7.858640655620791,5.433722003554239,0.6931471805599453,0.6931471805599453,1.3862943611198906,1,1,1,1,0,FolhaSP/mosaico,2025-07,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,70,80,70-79,bounded_band,1
control,GispoCoding/qgis-venv-creator,2024-02,21,8,6,44,5,,0,0,,0,6.0,6.0,True,both,control,control,0,0,21,2013,0.0,513.0,551,2,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.091042453358316,7.607878073278507,0.0,1.0986122886681096,0.0,1.0986122886681096,1,1,1,1,0,GispoCoding/qgis-venv-creator,2024-02,2,1,1,1,0,0.5,1.0986122886681096,0.6931471805599453,0.6931471805599453,70,80,70-79,bounded_band,1
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-10,46,9,3,78,3,,0,0,,0,3.0,3.0,True,both,control,control,0,0,47,289897,0.0,520.0,546,10,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.8712010109078903,12.577284415955283,0.0,2.3978952727983707,2.4849066497880004,0.0,1,1,1,1,0,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-10,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,70,80,70-79,bounded_band,1
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-11,22,9,5,12,2,,0,0,,0,5.0,5.0,True,both,control,control,0,0,40,7782,9.0,847.0,952,9,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.713572066704308,8.959697146959387,2.302585092994045,2.302585092994045,2.302585092994045,0.6931471805599453,1,1,1,1,0,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-11,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-02,17,12,6,76,6,,0,0,,0,6.0,6.0,True,both,control,control,0,0,17,447,0.0,1488.0,1690,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8903717578961645,6.104793232414985,0.0,1.0986122886681096,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2024-02,4,3,1,1,0,0.75,1.6094379124341003,1.3862943611198906,0.6931471805599453,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-03,34,21,14,244,22,,0,0,,0,14.0,14.0,True,both,control,control,0,0,35,8904,0.0,3833.0,4461,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.58351893845611,9.094368195723762,0.0,1.0986122886681096,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2024-03,22,18,4,1,0,0.8181818181818182,3.1354942159291497,2.9444389791664403,1.6094379124341003,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-04,51,29,18,557,25,,0,0,,0,18.0,18.0,True,both,control,control,0,0,53,20342,0.0,7566.0,8869,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.988984046564274,9.92049215135195,0.0,1.0986122886681096,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2024-04,27,10,17,1,0,0.37037037037037035,3.332204510175204,2.3978952727983707,2.8903717578961645,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-05,44,36,21,566,39,,0,0,,0,21.0,21.0,True,both,control,control,0,0,48,39626,0.0,13446.0,16301,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.8918202981106265,10.587265983091973,0.0,1.3862943611198906,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2024-05,11,2,9,1,0,0.18181818181818182,2.4849066497880004,1.0986122886681096,2.3025850929940455,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-06,28,26,25,966,66,,0,0,,0,25.0,25.0,True,both,control,control,0,0,28,33661,0.0,16366.0,19842,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.3672958299864737,10.424124883686112,0.0,1.6094379124341005,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2024-06,56,36,20,1,0,0.6428571428571429,4.04305126783455,3.6109179126442243,3.044522437723423,70,80,70-79,bounded_band,1
