outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-4,-0.0544446101400846,-0.419700346994317,0.310811126714148,0.186354967782772,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-3,-0.111098306639328,-0.399669952305205,0.177473339026548,0.147230431462182,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-2,0.156245898269734,-0.166746097588286,0.479237894127754,0.164791834621439,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),0,0.392765765331906,0.0813546394184064,0.704176891245406,0.158883227506888,,TRUE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),1,0.194663508779001,-0.156970381598565,0.546297399156567,0.179405046111003,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),2,-0.0258023658141084,-0.391359805979197,0.33975507435098,0.186508898043412,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),3,0.0134666030528476,-0.403257196805009,0.430190402910704,0.212614183600947,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),4,-0.215304700797345,-0.678958105220334,0.248348703625644,0.236557859399484,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),5,0.00284836045957414,-0.49114424861371,0.496840969532859,0.252037045445553,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),6,0.163747086961053,-0.578380312863327,0.905874486785432,0.378636428481826,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
