dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,function_change_events_manifest,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,agc_function_change_event_ratio,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,unique_changed_functions_scored,detection_complete,detector_merge_status,has_function_change_event,zero_function_event_month,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events
control,believethehype/nostrdvm,2024-07,34,32,29,131,72,59,100,27,,0,0,,0,29.0,29.0,131.0,131.0,0.0,17.0,114.0,0.1297709923664122,16.0,56.0,1.0,58.0,100.0,True,both,1,0,control,control,0,0,4.882801922586371,2.8903717578961645,4.74493212836325
control,believethehype/nostrdvm,2024-08,46,42,34,256,95,161,176,50,,0,0,,0,34.0,34.0,256.0,256.0,0.0,24.0,232.0,0.09375,19.0,76.0,5.0,156.0,176.0,True,both,1,0,control,control,0,0,5.54907608489522,3.2188758248682006,5.4510384535657
control,believethehype/nostrdvm,2024-09,43,42,31,241,25,216,161,59,,0,0,,0,31.0,31.0,241.0,241.0,0.0,12.0,229.0,0.0497925311203319,2.0,23.0,10.0,206.0,161.0,True,both,1,0,control,control,0,0,5.488937726156687,2.5649493574615367,5.438079308923196
control,believethehype/nostrdvm,2024-10,52,42,22,48,23,25,41,22,,0,0,,0,22.0,22.0,48.0,48.0,0.0,4.0,44.0,0.0833333333333333,4.0,19.0,0.0,25.0,41.0,True,both,1,0,control,control,0,0,3.8918202981106265,1.6094379124341003,3.8066624897703196
control,believethehype/nostrdvm,2024-11,93,89,54,843,66,777,391,107,,0,0,,0,54.0,54.0,843.0,843.0,0.0,56.0,787.0,0.066429418742586,16.0,50.0,40.0,737.0,391.0,True,both,1,0,control,control,0,0,6.738152494595957,4.04305126783455,6.669498089857879
control,believethehype/nostrdvm,2024-12,34,28,23,165,30,135,113,48,,0,0,,0,23.0,23.0,165.0,165.0,0.0,8.0,157.0,0.0484848484848484,7.0,23.0,1.0,134.0,113.0,True,both,1,0,control,control,0,0,5.111987788356544,2.1972245773362196,5.062595033026967
control,believethehype/nostrdvm,2025-01,21,20,16,88,25,63,74,36,,0,0,,0,16.0,16.0,88.0,88.0,0.0,8.0,80.0,0.0909090909090909,6.0,19.0,2.0,61.0,74.0,True,both,1,0,control,control,1,1,4.48863636973214,2.1972245773362196,4.394449154672439
control,believethehype/nostrdvm,2025-02,20,18,15,201,79,122,163,82,,0,0,,0,15.0,15.0,201.0,201.0,0.0,41.0,160.0,0.2039800995024875,34.0,45.0,7.0,115.0,163.0,True,both,1,0,control,control,0,0,5.308267697401205,3.7376696182833684,5.081404364984463
control,believethehype/nostrdvm,2025-03,1,1,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,believethehype/nostrdvm,2025-04,3,3,3,4,0,4,3,2,,0,0,,0,3.0,3.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,True,both,1,0,control,control,0,0,1.6094379124341003,0.0,1.6094379124341003
control,believethehype/nostrdvm,2025-05,4,4,3,9,5,4,7,2,,0,0,,0,3.0,3.0,9.0,9.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,4.0,7.0,True,both,1,0,control,control,0,0,2.302585092994046,0.0,2.302585092994046
control,believethehype/nostrdvm,2025-08,3,3,3,9,1,8,8,5,,0,0,,0,3.0,3.0,9.0,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,8.0,8.0,True,both,1,0,control,control,0,0,2.302585092994046,0.0,2.302585092994046
control,bobokun/actualtap-py,2024-07,30,17,12,36,25,11,25,8,,0,0,,0,12.0,12.0,36.0,36.0,0.0,18.0,18.0,0.5,14.0,11.0,4.0,7.0,25.0,True,both,1,0,control,control,0,0,3.6109179126442243,2.9444389791664403,2.9444389791664403
control,bobokun/actualtap-py,2024-08,12,1,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,bobokun/actualtap-py,2024-09,9,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,bobokun/actualtap-py,2024-10,7,1,1,5,2,3,5,4,,0,0,,0,1.0,1.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,5.0,True,both,1,0,control,control,0,0,1.791759469228055,0.0,1.791759469228055
control,bobokun/actualtap-py,2024-11,9,6,3,10,3,7,8,6,,0,0,,0,3.0,3.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,7.0,8.0,True,both,1,0,control,control,0,0,2.3978952727983707,0.0,2.3978952727983707
control,bobokun/actualtap-py,2024-12,7,2,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,bobokun/actualtap-py,2025-01,5,1,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,bobokun/actualtap-py,2025-02,5,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,bobokun/actualtap-py,2025-03,6,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,bobokun/actualtap-py,2025-04,5,2,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,bobokun/actualtap-py,2025-05,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,bobokun/actualtap-py,2025-06,8,1,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,bobokun/actualtap-py,2025-07,23,6,5,88,75,13,80,14,,0,0,,0,5.0,5.0,88.0,88.0,0.0,21.0,67.0,0.2386363636363636,20.0,55.0,1.0,12.0,80.0,True,both,1,0,control,control,0,0,4.48863636973214,3.091042453358316,4.219507705176107
control,bobokun/actualtap-py,2025-08,4,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,bropines/chrome-lens-py,2024-08,14,3,2,44,26,18,26,6,,0,0,,0,2.0,2.0,44.0,44.0,0.0,13.0,31.0,0.2954545454545454,8.0,18.0,5.0,13.0,26.0,True,both,1,0,control,control,0,0,3.8066624897703196,2.639057329615259,3.4657359027997265
control,bropines/chrome-lens-py,2024-09,10,3,2,34,14,20,25,6,,0,0,,0,2.0,2.0,34.0,34.0,0.0,7.0,27.0,0.2058823529411764,5.0,9.0,2.0,18.0,25.0,True,both,1,0,control,control,0,0,3.5553480614894135,2.0794415416798357,3.332204510175204
control,bropines/chrome-lens-py,2024-10,5,3,3,45,4,41,32,7,,0,0,,0,3.0,3.0,45.0,45.0,0.0,8.0,37.0,0.1777777777777777,2.0,2.0,6.0,35.0,32.0,True,both,1,0,control,control,0,0,3.828641396489095,2.1972245773362196,3.6375861597263857
control,bropines/chrome-lens-py,2024-11,6,5,4,48,13,35,33,6,,0,0,,0,4.0,4.0,48.0,48.0,0.0,4.0,44.0,0.0833333333333333,2.0,11.0,2.0,33.0,33.0,True,both,1,0,control,control,0,0,3.8918202981106265,1.6094379124341003,3.8066624897703196
control,bropines/chrome-lens-py,2024-12,1,1,1,9,1,8,9,2,,0,0,,0,1.0,1.0,9.0,9.0,0.0,4.0,5.0,0.4444444444444444,1.0,0.0,3.0,5.0,9.0,True,both,1,0,control,control,0,0,2.302585092994046,1.6094379124341003,1.791759469228055
control,bropines/chrome-lens-py,2025-01,3,2,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,bropines/chrome-lens-py,2025-02,13,10,6,40,6,34,30,4,,0,0,,0,6.0,6.0,40.0,40.0,0.0,11.0,29.0,0.275,3.0,3.0,8.0,26.0,30.0,True,both,1,0,control,control,0,0,3.713572066704308,2.4849066497880004,3.4011973816621555
control,bropines/chrome-lens-py,2025-03,24,14,6,63,16,47,51,6,,0,0,,0,6.0,6.0,63.0,63.0,0.0,12.0,51.0,0.1904761904761904,5.0,11.0,7.0,40.0,51.0,True,both,1,0,control,control,0,0,4.1588830833596715,2.5649493574615367,3.9512437185814275
control,bropines/chrome-lens-py,2025-06,13,6,5,80,43,37,44,12,,0,0,,0,5.0,5.0,80.0,80.0,0.0,7.0,73.0,0.0875,4.0,39.0,3.0,34.0,44.0,True,both,1,0,control,control,0,0,4.394449154672439,2.0794415416798357,4.304065093204169
control,bropines/chrome-lens-py,2025-08,7,4,2,7,1,6,5,2,,0,0,,0,2.0,2.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,6.0,5.0,True,both,1,0,control,control,0,0,2.0794415416798357,0.0,2.0794415416798357
control,caffeinedoom/reconthing,2024-11,3,1,1,87,87,0,87,19,,0,0,,0,1.0,1.0,87.0,87.0,0.0,16.0,71.0,0.1839080459770115,16.0,71.0,0.0,0.0,87.0,True,both,1,0,control,control,0,0,4.477336814478207,2.833213344056216,4.276666119016055
control,cyb3rfortr3ss/ByDeF,2025-03,6,1,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,cyb3rfortr3ss/ByDeF,2025-05,7,1,1,12,12,0,12,1,,0,0,,0,1.0,1.0,12.0,12.0,0.0,5.0,7.0,0.4166666666666667,5.0,7.0,0.0,0.0,12.0,True,both,1,0,control,control,0,0,2.5649493574615367,1.791759469228055,2.0794415416798357
control,davidhandsome86/LLM_RAG,2024-02,3,1,1,5,5,0,5,3,,0,0,,0,1.0,1.0,5.0,5.0,0.0,3.0,2.0,0.6,3.0,2.0,0.0,0.0,5.0,True,both,1,0,control,control,0,0,1.791759469228055,1.3862943611198906,1.0986122886681096
control,davidhandsome86/LLM_RAG,2024-03,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,daxa-ai/pebblo,2024-01,133,56,41,178,90,88,112,36,,0,0,,0,41.0,41.0,178.0,178.0,0.0,30.0,148.0,0.1685393258426966,22.0,68.0,8.0,80.0,112.0,True,both,1,0,control,control,2,1,5.187385805840755,3.4339872044851463,5.003946305945459
control,daxa-ai/pebblo,2024-02,74,25,23,139,86,53,102,23,,0,0,,0,23.0,23.0,139.0,139.0,0.0,21.0,118.0,0.1510791366906475,17.0,69.0,4.0,49.0,102.0,True,both,1,0,control,control,0,0,4.941642422609304,3.091042453358316,4.77912349311153
control,daxa-ai/pebblo,2024-03,46,25,23,144,49,95,102,29,,0,0,,0,23.0,23.0,144.0,144.0,0.0,29.0,115.0,0.2013888888888889,19.0,30.0,10.0,85.0,102.0,True,both,1,0,control,control,0,0,4.976733742420574,3.4011973816621555,4.7535901911063645
control,daxa-ai/pebblo,2024-04,33,14,12,57,23,34,51,22,,0,0,,0,12.0,12.0,57.0,57.0,0.0,10.0,47.0,0.175438596491228,9.0,14.0,1.0,33.0,51.0,True,both,1,0,control,control,0,0,4.060443010546419,2.3978952727983707,3.8712010109078907
control,daxa-ai/pebblo,2024-05,21,10,9,84,42,42,71,23,,0,0,,0,9.0,9.0,84.0,84.0,0.0,14.0,70.0,0.1666666666666666,12.0,30.0,2.0,40.0,71.0,True,both,1,0,control,control,0,0,4.442651256490317,2.70805020110221,4.2626798770413155
control,daxa-ai/pebblo,2024-06,5,2,2,16,14,2,16,6,,0,0,,0,2.0,2.0,16.0,16.0,0.0,2.0,14.0,0.125,2.0,12.0,0.0,2.0,16.0,True,both,1,0,control,control,0,0,2.833213344056216,1.0986122886681096,2.70805020110221
control,daxa-ai/pebblo,2024-07,40,17,15,127,52,75,90,30,,0,0,,0,15.0,15.0,127.0,127.0,0.0,21.0,106.0,0.1653543307086614,15.0,37.0,6.0,69.0,90.0,True,both,1,0,control,control,0,0,4.852030263919617,3.091042453358316,4.672828834461906
control,daxa-ai/pebblo,2024-08,32,17,15,188,99,89,162,39,,0,0,,0,15.0,15.0,188.0,188.0,0.0,29.0,159.0,0.1542553191489361,24.0,75.0,5.0,84.0,162.0,True,both,1,0,control,control,0,0,5.241747015059643,3.4011973816621555,5.075173815233827
control,daxa-ai/pebblo,2024-09,54,24,23,206,84,122,158,39,,0,0,,0,23.0,23.0,206.0,206.0,0.0,32.0,174.0,0.1553398058252427,21.0,63.0,11.0,111.0,158.0,True,both,1,0,control,control,0,0,5.332718793265369,3.4965075614664802,5.1647859739235145
control,daxa-ai/pebblo,2024-10,7,3,2,35,28,7,35,7,,0,0,,0,2.0,2.0,35.0,35.0,0.0,5.0,30.0,0.1428571428571428,5.0,23.0,0.0,7.0,35.0,True,both,1,0,control,control,0,0,3.58351893845611,1.791759469228055,3.4339872044851463
control,daxa-ai/pebblo,2024-11,1,1,1,10,10,0,10,4,,0,0,,0,1.0,1.0,10.0,10.0,0.0,1.0,9.0,0.1,1.0,9.0,0.0,0.0,10.0,True,both,1,0,control,control,0,0,2.3978952727983707,0.6931471805599453,2.302585092994046
control,daxa-ai/pebblo,2025-02,4,1,1,52,37,15,52,16,,0,0,,0,1.0,1.0,52.0,52.0,0.0,11.0,41.0,0.2115384615384615,11.0,26.0,0.0,15.0,52.0,True,both,1,0,control,control,0,0,3.970291913552122,2.4849066497880004,3.7376696182833684
control,daxa-ai/pebblo,2025-06,2,1,1,12,12,0,12,4,,0,0,,0,1.0,1.0,12.0,12.0,0.0,4.0,8.0,0.3333333333333333,4.0,8.0,0.0,0.0,12.0,True,both,1,0,control,control,0,0,2.5649493574615367,1.6094379124341003,2.1972245773362196
control,dimatura/pypcd,2024-06,1,1,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,dimatura/pypcd,2024-07,0,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-03,4,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-04,2,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-05,33,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-06,30,1,1,1,1,0,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.6931471805599453,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-07,22,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-08,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-09,33,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-10,4,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-11,24,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2024-12,12,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2025-01,18,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,djeada/Kurs-Podstaw-Pythona,2025-05,3,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,dottxt-ai/prompts,2024-07,13,5,5,38,27,11,27,3,,0,0,,0,5.0,5.0,38.0,38.0,0.0,16.0,22.0,0.4210526315789473,14.0,13.0,2.0,9.0,27.0,True,both,1,0,control,control,0,0,3.6635616461296463,2.833213344056216,3.1354942159291497
control,dottxt-ai/prompts,2024-08,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,dottxt-ai/prompts,2024-09,7,5,4,21,6,15,19,2,,0,0,,0,4.0,4.0,21.0,21.0,0.0,10.0,11.0,0.4761904761904761,2.0,4.0,8.0,7.0,19.0,True,both,1,0,control,control,0,0,3.091042453358316,2.3978952727983707,2.4849066497880004
control,dottxt-ai/prompts,2025-07,2,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,dromara/domain-admin,2024-01,27,20,14,113,88,25,102,40,,0,0,,0,14.0,14.0,113.0,113.0,0.0,49.0,64.0,0.4336283185840708,41.0,47.0,8.0,17.0,102.0,True,both,1,0,control,control,0,0,4.736198448394496,3.912023005428146,4.174387269895637
control,dromara/domain-admin,2024-02,34,30,19,73,36,37,65,28,,0,0,,0,19.0,19.0,73.0,73.0,0.0,17.0,56.0,0.2328767123287671,16.0,20.0,1.0,36.0,65.0,True,both,1,0,control,control,0,0,4.304065093204169,2.8903717578961645,4.04305126783455
control,dromara/domain-admin,2024-03,20,13,8,46,23,23,41,16,,0,0,,0,8.0,8.0,46.0,46.0,0.0,15.0,31.0,0.3260869565217391,11.0,12.0,4.0,19.0,41.0,True,both,1,0,control,control,0,0,3.8501476017100584,2.772588722239781,3.4657359027997265
control,dromara/domain-admin,2024-04,28,24,12,25,7,18,19,14,,0,0,,0,12.0,12.0,25.0,25.0,0.0,5.0,20.0,0.2,3.0,4.0,2.0,16.0,19.0,True,both,1,0,control,control,0,0,3.258096538021482,1.791759469228055,3.044522437723423
control,dromara/domain-admin,2024-05,9,3,2,8,5,3,8,3,,0,0,,0,2.0,2.0,8.0,8.0,0.0,3.0,5.0,0.375,2.0,3.0,1.0,2.0,8.0,True,both,1,0,control,control,0,0,2.1972245773362196,1.3862943611198906,1.791759469228055
control,dromara/domain-admin,2024-06,20,14,9,62,31,31,52,15,,0,0,,0,9.0,9.0,62.0,62.0,0.0,34.0,28.0,0.5483870967741935,24.0,7.0,10.0,21.0,52.0,True,both,1,0,control,control,0,0,4.143134726391533,3.5553480614894135,3.367295829986474
control,dromara/domain-admin,2024-07,36,27,17,312,32,280,201,47,,0,0,,0,17.0,17.0,312.0,312.0,0.0,53.0,259.0,0.1698717948717948,12.0,20.0,41.0,239.0,201.0,True,both,1,0,control,control,0,0,5.746203190540153,3.9889840465642745,5.560681631015528
control,dromara/domain-admin,2024-08,8,6,4,53,43,10,53,13,,0,0,,0,4.0,4.0,53.0,53.0,0.0,18.0,35.0,0.3396226415094339,15.0,28.0,3.0,7.0,53.0,True,both,1,0,control,control,0,0,3.9889840465642745,2.9444389791664403,3.58351893845611
control,dromara/domain-admin,2024-09,28,8,4,21,9,12,18,11,,0,0,,0,4.0,4.0,21.0,21.0,0.0,11.0,10.0,0.5238095238095238,6.0,3.0,5.0,7.0,18.0,True,both,1,0,control,control,0,0,3.091042453358316,2.4849066497880004,2.3978952727983707
control,dromara/domain-admin,2024-10,24,6,3,22,13,9,22,7,,0,0,,0,3.0,3.0,22.0,22.0,0.0,8.0,14.0,0.3636363636363636,8.0,5.0,0.0,9.0,22.0,True,both,1,0,control,control,0,0,3.1354942159291497,2.1972245773362196,2.70805020110221
control,dromara/domain-admin,2024-11,20,15,6,27,8,19,27,11,,0,0,,0,6.0,6.0,27.0,27.0,0.0,6.0,21.0,0.2222222222222222,4.0,4.0,2.0,17.0,27.0,True,both,1,0,control,control,0,0,3.332204510175204,1.9459101490553132,3.091042453358316
control,dromara/domain-admin,2024-12,6,3,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,dromara/domain-admin,2025-02,3,2,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,dromara/domain-admin,2025-03,2,2,1,2,0,2,2,2,,0,0,,0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,True,both,1,0,control,control,0,0,1.0986122886681096,0.0,1.0986122886681096
control,dromara/domain-admin,2025-04,2,2,1,4,3,1,4,2,,0,0,,0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,True,both,1,0,control,control,0,0,1.6094379124341003,0.0,1.6094379124341003
control,dromara/domain-admin,2025-06,7,5,3,12,11,1,12,5,,0,0,,0,3.0,3.0,12.0,12.0,0.0,1.0,11.0,0.0833333333333333,1.0,10.0,0.0,1.0,12.0,True,both,1,0,control,control,0,0,2.5649493574615367,0.6931471805599453,2.4849066497880004
control,dromara/domain-admin,2025-07,7,4,2,8,0,8,6,2,,0,0,,0,2.0,2.0,8.0,8.0,0.0,1.0,7.0,0.125,0.0,0.0,1.0,7.0,6.0,True,both,1,0,control,control,0,0,2.1972245773362196,0.6931471805599453,2.0794415416798357
control,dromara/domain-admin,2025-08,3,2,2,3,1,2,3,3,,0,0,,0,2.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,True,both,1,0,control,control,0,0,1.3862943611198906,0.0,1.3862943611198906
control,dymmond/edgy,2024-01,36,30,18,370,288,82,346,69,,0,0,,0,18.0,18.0,370.0,370.0,0.0,39.0,331.0,0.1054054054054054,35.0,253.0,4.0,78.0,346.0,True,both,1,0,control,control,0,0,5.916202062607435,3.6888794541139363,5.805134968916488
control,dymmond/edgy,2024-02,2,1,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,dymmond/edgy,2024-04,10,7,3,15,10,5,12,7,,0,0,,0,3.0,3.0,15.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,5.0,12.0,True,both,1,0,control,control,0,0,2.772588722239781,0.0,2.772588722239781
control,dymmond/edgy,2024-05,17,11,8,340,261,79,330,62,,0,0,,0,8.0,8.0,340.0,340.0,0.0,114.0,226.0,0.3352941176470588,100.0,161.0,14.0,65.0,328.0,True,both,1,0,control,control,0,0,5.831882477283517,4.74493212836325,5.424950017481403
control,dymmond/edgy,2024-06,13,10,9,548,330,218,482,73,,0,0,,0,9.0,9.0,548.0,548.0,0.0,130.0,418.0,0.2372262773722627,90.0,240.0,40.0,178.0,480.0,True,both,1,0,control,control,0,0,6.3080984415095305,4.875197323201151,6.037870919922137
control,dymmond/edgy,2024-07,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,dymmond/edgy,2024-08,15,11,9,617,156,461,544,179,,0,0,,0,9.0,9.0,617.0,617.0,0.0,143.0,474.0,0.2317666126418152,79.0,77.0,64.0,397.0,542.0,True,both,1,0,control,control,0,0,6.42648845745769,4.969813299576001,6.163314804034641
control,dymmond/edgy,2024-09,14,14,13,1426,418,1008,997,276,,0,0,,0,13.0,13.0,1426.0,1426.0,0.0,293.0,1133.0,0.2054698457223001,102.0,316.0,191.0,817.0,986.0,True,both,1,0,control,control,0,0,7.2633296174768365,5.683579767338681,7.033506484287697
control,dymmond/edgy,2024-10,31,29,24,570,231,339,452,93,,0,0,,0,24.0,24.0,570.0,570.0,0.0,149.0,421.0,0.2614035087719298,82.0,149.0,67.0,272.0,445.0,True,both,1,0,control,control,0,0,6.3473892096560105,5.0106352940962555,6.045005314036012
control,dymmond/edgy,2024-11,14,14,10,242,72,170,230,89,,0,0,,0,10.0,10.0,242.0,242.0,0.0,61.0,181.0,0.2520661157024793,23.0,49.0,38.0,132.0,229.0,True,both,1,0,control,control,0,0,5.493061443340548,4.127134385045092,5.204006687076795
control,dymmond/edgy,2024-12,13,8,7,67,39,28,64,28,,0,0,,0,7.0,7.0,67.0,67.0,0.0,12.0,55.0,0.1791044776119403,8.0,31.0,4.0,24.0,64.0,True,both,1,0,control,control,0,0,4.219507705176107,2.5649493574615367,4.02535169073515
control,dymmond/edgy,2025-01,21,16,15,401,208,193,369,100,,0,0,,0,15.0,15.0,401.0,401.0,0.0,84.0,317.0,0.2094763092269326,44.0,164.0,40.0,153.0,362.0,True,both,1,0,control,control,0,0,5.996452088619021,4.442651256490317,5.762051382780177
