treatment_repo,treatment_month,event_month,time_to_event,in_event_window,original_control_slots,python_eligible_controls,no_python_controls,snapshot_unknown_controls,missing_clone_controls,missing_monthly_history_controls,no_prior_snapshot_controls,exact_month_python_controls,prior_asof_python_controls,has_any_python_control,has_all_three_python_controls,coverage_class,eligible_snapshot_age_min_months,eligible_snapshot_age_median_months,eligible_snapshot_age_max_months,python_eligible_control_repos,no_python_control_repos,unavailable_or_unknown_control_repos,stable_python_control_count_event_window
discus0434/nook,2025-02,2025-02,0.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,3
discus0434/nook,2025-03,2025-02,1.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,1,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,3
discus0434/nook,2025-04,2025-02,2.0,1,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,1.0,2,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,3
ericmjl/llamabot,2024-01,2024-09,-8.0,0,3,2,0,0,0,0,1,2,0,1,0,2_of_3,0,0.0,0,MalevichAI/malevich | stakewise/v3-operator,,FaceAdapter/Face-Adapter,2
ericmjl/llamabot,2024-02,2024-09,-7.0,0,3,2,0,0,0,0,1,2,0,1,0,2_of_3,0,0.0,0,MalevichAI/malevich | stakewise/v3-operator,,FaceAdapter/Face-Adapter,2
ericmjl/llamabot,2024-03,2024-09,-6.0,1,3,2,0,0,0,0,1,2,0,1,0,2_of_3,0,0.0,0,MalevichAI/malevich | stakewise/v3-operator,,FaceAdapter/Face-Adapter,2
ericmjl/llamabot,2024-04,2024-09,-5.0,1,3,2,0,0,0,0,1,2,0,1,0,2_of_3,0,0.0,0,MalevichAI/malevich | stakewise/v3-operator,,FaceAdapter/Face-Adapter,2
ericmjl/llamabot,2024-05,2024-09,-4.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2024-06,2024-09,-3.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,1,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2024-07,2024-09,-2.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,2,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2024-08,2024-09,-1.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,3,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2024-09,2024-09,0.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,4,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2024-10,2024-09,1.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,5,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2024-11,2024-09,2.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,6,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2024-12,2024-09,3.0,1,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,1.0,7,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2025-01,2024-09,4.0,1,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,2.0,8,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2025-02,2024-09,5.0,1,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,3.0,9,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2025-03,2024-09,6.0,1,3,3,0,0,0,0,0,1,2,1,1,3_of_3,1,4.0,10,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2025-04,2024-09,7.0,0,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,5.0,11,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2025-05,2024-09,8.0,0,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,6.0,12,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2025-06,2024-09,9.0,0,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,7.0,13,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2025-07,2024-09,10.0,0,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,8.0,14,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/llamabot,2025-08,2024-09,11.0,0,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,9.0,15,FaceAdapter/Face-Adapter | MalevichAI/malevich | stakewise/v3-operator,,,2
ericmjl/pyds-cli,2024-01,2024-11,-10.0,0,3,3,0,0,0,0,0,1,2,1,1,3_of_3,16,17.0,30,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-02,2024-11,-9.0,0,3,3,0,0,0,0,0,1,2,1,1,3_of_3,17,18.0,31,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-03,2024-11,-8.0,0,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,18.0,32,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-04,2024-11,-7.0,0,3,3,0,0,0,0,0,0,3,1,1,3_of_3,1,19.0,33,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-05,2024-11,-6.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,2,20.0,34,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-06,2024-11,-5.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,3,21.0,35,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-07,2024-11,-4.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,4,22.0,36,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-08,2024-11,-3.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,5,23.0,37,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-09,2024-11,-2.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,6,24.0,38,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-10,2024-11,-1.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,7,25.0,39,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-11,2024-11,0.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,8,26.0,40,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2024-12,2024-11,1.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,9,27.0,41,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
