treatment_repo,control_rank,control_repo,event_window_min,event_window_max,treatment_python_months_observed_in_window,control_python_eligible_months,control_no_python_months,control_unknown_or_unavailable_months,stable_python_for_observed_treatment_months,eligible_snapshot_age_max_months
appl-team/appl,2,markmelnic/stealthenium,-6,6,8,6,0,2,0,3
appl-team/appl,3,infected4098/Wave-U-Mamba,-6,6,8,5,0,3,0,1
arjitvermaco/DbDost,1,00sapo/taskcheck,-6,6,1,1,0,0,1,0
arjitvermaco/DbDost,2,sakomws/ai-workshop,-6,6,1,1,0,0,1,0
arjitvermaco/DbDost,3,justin4ai/Quark,-6,6,1,0,0,1,0,
askjohngeorge/pipecat-lead-qualifier,1,itsKayWat/MindfulShift-2025,-6,6,2,2,0,0,1,2
askjohngeorge/pipecat-lead-qualifier,2,Benzauber/convert-commander,-6,6,2,2,0,0,1,1
askjohngeorge/pipecat-lead-qualifier,3,kangtegong/pyftrace,-6,6,2,2,0,0,1,2
assafelovic/gpt-researcher,1,QiuChenly/InjectLib,-6,6,13,0,0,13,0,
assafelovic/gpt-researcher,2,PromtEngineer/localGPT,-6,6,13,13,0,0,1,3
assafelovic/gpt-researcher,3,daxa-ai/pebblo,-6,6,13,13,0,0,1,3
atopile/atopile,1,QiuChenly/InjectLib,-6,6,13,0,0,13,0,
atopile/atopile,2,PromtEngineer/localGPT,-6,6,13,13,0,0,1,3
atopile/atopile,3,daxa-ai/pebblo,-6,6,13,13,0,0,1,3
c4fun/tell-stories-webui,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,3,3,0,0,1,0
c4fun/tell-stories-webui,2,LuneMods/KCD2-Blender-Toolkit,-6,6,3,3,0,0,1,1
c4fun/tell-stories-webui,3,ninareyes1/Simple-Digital-Clock,-6,6,3,3,0,0,1,2
cbardyn/ai-swiss-workflows,1,RobinWu218/ToST,-6,6,1,0,1,0,0,
cbardyn/ai-swiss-workflows,2,vonssy/BlockBitsApp-BOT,-6,6,1,1,0,0,1,0
cbardyn/ai-swiss-workflows,3,Scrapybara/scrapybara-playground,-6,6,1,1,0,0,1,0
cgevans/qslib,1,ergrelet/unlicense,-6,6,12,12,0,0,1,24
cgevans/qslib,2,djeada/Kurs-Podstaw-Pythona,-6,6,12,12,0,0,1,3
cgevans/qslib,3,ruiqini/NTFields,-6,6,12,12,0,0,1,13
codingforentrepreneurs/Cursor-Django,1,loml13yyy/AtlassianConfluence-RCE,-6,6,1,1,0,0,1,0
codingforentrepreneurs/Cursor-Django,2,loml13yyy/yyGRPU8,-6,6,1,1,0,0,1,0
codingforentrepreneurs/Cursor-Django,3,HelpingAI/Webscout,-6,6,1,1,0,0,1,0
cohnen/mcp-google-ads,1,aws/nova-act,-6,6,6,6,0,0,1,0
cohnen/mcp-google-ads,2,cyb3rfortr3ss/ByDeF,-6,6,6,6,0,0,1,3
cohnen/mcp-google-ads,3,vonssy/DreamerQuests-BOT,-6,6,6,6,0,0,1,2
daojiAnime/vmq-fastapi,1,ali-bahrainian/RAG_best_practices,-6,6,3,3,0,0,1,1
daojiAnime/vmq-fastapi,2,MrTimonM/Arichain-Bot,-6,6,3,3,0,0,1,2
daojiAnime/vmq-fastapi,3,yihozhang/most-influential-pl-papers,-6,6,3,3,0,0,1,2
discus0434/nook,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,3,3,0,0,1,0
discus0434/nook,2,LuneMods/KCD2-Blender-Toolkit,-6,6,3,3,0,0,1,1
discus0434/nook,3,ninareyes1/Simple-Digital-Clock,-6,6,3,3,0,0,1,2
ericmjl/llamabot,1,stakewise/v3-operator,-6,6,13,13,0,0,1,1
ericmjl/llamabot,2,MalevichAI/malevich,-6,6,13,13,0,0,1,4
ericmjl/llamabot,3,FaceAdapter/Face-Adapter,-6,6,13,11,0,2,0,10
ericmjl/pyds-cli,1,weizequan/TASHR,-6,6,12,12,0,0,1,13
ericmjl/pyds-cli,2,krishpranav/socialosint,-6,6,12,12,0,0,1,45
ericmjl/pyds-cli,3,YangDi666/UNIK,-6,6,12,12,0,0,1,31
ericyuegu/hal,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,8,2,0,6,0,0
ericyuegu/hal,2,LuneMods/KCD2-Blender-Toolkit,-6,6,8,2,0,6,0,0
ericyuegu/hal,3,ninareyes1/Simple-Digital-Clock,-6,6,8,2,0,6,0,1
ericzakariasson/uber-eats-mcp-server,1,aws/nova-act,-6,6,1,1,0,0,1,0
ericzakariasson/uber-eats-mcp-server,2,cyb3rfortr3ss/ByDeF,-6,6,1,1,0,0,1,0
ericzakariasson/uber-eats-mcp-server,3,vonssy/DreamerQuests-BOT,-6,6,1,1,0,0,1,0
ethyca/fides,1,microsoft/semantic-link-labs,-6,6,12,12,0,0,1,0
ethyca/fides,2,lancedb/lancedb,-6,6,12,12,0,0,1,0
ethyca/fides,3,pieces-app/cli-agent,-6,6,12,12,0,0,1,0
ezyang/codemcp,1,aws/nova-act,-6,6,4,4,0,0,1,0
ezyang/codemcp,2,cyb3rfortr3ss/ByDeF,-6,6,4,4,0,0,1,1
ezyang/codemcp,3,vonssy/DreamerQuests-BOT,-6,6,4,4,0,0,1,2
gerred/mcp-server-replicate,1,ali-bahrainian/RAG_best_practices,-6,6,2,2,0,0,1,1
gerred/mcp-server-replicate,2,MrTimonM/Arichain-Bot,-6,6,2,2,0,0,1,1
gerred/mcp-server-replicate,3,yihozhang/most-influential-pl-papers,-6,6,2,2,0,0,1,1
getsentry/sentry,1,NVIDIA/cuEquivariance,-6,6,13,10,0,3,0,0
getsentry/sentry,2,aj47/100x-orchestrator,-6,6,13,10,0,3,0,6
getsentry/sentry,3,golemfoundation/octant,-6,6,13,13,0,0,1,0
grapeot/devin.cursorrules,1,RobinWu218/ToST,-6,6,6,4,2,0,0,3
grapeot/devin.cursorrules,2,vonssy/BlockBitsApp-BOT,-6,6,6,6,0,0,1,5
grapeot/devin.cursorrules,3,Scrapybara/scrapybara-playground,-6,6,6,6,0,0,1,2
grapeot/web_agentic_ai,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,2,2,0,0,1,0
grapeot/web_agentic_ai,2,LuneMods/KCD2-Blender-Toolkit,-6,6,2,2,0,0,1,0
grapeot/web_agentic_ai,3,ninareyes1/Simple-Digital-Clock,-6,6,2,2,0,0,1,1
hyperb1iss/droidmind,1,aws/nova-act,-6,6,3,3,0,0,1,0
hyperb1iss/droidmind,2,cyb3rfortr3ss/ByDeF,-6,6,3,3,0,0,1,1
hyperb1iss/droidmind,3,vonssy/DreamerQuests-BOT,-6,6,3,3,0,0,1,1
ilanbenb/wa_llm,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,8,7,0,1,0,4
ilanbenb/wa_llm,2,LuneMods/KCD2-Blender-Toolkit,-6,6,8,7,0,1,0,5
ilanbenb/wa_llm,3,ninareyes1/Simple-Digital-Clock,-6,6,8,7,0,1,0,6
instructor-ai/instructor,1,microsoft/semantic-link-labs,-6,6,12,12,0,0,1,0
instructor-ai/instructor,2,lancedb/lancedb,-6,6,12,12,0,0,1,0
instructor-ai/instructor,3,pieces-app/cli-agent,-6,6,12,12,0,0,1,0
jmurth1234/ClaudePlayer,1,NiceRingNode/LGGPT,-6,6,2,2,0,0,1,0
jmurth1234/ClaudePlayer,2,taylorwilsdon/open-webui-tools,-6,6,2,2,0,0,1,0
jmurth1234/ClaudePlayer,3,BiancoChiu/iOSRealRun-cli-18,-6,6,2,2,0,0,1,0
keephq/keep,1,microsoft/semantic-link-labs,-6,6,12,12,0,0,1,0
keephq/keep,2,lancedb/lancedb,-6,6,12,12,0,0,1,0
keephq/keep,3,pieces-app/cli-agent,-6,6,12,12,0,0,1,0
leettools-dev/leettools,1,popey/sbommage,-6,6,5,0,3,2,0,
leettools-dev/leettools,2,zhipeixu/FakeShield,-6,6,5,3,2,0,0,0
leettools-dev/leettools,3,Hack-a-Day/2024-Supercon-8-Add-On-Badge,-6,6,5,5,0,0,1,3
loftwah/auto-jira,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,1,1,0,0,1,0
loftwah/auto-jira,2,LuneMods/KCD2-Blender-Toolkit,-6,6,1,1,0,0,1,0
loftwah/auto-jira,3,ninareyes1/Simple-Digital-Clock,-6,6,1,1,0,0,1,0
lss233/kirara-ai,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,11,5,0,6,0,2
lss233/kirara-ai,2,LuneMods/KCD2-Blender-Toolkit,-6,6,11,5,0,6,0,3
lss233/kirara-ai,3,ninareyes1/Simple-Digital-Clock,-6,6,11,5,0,6,0,4
martinnormark/neural-mesh-simplification,1,PromtEngineer/localGPT,-6,6,8,8,0,0,1,2
martinnormark/neural-mesh-simplification,2,daxa-ai/pebblo,-6,6,8,8,0,0,1,2
martinnormark/neural-mesh-simplification,3,neuml/rag,-6,6,8,8,0,0,1,3
matebenyovszky/healing-agent,1,loml13yyy/AtlassianConfluence-RCE,-6,6,4,4,0,0,1,3
matebenyovszky/healing-agent,2,loml13yyy/yyGRPU8,-6,6,4,4,0,0,1,3
matebenyovszky/healing-agent,3,HelpingAI/Webscout,-6,6,4,4,0,0,1,0
namuan/trading-utils,1,Envious-Data/Env-KB,-6,6,11,11,0,0,1,11
namuan/trading-utils,2,666wcy/ARPT-Bot,-6,6,11,11,0,0,1,36
namuan/trading-utils,3,liangchundong/HGNN-AC,-6,6,11,11,0,0,1,42
neal-zhu/sentinel,1,00sapo/taskcheck,-6,6,6,6,0,0,1,2
neal-zhu/sentinel,2,sakomws/ai-workshop,-6,6,6,6,0,0,1,4
neal-zhu/sentinel,3,justin4ai/Quark,-6,6,6,0,0,6,0,
nextml-code/pytorch-datastream,1,wasilukm/hoymiles-mqtt,-6,6,7,7,0,0,1,2
nextml-code/pytorch-datastream,2,Cherecho/Triangular-arbitrage,-6,6,7,7,0,0,1,32
nextml-code/pytorch-datastream,3,william-sy/TesyLocal,-6,6,7,7,0,0,1,27
osomai/servicenow-mcp,1,aws/nova-act,-6,6,6,6,0,0,1,0
osomai/servicenow-mcp,2,cyb3rfortr3ss/ByDeF,-6,6,6,6,0,0,1,3
osomai/servicenow-mcp,3,vonssy/DreamerQuests-BOT,-6,6,6,6,0,0,1,2
panther-labs/panther-analysis,1,harvard-edge/QuaRL,-6,6,12,12,0,0,1,39
panther-labs/panther-analysis,2,thegreenwebfoundation/admin-portal,-6,6,12,12,0,0,1,0
panther-labs/panther-analysis,3,jgwak/GSDN,-6,6,12,12,0,0,1,38
raphaelmansuy/code2prompt,1,OSU-NLP-Group/HippoRAG,-6,6,11,9,0,2,0,5
