control_repo,matched_treatment_count_all,matched_treatment_count_candidates,candidate_treatment_month_slots,candidate_python_eligible_slots,control_clone_found,pair_statuses,monthly_history_rows,monthly_python_rows,monthly_no_python_rows,monthly_unknown_rows,first_month,last_month
666wcy/ARPT-Bot,1,1,15,15,1,aligned,10,10,0,0,2021-06,2022-03
AkariAsai/ScholarQABench,1,1,10,10,1,aligned,10,10,0,0,2024-11,2025-08
AlexIoannides/pyspark-example-project,1,1,20,20,1,aligned,45,45,0,0,2017-12,2021-08
ArpiarSaundersLab/annsql,1,1,17,12,1,aligned,9,9,0,0,2024-09,2025-05
BalancerMaxis/multisig-ops,1,1,6,6,1,aligned,34,33,1,0,2022-12,2025-09
Benzauber/convert-commander,1,1,2,2,1,aligned,10,10,0,0,2024-11,2025-08
BiancoChiu/iOSRealRun-cli-18,1,1,2,2,1,aligned,17,17,0,0,2024-02,2025-06
C4NU/Paddie,1,1,16,16,1,aligned,20,20,0,0,2023-08,2025-03
Cherecho/Triangular-arbitrage,1,1,13,13,1,aligned,1,1,0,0,2022-05,2022-05
Chuffnugget/volcano_integration,1,0,0,0,1,aligned,7,7,0,0,2024-12,2025-06
Cjy-CN/PUBGRecognizeAndGunpress,1,1,20,20,1,aligned,4,4,0,0,2022-04,2022-07
DakeQQ/YOLO-Depth-Estimation-for-Android,1,1,14,14,1,aligned,16,14,2,0,2024-05,2025-08
Drchip61/Dual_SAM,1,1,8,8,1,aligned,10,10,0,0,2024-03,2024-12
EURAC-EEBgroup/brick-llm,1,1,7,7,1,aligned,9,9,0,0,2024-09,2025-05
Envious-Data/Env-KB,1,1,15,15,1,aligned,39,38,1,0,2021-02,2024-04
FFY0/AdaKV,1,1,14,14,1,aligned,13,13,0,0,2024-06,2025-06
FMInference/FlexiGen,1,1,1,1,1,aligned,21,21,0,0,2023-02,2024-10
FaceAdapter/Face-Adapter,1,1,20,16,1,aligned,1,1,0,0,2024-05,2024-05
FlipperPA/peregrine,1,1,20,20,1,aligned,87,87,0,0,2017-10,2024-12
FolhaSP/mosaico,1,1,20,10,1,aligned,9,9,0,0,2024-11,2025-07
GispoCoding/qgis-venv-creator,1,1,19,18,1,aligned,2,2,0,0,2024-02,2024-03
Hack-a-Day/2024-Supercon-8-Add-On-Badge,1,1,5,5,1,aligned,7,6,1,0,2024-09,2025-03
IBM/mt-rag-benchmark,1,1,17,9,1,aligned,5,5,0,0,2024-12,2025-04
ITSpecialist111/ai_automation_suggester,1,1,7,7,1,aligned,9,9,0,0,2024-10,2025-06
Jieqianyu/SGN,1,1,12,12,1,aligned,17,17,0,0,2023-05,2024-09
JustinSparrrow/IOOI-EmotionEgg,1,1,9,6,1,aligned,1,1,0,0,2024-08,2024-08
Khrylx/PyTorch-RL,1,1,20,20,1,aligned,41,41,0,0,2017-10,2021-02
LGro/PyAPSI,1,1,20,20,1,aligned,25,25,0,0,2022-04,2024-04
LinJing517/micropython-deauth,1,1,16,16,1,aligned,2,2,0,0,2017-07,2017-08
LonamiWebs/Telebackup,1,1,19,19,1,aligned,16,16,0,0,2016-09,2017-12
Makopolo/megascan_houdini20.0_USD_plugin,1,1,1,1,1,aligned,4,4,0,0,2024-04,2024-07
MalevichAI/malevich,1,1,20,20,1,aligned,15,15,0,0,2023-09,2024-11
MingSun-Tse/LightAvatar-TensorFlow,1,1,1,1,1,aligned,3,3,0,0,2024-09,2024-11
NiceRingNode/LGGPT,1,1,2,2,1,aligned,8,7,1,0,2025-01,2025-08
OSU-NLP-Group/HippoRAG,1,1,11,9,1,aligned,17,17,0,0,2024-05,2025-09
PennyLaneAI/catalyst,1,1,20,20,1,aligned,32,32,0,0,2023-02,2025-09
PhilNad/robot-arm-kinematic-calibration,1,1,1,1,1,aligned,9,9,0,0,2024-07,2025-03
PiotrMachowski/Home-Assistant-custom-components-TGE,1,1,20,13,1,aligned,13,13,0,0,2024-08,2025-08
Retmon403/cs2_cheats_for_python,1,1,12,12,1,aligned,16,16,0,0,2023-12,2025-03
SEU-ProactiveSecurity-Group/LLM-PD,1,1,5,4,1,aligned,5,4,1,0,2024-12,2025-04
Scholar01/sd-webui-bg-mask,1,1,17,17,1,aligned,2,2,0,0,2023-09,2023-10
Simatwa/free-proxies,1,1,20,16,1,aligned,1,1,0,0,2024-05,2024-05
The-Compiler/pytest-vw,1,1,20,20,1,aligned,55,55,0,0,2015-10,2020-04
The-WhiteRabbit/dnfm_server,1,1,1,1,1,aligned,1,1,0,0,2024-08,2024-08
TheFocusedCoder/api-agent,1,1,1,1,1,aligned,1,1,0,0,2024-08,2024-08
TianxingChen/RoboTwin,1,1,20,0,1,aligned,1,0,1,0,2025-06,2025-06
VirtualFlow/VFVS,1,1,20,20,1,aligned,99,46,53,0,2017-06,2025-08
Wang-ML-Lab/unified-continual-learning,1,1,12,12,1,aligned,16,14,2,0,2023-10,2025-01
YangDi666/UNIK,1,1,16,16,1,aligned,15,15,0,0,2021-07,2022-09
adelatour11/androidtvbackground,1,1,1,1,1,aligned,17,17,0,0,2024-04,2025-08
ahmetozlu/color_recognition,1,1,20,20,1,aligned,37,37,0,0,2018-01,2021-01
anujshah1003/Tensorboard-own-image-data-image-features-embedding-visualization,1,1,19,19,1,aligned,52,52,0,0,2017-04,2021-07
autti/abraham,1,1,19,19,1,aligned,3,3,0,0,2017-03,2017-05
aws-samples/aws-dms-cdc-data-pipeline,1,1,20,20,1,aligned,35,35,0,0,2022-03,2025-01
baaivision/EVE,1,1,20,15,1,aligned,14,14,0,0,2024-06,2025-07
bannsec/stegoVeritas,1,1,20,20,1,aligned,96,96,0,0,2015-08,2023-07
believethehype/nostrdvm,1,1,20,20,1,aligned,22,22,0,0,2023-11,2025-08
bobokun/actualtap-py,1,1,8,8,1,aligned,14,14,0,0,2024-07,2025-08
caffeinedoom/reconthing,1,1,10,10,1,aligned,1,1,0,0,2024-11,2024-11
caiyuanhao1998/HDR-GS,1,0,0,0,1,aligned,8,2,6,0,2024-05,2024-12
chenjie/PyTorch-CIFAR-10-autoencoder,1,1,20,20,1,aligned,6,6,0,0,2018-08,2019-01
chrisyy2003/nonebot-plugin-gpt3,1,1,19,19,1,aligned,5,5,0,0,2022-12,2023-04
crate/devrel-pdf-rag-chatbot,1,0,0,0,1,aligned,2,2,0,0,2025-01,2025-02
davidhandsome86/LLM_RAG,1,1,19,18,1,aligned,2,2,0,0,2024-02,2024-03
dimatura/pypcd,1,1,19,19,1,aligned,137,137,0,0,2013-03,2024-07
djeada/Kurs-Podstaw-Pythona,1,1,19,19,1,aligned,71,71,0,0,2019-07,2025-05
dottxt-ai/prompts,1,1,1,1,1,aligned,13,13,0,0,2024-07,2025-07
emresen20/Pau-Bilgisayar-nots,1,1,8,8,1,aligned,10,7,3,0,2024-03,2024-12
ergrelet/unlicense,1,1,19,19,1,aligned,25,25,0,0,2021-08,2023-08
esxr/langgraph-mcp,1,0,0,0,1,aligned,2,2,0,0,2025-01,2025-02
evermoving/SystemCaptioner,1,1,17,11,1,aligned,11,11,0,0,2024-10,2025-08
harvard-edge/QuaRL,1,1,20,20,1,aligned,33,32,1,0,2019-09,2022-05
infected4098/Wave-U-Mamba,1,1,9,5,1,aligned,12,12,0,0,2024-09,2025-08
itsKayWat/MindfulShift-2025,1,1,2,2,1,aligned,1,1,0,0,2024-12,2024-12
jacebrowning/datafiles,1,1,20,20,1,aligned,86,86,0,0,2018-06,2025-07
jfcrenshaw/pzflow,1,1,20,20,1,aligned,51,51,0,0,2021-01,2025-03
jgwak/GSDN,1,1,20,20,1,aligned,23,1,22,0,2020-08,2022-06
jinli99/iShapEditing,1,1,20,18,1,aligned,13,13,0,0,2024-03,2025-03
joereynolds/reap-get,1,1,20,20,1,aligned,16,16,0,0,2015-10,2017-01
jrowellfx/lsseq,1,1,20,20,1,aligned,188,179,9,0,2009-12,2025-07
jyjblrd/SelfDrivingCar,1,1,18,18,1,aligned,1,1,0,0,2020-01,2020-01
kangtegong/pyftrace,1,1,2,2,1,aligned,6,6,0,0,2024-10,2025-03
krishpranav/socialosint,1,1,16,16,1,aligned,1,1,0,0,2021-07,2021-07
kuleshov-group/caduceus,1,1,20,19,1,aligned,17,17,0,0,2024-02,2025-06
liangchundong/HGNN-AC,1,1,15,15,1,aligned,3,3,0,0,2021-07,2021-09
linuxacademy/content-gitops,1,1,20,20,1,aligned,5,5,0,0,2019-11,2020-03
markmelnic/stealthenium,1,1,9,6,1,aligned,7,7,0,0,2024-08,2025-02
microsoft/AzureTRE,1,1,17,17,1,aligned,55,53,2,0,2021-03,2025-09
monero-project/meta,1,1,20,20,1,aligned,59,57,2,0,2016-10,2021-08
nhw649/EOV-Seg,1,1,20,15,1,aligned,7,7,0,0,2024-06,2024-12
odoo/industry,1,1,11,11,1,aligned,26,24,2,0,2023-08,2025-09
omkarcloud/amazon-scraper,1,1,19,19,1,aligned,1,1,0,0,2024-01,2024-01
oval-group/smooth-topk,1,1,20,20,1,aligned,43,43,0,0,2018-02,2021-08
peter279k/cdc-data-mirror,1,1,20,20,1,aligned,33,33,0,0,2023-01,2025-09
popey/sbommage,1,1,5,0,1,aligned,7,1,6,0,2025-02,2025-08
python-ring-doorbell/python-ring-doorbell,1,0,0,0,1,aligned,94,94,0,0,2017-02,2024-11
qiboteam/qibojit,1,1,20,20,1,aligned,53,53,0,0,2021-04,2025-08
rachtsy/KPCA_code,1,0,0,0,1,aligned,9,9,0,0,2024-08,2025-04
ruiqini/NTFields,1,1,19,19,1,aligned,18,18,0,0,2023-02,2024-07
saucer-man/qq_msg_decode,1,1,20,20,1,aligned,14,13,1,0,2023-05,2024-06
slopp/30_days_of_dagster,1,1,20,10,1,aligned,2,2,0,0,2024-11,2024-12
snowzjx/ns3-load-balance,1,1,18,18,1,aligned,161,161,0,0,2006-08,2019-12
stakewise/v3-operator,1,1,20,20,1,aligned,35,35,0,0,2022-10,2025-08
surajt97/Train_Delay_Prediction,1,1,19,19,1,aligned,7,7,0,0,2017-04,2017-10
taylorwilsdon/open-webui-tools,1,1,2,2,1,aligned,4,4,0,0,2025-02,2025-05
thefatedefeater/V2ray-Config,1,1,11,8,1,aligned,8,8,0,0,2024-06,2025-01
thegreenwebfoundation/admin-portal,1,1,20,20,1,aligned,72,72,0,0,2019-10,2025-09
tranceitionalMynd/spy-reaper,1,1,18,18,1,aligned,2,2,0,0,2017-12,2018-01
tusgino/llm-code-reviewer,1,1,5,5,1,aligned,1,1,0,0,2024-11,2024-11
viktoriasemaan/sa-ai-agent,1,1,1,1,1,aligned,3,3,0,0,2024-08,2024-10
vortezwohl/Bhakti,1,1,10,10,1,aligned,9,9,0,0,2024-08,2025-04
wasilukm/hoymiles-mqtt,1,1,13,13,1,aligned,43,43,0,0,2022-03,2025-09
weaviate/t2v-transformers-models,1,1,20,20,1,aligned,55,55,0,0,2021-02,2025-08
weizequan/TASHR,1,1,16,16,1,aligned,33,20,13,0,2021-07,2024-03
william-sy/TesyLocal,1,1,13,13,1,aligned,13,7,6,0,2021-10,2022-10
xinsir6/ControlNetPlus,1,1,14,14,1,aligned,3,3,0,0,2024-07,2024-09
xnl-h4ck3r/getSubsidiaries,1,1,5,5,1,aligned,1,1,0,0,2024-12,2024-12
yoongi43/music_audio_enhancement_conformer,1,1,19,14,1,aligned,10,10,0,0,2024-06,2025-03
yousseb/meld,1,1,20,20,1,aligned,259,259,0,0,2002-05,2023-11
ysj9909/SHViT,1,1,16,15,1,aligned,4,3,1,0,2024-03,2024-06
zeyangsha/De-Fake,1,1,17,16,1,aligned,22,17,5,0,2023-09,2025-06
zhang-xr/FirmLLM,1,1,6,5,1,aligned,3,3,0,0,2025-02,2025-04
zhipeixu/FakeShield,1,1,5,3,1,aligned,9,5,4,0,2024-10,2025-06
zhou19830318/xiaozhi_micropython,1,1,6,5,1,aligned,3,3,0,0,2025-02,2025-04
zju3dv/ready_to_react,1,1,6,5,1,aligned,2,2,0,0,2025-02,2025-03
