dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files
control,BiancoChiu/iOSRealRun-cli-18,2025-05,1,0,0,0,0,0,0,0
control,BiancoChiu/iOSRealRun-cli-18,2025-06,2,0,0,0,0,0,0,0
control,C4NU/Paddie,2024-01,6,6,6,10,0,10,8,6
control,C4NU/Paddie,2024-02,5,5,5,7,0,7,5,3
control,C4NU/Paddie,2024-03,5,5,5,14,1,13,11,5
control,C4NU/Paddie,2024-04,0,0,0,0,0,0,0,0
control,C4NU/Paddie,2025-03,26,13,12,174,154,20,158,24
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-05,99,0,0,0,0,0,0,0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-06,1,0,0,0,0,0,0,0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-07,73,25,7,311,307,4,212,14
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-08,12,10,2,4,4,0,2,2
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-09,15,10,5,10,10,0,2,2
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-10,210,40,6,208,195,13,112,5
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-11,31,3,0,0,0,0,0,0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-12,3,0,0,0,0,0,0,0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-01,10,0,0,0,0,0,0,0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-02,32,19,0,0,0,0,0,0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-03,63,9,5,377,376,1,255,17
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-04,3,0,0,0,0,0,0,0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-05,2,0,0,0,0,0,0,0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-08,56,5,5,142,62,80,141,8
control,Drchip61/Dual_SAM,2024-03,27,1,1,268,268,0,268,23
control,Drchip61/Dual_SAM,2024-04,5,0,0,0,0,0,0,0
control,Drchip61/Dual_SAM,2024-12,2,0,0,0,0,0,0,0
control,EURAC-EEBgroup/brick-llm,2024-09,2,1,1,27,27,0,27,4
control,EURAC-EEBgroup/brick-llm,2024-10,49,32,24,160,42,118,61,18
control,EURAC-EEBgroup/brick-llm,2024-11,40,7,4,17,4,13,15,12
control,EURAC-EEBgroup/brick-llm,2024-12,7,7,4,11,1,10,9,9
control,EURAC-EEBgroup/brick-llm,2025-01,6,1,1,1,0,1,1,1
control,EURAC-EEBgroup/brick-llm,2025-03,2,1,1,15,5,10,15,11
control,EURAC-EEBgroup/brick-llm,2025-05,0,0,0,0,0,0,0,0
control,Envious-Data/Env-KB,2024-04,3,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2024-06,11,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2024-07,14,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2024-08,10,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2024-09,3,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2024-11,8,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2024-12,26,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2025-01,1,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2025-02,45,3,3,740,740,0,740,78
control,Event-AHU/OpenEvDET,2025-03,7,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2025-04,4,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2025-05,36,2,2,396,396,0,396,44
control,Event-AHU/OpenEvDET,2025-07,1,0,0,0,0,0,0,0
control,Event-AHU/OpenEvDET,2025-08,3,1,1,7,7,0,7,1
control,FFY0/AdaKV,2024-06,1,1,1,54,54,0,54,7
control,FFY0/AdaKV,2024-07,2,2,2,29,18,11,26,3
control,FFY0/AdaKV,2024-08,6,2,2,34,18,16,29,8
control,FFY0/AdaKV,2024-11,8,3,1,16,4,12,16,4
control,FFY0/AdaKV,2024-12,1,0,0,0,0,0,0,0
control,FFY0/AdaKV,2025-01,1,1,1,36,12,24,36,9
control,FFY0/AdaKV,2025-06,1,0,0,0,0,0,0,0
control,FMInference/FlexiGen,2024-04,1,1,1,5,5,0,5,1
control,FMInference/FlexiGen,2024-09,2,1,1,1,0,1,1,1
control,FMInference/FlexiGen,2024-10,3,3,2,12,4,8,12,7
control,FaceAdapter/Face-Adapter,2024-05,22,5,2,155,154,1,154,10
control,FlipperPA/peregrine,2024-12,1,1,1,1,0,1,1,1
control,FolhaSP/mosaico,2024-11,29,11,10,413,381,32,381,63
control,FolhaSP/mosaico,2024-12,4,1,1,17,15,2,17,2
control,FolhaSP/mosaico,2025-01,11,6,3,32,11,21,32,11
control,FolhaSP/mosaico,2025-02,20,15,14,119,54,65,107,31
control,FolhaSP/mosaico,2025-03,19,11,10,79,55,24,64,19
control,FolhaSP/mosaico,2025-05,6,4,3,15,13,2,14,3
control,FolhaSP/mosaico,2025-07,7,4,4,47,39,8,45,9
control,GispoCoding/qgis-venv-creator,2024-02,21,8,6,47,44,3,44,5
control,GispoCoding/qgis-venv-creator,2024-03,1,0,0,0,0,0,0,0
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-09,1,0,0,0,0,0,0,0
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-10,46,9,3,79,78,1,78,3
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-11,22,9,5,16,10,6,12,2
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2025-03,7,1,0,0,0,0,0,0
control,HelpingAI/Webscout,2024-02,17,12,6,84,76,8,76,6
control,HelpingAI/Webscout,2024-03,34,21,14,296,204,92,244,22
control,HelpingAI/Webscout,2024-04,51,29,18,589,558,31,557,25
control,HelpingAI/Webscout,2024-05,44,36,21,608,520,88,566,39
control,HelpingAI/Webscout,2024-06,28,26,25,997,924,73,966,66
control,HelpingAI/Webscout,2024-07,25,25,18,163,111,52,144,22
control,HelpingAI/Webscout,2024-08,25,23,19,445,349,96,406,58
control,HelpingAI/Webscout,2024-09,11,8,6,316,269,47,307,45
control,HelpingAI/Webscout,2024-10,5,5,4,280,142,138,268,50
control,HelpingAI/Webscout,2024-11,6,3,3,111,76,35,110,17
control,HelpingAI/Webscout,2024-12,41,39,28,964,748,216,879,118
control,HelpingAI/Webscout,2025-01,7,7,5,147,102,45,147,28
control,HelpingAI/Webscout,2025-02,54,54,44,370,197,173,310,56
control,HelpingAI/Webscout,2025-03,114,107,85,973,490,483,746,126
control,HelpingAI/Webscout,2025-04,122,114,78,1213,799,414,1085,149
control,HelpingAI/Webscout,2025-05,134,123,103,1460,737,723,1146,167
control,HelpingAI/Webscout,2025-06,86,83,71,860,538,322,752,111
control,HelpingAI/Webscout,2025-07,29,25,18,206,140,66,188,35
control,HelpingAI/Webscout,2025-08,39,36,23,184,103,81,165,29
control,IBM/mt-rag-benchmark,2024-12,3,1,1,3,3,0,3,1
control,IBM/mt-rag-benchmark,2025-01,3,0,0,0,0,0,0,0
control,IBM/mt-rag-benchmark,2025-04,1,0,0,0,0,0,0,0
control,ITSpecialist111/ai_automation_suggester,2024-10,77,20,11,81,62,19,54,10
control,ITSpecialist111/ai_automation_suggester,2024-11,16,10,9,90,41,49,53,4
control,ITSpecialist111/ai_automation_suggester,2024-12,2,2,2,21,3,18,19,3
control,ITSpecialist111/ai_automation_suggester,2025-01,3,1,1,6,2,4,6,2
control,ITSpecialist111/ai_automation_suggester,2025-02,1,0,0,0,0,0,0,0
control,ITSpecialist111/ai_automation_suggester,2025-03,6,6,5,42,2,40,30,4
control,ITSpecialist111/ai_automation_suggester,2025-04,18,9,6,92,28,64,64,3
control,ITSpecialist111/ai_automation_suggester,2025-05,16,11,10,99,32,67,73,4
control,ITSpecialist111/ai_automation_suggester,2025-06,22,18,15,74,7,67,36,3
control,Jieqianyu/SGN,2024-01,1,0,0,0,0,0,0,0
control,Jieqianyu/SGN,2024-09,3,0,0,0,0,0,0,0
control,JustinSparrrow/IOOI-EmotionEgg,2025-03,8,0,0,0,0,0,0,0
control,JustinSparrrow/IOOI-EmotionEgg,2025-04,34,0,0,0,0,0,0,0
control,LGro/PyAPSI,2024-04,1,0,0,0,0,0,0,0
control,LuneMods/KCD2-Blender-Toolkit,2025-02,16,5,5,473,457,16,459,20
control,LuneMods/KCD2-Blender-Toolkit,2025-03,17,11,10,33,12,21,20,9
control,MIT-Emerging-Talent/ET6-edXtras,2025-02,8,8,6,197,197,0,197,62
control,MIT-Emerging-Talent/ET6-edXtras,2025-03,14,8,5,157,148,9,157,48
control,MIT-Emerging-Talent/ET6-edXtras,2025-04,2,0,0,0,0,0,0,0
control,Makopolo/megascan_houdini20.0_USD_plugin,2024-04,24,12,12,235,232,3,132,23
control,Makopolo/megascan_houdini20.0_USD_plugin,2024-06,5,4,4,16,0,16,9,2
control,Makopolo/megascan_houdini20.0_USD_plugin,2024-07,2,2,2,2,0,2,2,2
control,MalevichAI/malevich,2024-01,80,46,41,572,216,356,319,65
control,MalevichAI/malevich,2024-02,44,40,34,360,147,213,246,44
control,MalevichAI/malevich,2024-03,89,69,62,230,95,135,159,48
control,MalevichAI/malevich,2024-04,46,39,36,124,37,87,79,33
control,MalevichAI/malevich,2024-05,9,7,6,7,1,6,4,4
control,MalevichAI/malevich,2024-06,94,77,69,291,138,153,194,61
control,MalevichAI/malevich,2024-07,34,33,31,257,101,156,186,48
control,MalevichAI/malevich,2024-08,17,15,13,183,109,74,156,45
control,MalevichAI/malevich,2024-09,7,7,6,94,73,21,89,20
control,MalevichAI/malevich,2024-10,4,2,2,19,7,12,19,4
control,MalevichAI/malevich,2024-11,8,0,0,0,0,0,0,0
control,MingSun-Tse/LightAvatar-TensorFlow,2024-09,9,2,2,68,68,0,34,2
control,MingSun-Tse/LightAvatar-TensorFlow,2024-10,1,1,1,25,25,0,25,1
control,MingSun-Tse/LightAvatar-TensorFlow,2024-11,1,0,0,0,0,0,0,0
control,MrTimonM/Arichain-Bot,2025-01,10,2,1,7,7,0,7,1
control,NVIDIA/cuEquivariance,2024-11,4,3,3,714,702,12,702,91
control,NVIDIA/cuEquivariance,2024-12,8,7,7,292,105,187,244,65
control,NVIDIA/cuEquivariance,2025-01,17,13,11,165,29,136,112,32
control,NVIDIA/cuEquivariance,2025-02,16,8,7,89,52,37,86,20
control,NVIDIA/cuEquivariance,2025-03,10,1,1,324,174,150,324,51
control,NVIDIA/cuEquivariance,2025-04,11,10,10,232,82,150,193,27
control,NVIDIA/cuEquivariance,2025-05,3,2,2,25,13,12,25,8
control,NVIDIA/cuEquivariance,2025-06,3,2,2,7,2,5,6,5
control,NVIDIA/cuEquivariance,2025-07,14,13,13,318,181,137,260,58
control,NVIDIA/cuEquivariance,2025-08,13,8,8,96,35,61,87,27
control,NiceRingNode/LGGPT,2025-01,1,0,0,0,0,0,0,0
control,NiceRingNode/LGGPT,2025-02,8,4,1,79,79,0,79,13
control,NiceRingNode/LGGPT,2025-03,3,0,0,0,0,0,0,0
control,NiceRingNode/LGGPT,2025-06,2,0,0,0,0,0,0,0
control,NiceRingNode/LGGPT,2025-08,2,0,0,0,0,0,0,0
control,OSU-NLP-Group/HippoRAG,2024-05,10,5,5,145,120,25,120,15
control,OSU-NLP-Group/HippoRAG,2024-06,27,22,19,95,42,53,59,20
control,OSU-NLP-Group/HippoRAG,2024-07,11,5,2,5,0,5,5,4
control,OSU-NLP-Group/HippoRAG,2025-01,1,0,0,0,0,0,0,0
control,OSU-NLP-Group/HippoRAG,2025-02,3,1,1,172,172,0,172,28
control,OSU-NLP-Group/HippoRAG,2025-03,11,10,9,45,17,28,34,12
control,OSU-NLP-Group/HippoRAG,2025-04,8,8,7,40,20,20,36,14
control,OSU-NLP-Group/HippoRAG,2025-05,1,0,0,0,0,0,0,0
control,OSU-NLP-Group/HippoRAG,2025-06,3,2,2,16,13,3,16,6
control,OSU-NLP-Group/HippoRAG,2025-07,1,1,1,9,9,0,9,1
control,OSU-NLP-Group/HippoRAG,2025-08,17,17,16,40,22,18,30,10
control,PennyLaneAI/catalyst,2024-01,41,24,20,159,111,48,149,24
control,PennyLaneAI/catalyst,2024-02,50,35,29,725,508,217,645,46
control,PennyLaneAI/catalyst,2024-03,32,23,22,335,208,127,273,36
control,PennyLaneAI/catalyst,2024-04,51,29,24,376,219,157,349,43
control,PennyLaneAI/catalyst,2024-05,43,33,29,392,214,178,358,58
control,PennyLaneAI/catalyst,2024-06,50,36,34,1321,968,353,1170,44
control,PennyLaneAI/catalyst,2024-07,52,37,29,433,231,202,392,56
control,PennyLaneAI/catalyst,2024-08,84,51,24,520,285,235,464,52
control,PennyLaneAI/catalyst,2024-09,78,70,45,509,307,202,445,60
control,PennyLaneAI/catalyst,2024-10,63,49,27,295,140,155,261,52
control,PennyLaneAI/catalyst,2024-11,67,48,25,332,203,129,319,35
control,PennyLaneAI/catalyst,2024-12,70,46,19,296,166,130,274,38
control,PennyLaneAI/catalyst,2025-01,65,46,15,133,59,74,112,28
control,PennyLaneAI/catalyst,2025-02,56,41,16,143,83,60,140,26
control,PennyLaneAI/catalyst,2025-03,52,45,19,275,198,77,253,23
control,PennyLaneAI/catalyst,2025-04,66,50,20,596,231,365,553,53
control,PennyLaneAI/catalyst,2025-05,72,58,28,274,119,155,249,47
control,PennyLaneAI/catalyst,2025-06,54,48,22,308,205,103,284,37
control,PennyLaneAI/catalyst,2025-07,83,59,26,443,156,287,428,66
control,PennyLaneAI/catalyst,2025-08,60,49,26,642,112,530,595,63
control,PhilNad/robot-arm-kinematic-calibration,2024-07,5,3,2,25,25,0,25,3
control,PhilNad/robot-arm-kinematic-calibration,2024-08,2,1,1,18,1,17,18,1
control,PhilNad/robot-arm-kinematic-calibration,2025-01,1,1,0,0,0,0,0,0
control,PhilNad/robot-arm-kinematic-calibration,2025-03,4,3,2,23,21,2,23,2
control,PiotrMachowski/Home-Assistant-custom-components-TGE,2024-08,3,3,3,112,84,28,84,6
control,PiotrMachowski/Home-Assistant-custom-components-TGE,2024-10,2,1,1,23,9,14,23,5
control,PiotrMachowski/Home-Assistant-custom-components-TGE,2024-11,3,1,1,6,0,6,6,2
control,PiotrMachowski/Home-Assistant-custom-components-TGE,2024-12,2,0,0,0,0,0,0,0
control,PiotrMachowski/Home-Assistant-custom-components-TGE,2025-01,3,2,2,8,3,5,7,2
control,PiotrMachowski/Home-Assistant-custom-components-TGE,2025-04,3,1,1,1,0,1,1,1
control,PiotrMachowski/Home-Assistant-custom-components-TGE,2025-08,2,2,2,2,0,2,1,1
control,PromtEngineer/localGPT,2024-01,6,2,1,2,0,2,2,2
control,PromtEngineer/localGPT,2024-02,7,6,6,11,3,8,7,5
control,PromtEngineer/localGPT,2024-05,3,2,1,3,0,3,3,3
control,PromtEngineer/localGPT,2024-08,1,0,0,0,0,0,0,0
control,PromtEngineer/localGPT,2024-09,0,0,0,0,0,0,0,0
control,PromtEngineer/localGPT,2024-10,18,14,8,44,35,9,38,7
control,PromtEngineer/localGPT,2024-11,1,0,0,0,0,0,0,0
control,PromtEngineer/localGPT,2025-02,1,0,0,0,0,0,0,0
control,PromtEngineer/localGPT,2025-03,0,0,0,0,0,0,0,0
control,PromtEngineer/localGPT,2025-07,27,12,11,333,310,23,310,38
control,R0uter/ss.conf-for-surge,2024-07,4,1,1,2,0,2,2,1
control,Retmon403/cs2_cheats_for_python,2024-02,45,12,9,292,292,0,77,9
control,Retmon403/cs2_cheats_for_python,2024-03,1,1,1,1,0,1,1,1
control,Retmon403/cs2_cheats_for_python,2024-08,14,2,1,77,77,0,77,9
control,Retmon403/cs2_cheats_for_python,2025-03,1,0,0,0,0,0,0,0
control,RobinWu218/ToST,2024-12,2,0,0,0,0,0,0,0
control,RobinWu218/ToST,2025-01,1,0,0,0,0,0,0,0
control,RobinWu218/ToST,2025-02,2,1,1,204,204,0,204,24
control,SEU-ProactiveSecurity-Group/LLM-PD,2024-12,2,0,0,0,0,0,0,0
control,SEU-ProactiveSecurity-Group/LLM-PD,2025-01,1,1,1,45,45,0,45,11
control,SEU-ProactiveSecurity-Group/LLM-PD,2025-04,1,0,0,0,0,0,0,0
control,Simatwa/free-proxies,2024-05,1119,39,23,76,24,52,23,2
control,Simatwa/free-proxies,2024-06,1353,0,0,0,0,0,0,0
control,Simatwa/free-proxies,2024-07,1390,0,0,0,0,0,0,0
control,Simatwa/free-proxies,2024-08,1393,0,0,0,0,0,0,0
control,Simatwa/free-proxies,2024-09,1325,0,0,0,0,0,0,0
control,Simatwa/free-proxies,2024-10,1353,0,0,0,0,0,0,0
control,Simatwa/free-proxies,2024-11,543,0,0,0,0,0,0,0
control,Simatwa/free-proxies,2025-08,1,0,0,0,0,0,0,0
control,The-WhiteRabbit/dnfm_server,2024-08,18,7,2,69,65,4,65,6
control,TheFocusedCoder/api-agent,2024-08,27,4,4,5,3,2,3,2
control,TianxingChen/RoboTwin,2025-06,2,0,0,0,0,0,0,0
control,VirtualFlow/VFVS,2024-01,2,1,1,3,3,0,3,1
control,VirtualFlow/VFVS,2025-08,2,0,0,0,0,0,0,0
control,Wang-ML-Lab/unified-continual-learning,2025-01,1,0,0,0,0,0,0,0
control,adelatour11/androidtvbackground,2024-04,80,39,31,55,23,32,25,4
control,adelatour11/androidtvbackground,2024-05,3,1,1,1,0,1,1,1
control,adelatour11/androidtvbackground,2024-06,14,4,3,11,9,2,9,1
control,adelatour11/androidtvbackground,2025-01,28,20,13,23,6,17,15,4
control,adelatour11/androidtvbackground,2025-02,6,2,2,8,7,1,8,2
control,adelatour11/androidtvbackground,2025-06,11,7,6,24,13,11,20,2
control,adelatour11/androidtvbackground,2025-07,15,9,6,32,28,4,28,2
control,adelatour11/androidtvbackground,2025-08,1,1,1,6,1,5,6,3
control,aio-libs/aiohttp,2024-01,102,50,43,424,93,331,169,30
control,aio-libs/aiohttp,2024-02,49,25,24,204,52,152,72,24
control,aio-libs/aiohttp,2024-03,58,20,19,80,39,41,26,8
control,aio-libs/aiohttp,2024-04,102,51,47,406,69,337,237,37
control,aio-libs/aiohttp,2024-05,23,3,3,4,2,2,3,2
control,aio-libs/aiohttp,2024-06,12,0,0,0,0,0,0,0
control,aio-libs/aiohttp,2024-07,65,44,33,300,109,191,158,35
control,aio-libs/aiohttp,2024-08,346,166,149,2902,348,2554,2253,68
control,aio-libs/aiohttp,2024-09,356,219,208,1627,280,1347,990,67
control,aio-libs/aiohttp,2024-10,186,123,109,605,222,383,332,52
control,aio-libs/aiohttp,2024-11,397,349,304,2123,953,1170,658,74
control,aio-libs/aiohttp,2024-12,160,66,56,200,92,108,62,23
control,aio-libs/aiohttp,2025-01,68,11,6,39,9,30,13,4
control,aio-libs/aiohttp,2025-02,116,44,37,221,48,173,122,41
control,aio-libs/aiohttp,2025-03,120,52,45,166,116,50,58,17
control,aio-libs/aiohttp,2025-04,113,48,41,468,151,317,187,35
control,aio-libs/aiohttp,2025-05,254,148,121,2104,1265,839,850,62
control,aio-libs/aiohttp,2025-06,112,52,38,920,673,247,341,31
control,aio-libs/aiohttp,2025-07,99,33,27,250,66,184,78,16
control,aio-libs/aiohttp,2025-08,63,4,4,6,0,6,3,1
control,aj47/100x-orchestrator,2024-11,42,21,21,115,53,62,53,7
control,aj47/100x-orchestrator,2024-12,230,160,137,323,111,212,113,18
control,aj47/100x-orchestrator,2025-01,38,29,27,156,117,39,135,19
control,aj47/100x-orchestrator,2025-02,9,4,4,9,1,8,3,1
control,ali-bahrainian/RAG_best_practices,2024-12,22,11,8,106,72,34,72,10
control,ali-bahrainian/RAG_best_practices,2025-01,2,1,1,3,0,3,3,2
control,ali-bahrainian/RAG_best_practices,2025-03,1,0,0,0,0,0,0,0
control,aws-samples/aws-dms-cdc-data-pipeline,2024-01,1,0,0,0,0,0,0,0
control,aws-samples/aws-dms-cdc-data-pipeline,2024-02,9,3,2,4,0,4,3,3
control,aws-samples/aws-dms-cdc-data-pipeline,2024-03,11,4,3,8,0,8,7,7
control,aws-samples/aws-dms-cdc-data-pipeline,2024-05,1,0,0,0,0,0,0,0
control,aws-samples/aws-dms-cdc-data-pipeline,2024-07,1,0,0,0,0,0,0,0
control,aws-samples/aws-dms-cdc-data-pipeline,2024-08,1,1,0,0,0,0,0,0
control,aws-samples/aws-dms-cdc-data-pipeline,2025-01,1,1,0,0,0,0,0,0
control,aws/nova-act,2025-03,6,4,2,101,101,0,101,24
control,aws/nova-act,2025-04,31,29,16,68,14,54,51,16
control,aws/nova-act,2025-05,18,18,9,30,10,20,23,9
control,aws/nova-act,2025-06,30,26,21,169,99,70,127,37
control,aws/nova-act,2025-07,2,2,2,78,40,38,76,26
control,aws/nova-act,2025-08,2,2,2,213,74,139,187,50
control,baaivision/EVE,2024-06,10,3,2,264,262,2,262,43
control,baaivision/EVE,2024-07,7,1,0,0,0,0,0,0
control,baaivision/EVE,2024-10,2,0,0,0,0,0,0,0
control,baaivision/EVE,2025-02,7,3,3,293,290,3,290,47
control,baaivision/EVE,2025-07,3,1,1,6,2,4,6,2
control,believethehype/nostrdvm,2024-01,87,34,29,121,32,89,85,25
control,believethehype/nostrdvm,2024-02,48,24,22,102,25,77,77,32
control,believethehype/nostrdvm,2024-03,80,55,47,212,69,143,141,48
control,believethehype/nostrdvm,2024-04,75,44,38,139,35,104,76,22
control,believethehype/nostrdvm,2024-05,53,42,39,239,30,209,96,38
control,believethehype/nostrdvm,2024-06,109,107,77,676,175,501,397,72
control,believethehype/nostrdvm,2024-07,34,32,29,131,72,59,100,27
control,believethehype/nostrdvm,2024-08,46,42,34,256,95,161,176,50
control,believethehype/nostrdvm,2024-09,43,42,31,241,25,216,161,59
control,believethehype/nostrdvm,2024-10,52,42,22,48,23,25,41,22
control,believethehype/nostrdvm,2024-11,93,89,54,843,66,777,391,107
control,believethehype/nostrdvm,2024-12,34,28,23,165,30,135,113,48
control,believethehype/nostrdvm,2025-01,21,20,16,88,25,63,74,36
control,believethehype/nostrdvm,2025-02,20,18,15,201,79,122,163,82
control,believethehype/nostrdvm,2025-03,1,1,1,1,0,1,1,1
control,believethehype/nostrdvm,2025-04,3,3,3,4,0,4,3,2
control,believethehype/nostrdvm,2025-05,4,4,3,9,5,4,7,2
control,believethehype/nostrdvm,2025-08,3,3,3,9,1,8,8,5
control,bobokun/actualtap-py,2024-07,30,17,12,36,25,11,25,8
control,bobokun/actualtap-py,2024-08,12,1,0,0,0,0,0,0
control,bobokun/actualtap-py,2024-09,9,0,0,0,0,0,0,0
control,bobokun/actualtap-py,2024-10,7,1,1,5,2,3,5,4
control,bobokun/actualtap-py,2024-11,9,6,3,10,3,7,8,6
control,bobokun/actualtap-py,2024-12,7,2,1,1,0,1,1,1
control,bobokun/actualtap-py,2025-01,5,1,1,1,0,1,1,1
control,bobokun/actualtap-py,2025-02,5,0,0,0,0,0,0,0
control,bobokun/actualtap-py,2025-03,6,0,0,0,0,0,0,0
control,bobokun/actualtap-py,2025-04,5,2,1,1,0,1,1,1
control,bobokun/actualtap-py,2025-05,1,0,0,0,0,0,0,0
control,bobokun/actualtap-py,2025-06,8,1,1,1,0,1,1,1
control,bobokun/actualtap-py,2025-07,23,6,5,88,75,13,80,14
control,bobokun/actualtap-py,2025-08,4,0,0,0,0,0,0,0
control,bropines/chrome-lens-py,2024-08,14,3,2,44,26,18,26,6
control,bropines/chrome-lens-py,2024-09,10,3,2,34,14,20,25,6
control,bropines/chrome-lens-py,2024-10,5,3,3,45,4,41,32,7
control,bropines/chrome-lens-py,2024-11,6,5,4,48,13,35,33,6
control,bropines/chrome-lens-py,2024-12,1,1,1,9,1,8,9,2
control,bropines/chrome-lens-py,2025-01,3,2,1,1,0,1,1,1
control,bropines/chrome-lens-py,2025-02,13,10,6,40,6,34,30,4
