treatment_repo,treatment_clone_dir_name,treatment_clone_path,treatment_is_git_repository,matched_period,propensity_score,original_matched_control_count,control_rank,control_repo,control_clone_found,control_clone_dir_name,control_clone_path,control_is_git_repository,pair_status
daojiAnime/vmq-fastapi,daojiAnime_vmq-fastapi,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/daojiAnime_vmq-fastapi,True,202412,0.0436832021199089,3,2,MrTimonM/Arichain-Bot,True,MrTimonM_Arichain-Bot,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MrTimonM_Arichain-Bot,True,aligned
daojiAnime/vmq-fastapi,daojiAnime_vmq-fastapi,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/daojiAnime_vmq-fastapi,True,202412,0.0436832021199089,3,3,yihozhang/most-influential-pl-papers,True,yihozhang_most-influential-pl-papers,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/yihozhang_most-influential-pl-papers,True,aligned
DataDog/integrations-core,DataDog_integrations-core,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataDog_integrations-core,True,202502,0.8696427878020649,3,1,microsoft/semantic-link-labs,True,microsoft_semantic-link-labs,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_semantic-link-labs,True,aligned
DataDog/integrations-core,DataDog_integrations-core,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataDog_integrations-core,True,202502,0.8696427878020649,3,2,lancedb/lancedb,True,lancedb_lancedb,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/lancedb_lancedb,True,aligned
DataDog/integrations-core,DataDog_integrations-core,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataDog_integrations-core,True,202502,0.8696427878020649,3,3,pieces-app/cli-agent,True,pieces-app_cli-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,True,aligned
DataScienceUIBK/Rankify,DataScienceUIBK_Rankify,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,True,202502,0.2197159489461368,3,1,aio-libs/aiohttp,True,aio-libs_aiohttp,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aio-libs_aiohttp,True,aligned
DataScienceUIBK/Rankify,DataScienceUIBK_Rankify,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,True,202502,0.2197159489461368,3,2,plurai-ai/intellagent,True,plurai-ai_intellagent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/plurai-ai_intellagent,True,aligned
DataScienceUIBK/Rankify,DataScienceUIBK_Rankify,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,True,202502,0.2197159489461368,3,3,pieces-app/cli-agent,True,pieces-app_cli-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,True,aligned
discus0434/nook,discus0434_nook,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/discus0434_nook,True,202501,0.0752835910159034,3,1,MIT-Emerging-Talent/ET6-edXtras,True,MIT-Emerging-Talent_ET6-edXtras,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,True,aligned
discus0434/nook,discus0434_nook,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/discus0434_nook,True,202501,0.0752835910159034,3,2,LuneMods/KCD2-Blender-Toolkit,True,LuneMods_KCD2-Blender-Toolkit,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LuneMods_KCD2-Blender-Toolkit,True,aligned
