role,repo_name,repo_dir_name_expected,expected_for_current_scope,in_matching_treatment_rows,in_matching_control_candidate_rows,selected_by_cloned_treatment,in_clone_directory,is_git_repository,clone_dir_name,clone_path,origin_url,repo_name_source,alignment_status
control,justin4ai/Quark,justin4ai_Quark,True,False,True,True,False,False,,,,not_applicable,expected_control_clone_missing
control,JustinSparrrow/IOOI-EmotionEgg,JustinSparrrow_IOOI-EmotionEgg,True,False,True,True,True,True,JustinSparrrow_IOOI-EmotionEgg,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/JustinSparrrow_IOOI-EmotionEgg,https://github.com/JustinSparrrow/IOOI-EmotionEgg.git,origin_url,aligned
control,jyjblrd/SelfDrivingCar,jyjblrd_SelfDrivingCar,True,False,True,True,True,True,jyjblrd_SelfDrivingCar,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jyjblrd_SelfDrivingCar,https://github.com/jyjblrd/SelfDrivingCar.git,origin_url,aligned
control,kangtegong/pyftrace,kangtegong_pyftrace,True,False,True,True,True,True,kangtegong_pyftrace,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/kangtegong_pyftrace,https://github.com/kangtegong/pyftrace.git,origin_url,aligned
control,Khrylx/PyTorch-RL,Khrylx_PyTorch-RL,True,False,True,True,True,True,Khrylx_PyTorch-RL,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Khrylx_PyTorch-RL,https://github.com/Khrylx/PyTorch-RL.git,origin_url,aligned
control,krishpranav/socialosint,krishpranav_socialosint,True,False,True,True,True,True,krishpranav_socialosint,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/krishpranav_socialosint,https://github.com/krishpranav/socialosint.git,origin_url,aligned
control,kuleshov-group/caduceus,kuleshov-group_caduceus,True,False,True,True,True,True,kuleshov-group_caduceus,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/kuleshov-group_caduceus,https://github.com/kuleshov-group/caduceus.git,origin_url,aligned
control,lancedb/lancedb,lancedb_lancedb,True,False,True,True,True,True,lancedb_lancedb,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/lancedb_lancedb,https://github.com/lancedb/lancedb.git,origin_url,aligned
control,LGro/PyAPSI,LGro_PyAPSI,True,False,True,True,True,True,LGro_PyAPSI,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LGro_PyAPSI,https://github.com/LGro/PyAPSI.git,origin_url,aligned
control,liangchundong/HGNN-AC,liangchundong_HGNN-AC,True,False,True,True,True,True,liangchundong_HGNN-AC,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/liangchundong_HGNN-AC,https://github.com/liangchundong/HGNN-AC.git,origin_url,aligned
