dataset_source,repo_name,latest_commit,relative_path,snapshot_path,manifest_line,fallback_reason
control,FMInference/FlexiGen,ab55510b0e19b0dcdb274e7ef5421827d0c237d0,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/ab55510b0e19b0dcdb274e7ef5421827d0c237d0/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,1651,"TokenError: ('EOF in multi-line statement', (3241, 0))"
control,FMInference/FlexiGen,ab55510b0e19b0dcdb274e7ef5421827d0c237d0,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/ab55510b0e19b0dcdb274e7ef5421827d0c237d0/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,1657,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 214)"
control,FMInference/FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/d34f7b4b43ed87a374f394b0535ed685af66197b/benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,1648,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 466)"
control,FMInference/FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/d34f7b4b43ed87a374f394b0535ed685af66197b/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,1651,"TokenError: ('EOF in multi-line statement', (3241, 0))"
control,FMInference/FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/d34f7b4b43ed87a374f394b0535ed685af66197b/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,1657,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 214)"
treatment,ericyuegu/hal,05d9e477f28ce8fc61c193ac996eefb2ffc6cc30,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/05d9e477f28ce8fc61c193ac996eefb2ffc6cc30/notebooks/test_streaming_dataloader.py,90,"TokenError: ('EOF in multi-line statement', (90, 0))"
treatment,ericyuegu/hal,34c80ded5abcc8b885bc2cf72df72525f65ebd5e,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/34c80ded5abcc8b885bc2cf72df72525f65ebd5e/notebooks/test_streaming_dataloader.py,70,"TokenError: ('EOF in multi-line statement', (61, 0))"
treatment,ericyuegu/hal,472900b29dd21457804ed83eea31a4e9007f30fa,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/472900b29dd21457804ed83eea31a4e9007f30fa/notebooks/test_streaming_dataloader.py,72,"TokenError: ('EOF in multi-line statement', (74, 0))"
treatment,ericyuegu/hal,c90449941213af91277b88bef9aad2b0f29bbb56,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/c90449941213af91277b88bef9aad2b0f29bbb56/notebooks/test_streaming_dataloader.py,98,"TokenError: ('EOF in multi-line statement', (90, 0))"
treatment,ericyuegu/hal,e57df07e946a03f62138dba1116469e87b71dad0,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/e57df07e946a03f62138dba1116469e87b71dad0/notebooks/test_streaming_dataloader.py,65,"TokenError: ('EOF in multi-line statement', (54, 0))"
treatment,getsentry/sentry,2d92281805254325dbedb3cafcfdd53d09b1d9df,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/2d92281805254325dbedb3cafcfdd53d09b1d9df/src/sentry/utils/snuba.py,4004,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1169)"
treatment,getsentry/sentry,32cb664b86c13cc020c06f7e208cd9a62e6891a0,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/32cb664b86c13cc020c06f7e208cd9a62e6891a0/src/sentry/utils/snuba.py,4099,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1169)"
treatment,getsentry/sentry,4f2be477198bf2814c6d6cd4b80ba19cbe386908,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/4f2be477198bf2814c6d6cd4b80ba19cbe386908/src/sentry/utils/snuba.py,3766,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1169)"
treatment,getsentry/sentry,71c2f5f3925610f3aa1871ace1c20f48eeff3db8,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/71c2f5f3925610f3aa1871ace1c20f48eeff3db8/src/sentry/utils/snuba.py,3838,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1194)"
treatment,getsentry/sentry,975f8d773e5a6c5ed6595176a42ff31e887ec95d,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/975f8d773e5a6c5ed6595176a42ff31e887ec95d/src/sentry/utils/snuba.py,3665,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1169)"
treatment,getsentry/sentry,b9dc9712a91c4dbf3cb1550254113c1599388e57,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/b9dc9712a91c4dbf3cb1550254113c1599388e57/src/sentry/utils/snuba.py,3937,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1193)"
treatment,getsentry/sentry,c4502d06cff34abeb8f58810743fb907ee914348,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/c4502d06cff34abeb8f58810743fb907ee914348/src/sentry/utils/snuba.py,3895,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1150)"
treatment,yagami1997/TradeMind,780f475050fbfda4467f51886b984bef6546321e,project_management/reference/stock_analyzer_original_backup.py,repo_python/run-py-3a/strict/python_snapshots/treatment/yagami1997_TradeMind/780f475050fbfda4467f51886b984bef6546321e/project_management/reference/stock_analyzer_original_backup.py,1,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1805)"
