target_id,variant,source_group,repo_name,time,scan_commit,commit_match_status,main_root_cause,metric,paper_value,our_pyv2_value,sensitivity_value,abs_diff_our_to_paper,abs_diff_sensitivity_to_paper,improvement_abs_diff,improved_vs_pyv2,scan_success,metrics_found,scan_note
3,scope_exclude_common,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,comment_lines_density,8.6,8.6,15.5,0.0,6.9,-6.9,False,True,True,ok
1,scope_exclude_common,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,duplicated_lines_density,36.6,1.4,1.7,35.2,34.9,0.30000000000000426,True,True,True,ok
2,scope_exclude_common,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,duplicated_lines_density,9.5,9.1,3.9,0.40000000000000036,5.6,-5.199999999999999,False,True,True,ok
3,scope_exclude_common,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,duplicated_lines_density,8.6,8.6,16.4,0.0,7.799999999999999,-7.799999999999999,False,True,True,ok
1,scope_exclude_common,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,ncloc,211510.0,78118.0,33597.0,133392.0,177913.0,-44521.0,False,True,True,ok
3,scope_exclude_common,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,ncloc,550705.0,550232.0,161556.0,473.0,389149.0,-388676.0,False,True,True,ok
2,scope_exclude_common,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,ncloc,937017.0,1025455.0,300425.0,88438.0,636592.0,-548154.0,False,True,True,ok
3,scope_exclude_common,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,static_analysis_warnings,3573.0,2369.0,1505.0,1204.0,2068.0,-864.0,False,True,True,ok
1,scope_exclude_common,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,static_analysis_warnings,37736.0,25428.0,24287.0,12308.0,13449.0,-1141.0,False,True,True,ok
2,scope_exclude_common,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,static_analysis_warnings,11374.0,13652.0,4582.0,2278.0,6792.0,-4514.0,False,True,True,ok
3,scope_exclude_common,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,technical_debt,35928.0,18884.0,14268.0,17044.0,21660.0,-4616.0,False,True,True,ok
1,scope_exclude_common,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,technical_debt,193776.0,136929.0,128396.0,56847.0,65380.0,-8533.0,False,True,True,ok
2,scope_exclude_common,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,technical_debt,70394.0,77811.0,34086.0,7417.0,36308.0,-28891.0,False,True,True,ok
2,scope_exclude_common,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,vulnerabilities,38.0,117.0,96.0,79.0,58.0,21.0,True,True,True,ok
1,scope_exclude_common,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,vulnerabilities,0.0,4.0,4.0,4.0,4.0,0.0,False,True,True,ok
3,scope_exclude_common,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,vulnerabilities,174.0,149.0,33.0,25.0,141.0,-116.0,False,True,True,ok
