metric,cause_category,is_treatment,post_event,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
comment_lines_density,rule_config_analyzer_profile_signal,0,0,694,694,142,693,1,0,1,-0.00043227665706051845,0.0,0.0,0.0,0.0,0.2999999999999998,0.2999999999999998,16.485734870317003,16.485302593659945,0.001440922190201729,0.0,0.001440922190201729,0.0012072434607645868
comment_lines_density,rule_config_analyzer_profile_signal,1,1,216,216,69,216,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.98333333333333,19.98333333333333,0.0,0.0,0.0,0.0
comment_lines_density,source_scope_difference_or_mixed,0,0,414,414,48,262,152,60,92,-0.2270531400966184,0.0,0.0,0.3000000000000007,0.7699999999999945,7.900000000000002,141.79999999999998,12.714009661835748,12.486956521739131,0.3671497584541063,0.14492753623188406,0.2222222222222222,0.5706237424547284
comment_lines_density,source_scope_difference_or_mixed,1,1,163,163,36,85,78,45,33,-0.08773006134969337,0.0,0.0,0.4000000000000003,1.4900000000000004,15.7,64.69999999999999,14.373006134969327,14.285276073619633,0.4785276073619632,0.27607361963190186,0.20245398773006135,0.26036217303822934
duplicated_lines_density,commit_selection_difference,0,0,57,57,22,47,10,4,6,0.028070175438596485,0.0,0.0,1.539999999999998,3.3199999999999985,25.3,63.4,11.071929824561403,11.100000000000001,0.17543859649122806,0.07017543859649122,0.10526315789473684,0.0832676648279485
duplicated_lines_density,commit_selection_difference,1,1,43,43,19,32,11,7,4,0.5232558139534884,0.0,0.0,0.6400000000000013,6.239999999999992,6.9,23.5,3.7023255813953493,4.225581395348837,0.2558139534883721,0.16279069767441862,0.09302325581395349,0.030864197530864192
duplicated_lines_density,paper_commit_missing,1,1,1,1,1,0,1,1,0,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,1.4,2.1,1.0,1.0,0.0,0.0009193590753874444
duplicated_lines_density,rule_config_analyzer_profile_signal,0,0,694,694,142,679,15,1,14,-0.02910662824207492,0.0,0.0,0.0,0.0,6.499999999999999,21.199999999999996,6.4517291066282425,6.422622478386168,0.021613832853025938,0.001440922190201729,0.020172910662824207,0.027843446283162588
duplicated_lines_density,rule_config_analyzer_profile_signal,1,1,216,216,69,214,2,0,2,-0.000925925925925926,0.0,0.0,0.0,0.0,0.1,0.2,2.4638888888888886,2.462962962962963,0.009259259259259259,0.0,0.009259259259259259,0.00026267402153926973
duplicated_lines_density,source_scope_difference_or_mixed,0,0,414,414,48,259,155,55,100,-0.5316425120772947,0.0,0.0,1.3000000000000005,3.299999999999999,26.5,408.3,8.506521739130434,7.974879227053141,0.3743961352657005,0.13285024154589373,0.24154589371980675,0.5362490149724192
duplicated_lines_density,source_scope_difference_or_mixed,1,1,163,163,36,86,77,17,60,-0.03865030674846646,0.0,0.0,1.7,5.350000000000019,46.6,244.10000000000002,6.690184049079755,6.651533742331287,0.4723926380368098,0.10429447852760736,0.36809815950920244,0.32059364328867873
ncloc,commit_selection_difference,0,0,57,57,22,40,17,12,5,95.28070175438596,0.0,0.0,468.0,686.5999999999999,1162.0,5651.0,12919.526315789473,13014.807017543859,0.2982456140350877,0.21052631578947367,0.08771929824561403,0.004077438869082537
ncloc,commit_selection_difference,1,1,43,43,19,12,31,28,3,2070.3720930232557,3.0,3.0,2896.600000000002,3566.7,68575.0,89606.0,50075.88372093023,52146.25581395349,0.7209302325581395,0.6511627906976745,0.06976744186046512,0.06465457216475133
ncloc,paper_commit_missing,1,1,1,1,1,0,1,0,1,-7211.0,-7211.0,7211.0,7211.0,7211.0,7211.0,7211.0,8454.0,1243.0,1.0,0.0,1.0,0.005203045776845544
ncloc,rule_config_analyzer_profile_signal,0,0,694,694,142,694,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9023.059077809798,9023.059077809798,0.0,0.0,0.0,0.0
ncloc,rule_config_analyzer_profile_signal,1,1,216,216,69,216,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7425.625,7425.625,0.0,0.0,0.0,0.0
ncloc,source_scope_difference_or_mixed,0,0,414,414,48,0,414,217,197,1133.5265700483092,2.0,39.5,2611.1,10826.449999999983,32803.0,632480.0,132034.2995169082,133167.8260869565,1.0,0.5241545893719807,0.4758454106280193,0.4563614468089405
ncloc,source_scope_difference_or_mixed,1,1,163,163,36,0,163,81,82,1811.3680981595091,-1.0,75.0,5171.0,9638.200000000003,133392.0,650971.0,154362.23312883437,156173.60122699387,1.0,0.49693251533742333,0.5030674846625767,0.4697034963803801
static_analysis_warnings,commit_selection_difference,0,0,57,57,22,1,56,50,6,41.14035087719298,4.0,4.0,81.79999999999993,192.79999999999896,1591.0,3247.0,524.578947368421,565.719298245614,0.9824561403508771,0.8771929824561403,0.10526315789473684,0.012531695889279553
static_analysis_warnings,commit_selection_difference,1,1,43,43,19,0,43,31,12,102.83720930232558,38.0,43.0,218.00000000000003,388.9999999999998,1570.0,5558.0,655.4186046511628,758.2558139534884,1.0,0.7209302325581395,0.27906976744186046,0.02145092878121828
static_analysis_warnings,paper_commit_missing,1,1,1,1,1,0,1,0,1,-226.0,-226.0,226.0,226.0,226.0,226.0,226.0,227.0,1.0,1.0,0.0,1.0,0.0008722399972211823
static_analysis_warnings,rule_config_analyzer_profile_signal,0,0,694,694,142,82,612,411,201,-0.1642651296829971,3.0,9.0,59.700000000000045,247.05000000000007,729.0,30476.0,156.1512968299712,155.98703170028818,0.8818443804034583,0.5922190201729106,0.2896253602305475,0.117621177678375
static_analysis_warnings,rule_config_analyzer_profile_signal,1,1,216,216,69,25,191,129,62,9.898148148148149,3.5,12.0,48.0,154.75,841.0,7690.0,96.60185185185185,106.5,0.8842592592592593,0.5972222222222222,0.28703703703703703,0.029679316719605716
static_analysis_warnings,source_scope_difference_or_mixed,0,0,414,414,48,0,414,295,119,189.268115942029,40.0,110.5,1000.5999999999998,1139.6999999999994,5649.0,128985.0,2161.6280193236717,2350.8961352657007,1.0,0.7125603864734299,0.28743961352657005,0.4978136108034257
static_analysis_warnings,source_scope_difference_or_mixed,1,1,163,163,36,0,163,133,30,246.88957055214723,115.0,167.0,1193.4,1825.0000000000005,12308.0,82921.0,2828.0184049079753,3074.9079754601225,1.0,0.8159509202453987,0.18404907975460122,0.3200310301308746
technical_debt,commit_selection_difference,0,0,57,57,22,27,30,23,7,271.6140350877193,0.0,5.0,167.3999999999998,689.1999999999941,13489.0,19850.0,3115.7719298245615,3387.3859649122805,0.5263157894736842,0.40350877192982454,0.12280701754385964,0.01368911704850223
technical_debt,commit_selection_difference,1,1,43,43,19,0,43,39,4,390.6279069767442,174.0,189.0,832.8000000000002,1128.5999999999997,5343.0,18361.0,4252.046511627907,4642.674418604651,1.0,0.9069767441860465,0.09302325581395349,0.012662260862848839
technical_debt,paper_commit_missing,1,1,1,1,1,0,1,0,1,-1267.0,-1267.0,1267.0,1267.0,1267.0,1267.0,1267.0,1273.0,6.0,1.0,0.0,1.0,0.0008737587556902935
technical_debt,rule_config_analyzer_profile_signal,0,0,694,694,142,88,606,391,215,21.73342939481268,5.0,38.5,325.1000000000006,1091.75,3580.0,125209.0,867.5230547550432,889.256484149856,0.8731988472622478,0.5634005763688761,0.30979827089337175,0.08634764012725017
technical_debt,rule_config_analyzer_profile_signal,1,1,216,216,69,26,190,130,60,53.129629629629626,10.0,44.0,259.0,728.25,2702.0,30776.0,719.3842592592592,772.5138888888889,0.8796296296296297,0.6018518518518519,0.2777777777777778,0.021223993263713083
technical_debt,source_scope_difference_or_mixed,0,0,414,414,48,1,413,258,155,305.2487922705314,57.0,275.5,4128.4,13315.949999999993,35804.0,778949.0,13757.079710144928,14062.32850241546,0.9975845410628019,0.6231884057971014,0.3743961352657005,0.5371850899654289
technical_debt,source_scope_difference_or_mixed,1,1,163,163,36,1,162,126,36,636.2147239263803,401.0,673.0,5083.0,16834.1,56847.0,475645.0,18063.920245398775,18700.134969325154,0.9938650306748467,0.7730061349693251,0.22085889570552147,0.3280181399765664
vulnerabilities,commit_selection_difference,0,0,57,57,22,20,37,37,0,2.210526315789474,1.0,1.0,2.3999999999999986,7.999999999999979,30.0,126.0,0.543859649122807,2.754385964912281,0.6491228070175439,0.6491228070175439,0.0,0.016268560361523562
vulnerabilities,commit_selection_difference,1,1,43,43,19,16,27,27,0,12.162790697674419,5.0,5.0,30.0,30.0,83.0,523.0,0.9302325581395349,13.093023255813954,0.627906976744186,0.627906976744186,0.0,0.06752743705616526
vulnerabilities,paper_commit_missing,1,1,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vulnerabilities,rule_config_analyzer_profile_signal,0,0,694,694,142,458,236,203,33,1.180115273775216,0.0,0.0,4.0,6.0,19.0,885.0,0.31988472622478387,1.5,0.3400576368876081,0.29250720461095103,0.04755043227665706,0.11426726920593931
vulnerabilities,rule_config_analyzer_profile_signal,1,1,216,216,69,146,70,60,10,0.9212962962962963,0.0,0.0,3.0,5.0,14.0,219.0,0.05555555555555555,0.9768518518518519,0.32407407407407407,0.2777777777777778,0.046296296296296294,0.02827630729502905
vulnerabilities,source_scope_difference_or_mixed,0,0,414,414,48,101,313,299,14,7.920289855072464,3.0,4.0,27.099999999999966,36.0,137.0,3889.0,8.560386473429952,16.480676328502415,0.7560386473429952,0.7222222222222222,0.033816425120772944,0.502130406714009
vulnerabilities,source_scope_difference_or_mixed,1,1,163,163,36,27,136,130,6,11.036809815950921,4.0,6.0,31.0,37.60000000000002,87.0,2103.0,11.63803680981595,22.67484662576687,0.8343558282208589,0.7975460122699386,0.03680981595092025,0.2715300193673338
