cause_category,source_group,repo_name,metric,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
source_scope_difference_or_mixed,control,HelpingAI/Webscout,ncloc,9,9,1,0,9,4,5,-14.222222222222221,-28.0,28.0,28.0,28.0,28.0,152.0,42571.333333333336,42557.11111111111,1.0,0.4444444444444444,0.5555555555555556,0.00010967451921793409
commit_selection_difference,treatment,Kiln-AI/Kiln,bugs,2,2,1,0,2,0,2,-76.0,-76.0,76.0,76.8,76.9,77.0,152.0,98.0,22.0,1.0,0.0,1.0,0.0023672693859116325
commit_selection_difference,treatment,OpenMOSS/Language-Model-SAEs,static_analysis_warnings,3,3,1,0,3,3,0,50.666666666666664,45.0,45.0,60.2,62.1,64.0,152.0,222.0,272.6666666666667,1.0,1.0,0.0,0.0005866392901664589
source_scope_difference_or_mixed,treatment,utensils/mcp-nixos,code_smells,4,4,1,0,4,4,0,37.75,14.5,14.5,80.10000000000002,94.04999999999997,108.0,151.0,56.0,93.75,1.0,1.0,0.0,0.0005442127835943272
source_scope_difference_or_mixed,treatment,airweave-ai/airweave,bugs,6,6,1,1,5,5,0,25.0,30.0,30.0,43.0,44.5,46.0,150.0,19.666666666666668,44.666666666666664,0.8333333333333334,0.8333333333333334,0.0,0.0023361211045180583
rule_config_analyzer_profile_signal,treatment,xzq-xu/jvm-mcp-server,technical_debt,3,3,1,0,3,3,0,48.333333333333336,70.0,70.0,70.0,70.0,70.0,145.0,369.3333333333333,417.6666666666667,1.0,1.0,0.0,9.999606912004149e-05
commit_selection_difference,treatment,ericyuegu/hal,code_smells,10,10,1,0,10,10,0,14.5,12.5,12.5,22.1,22.549999999999997,23.0,145.0,98.8,113.3,1.0,1.0,0.0,0.0005225884345773341
rule_config_analyzer_profile_signal,treatment,discus0434/nook,technical_debt,2,2,1,0,2,2,0,72.5,72.5,72.5,86.5,88.25,90.0,145.0,90.5,163.0,1.0,1.0,0.0,9.999606912004149e-05
rule_config_analyzer_profile_signal,control,weaviate/t2v-transformers-models,code_smells,13,13,1,0,13,0,13,-11.076923076923077,-10.0,10.0,16.400000000000002,17.0,17.0,144.0,28.307692307692307,17.23076923076923,1.0,0.0,1.0,0.0005189843764078352
rule_config_analyzer_profile_signal,treatment,instructor-ai/instructor,code_smells,18,18,1,0,18,7,11,0.5,-4.0,5.5,18.200000000000003,21.89999999999999,27.0,143.0,114.38888888888889,114.88888888888889,1.0,0.3888888888888889,0.6111111111111112,0.0005153803182383364
rule_config_analyzer_profile_signal,treatment,lss233/kirara-ai,static_analysis_warnings,7,7,1,0,7,7,0,20.428571428571427,29.0,29.0,29.8,30.4,31.0,143.0,96.42857142857143,116.85714285714286,1.0,1.0,0.0,0.0005519040690381817
source_scope_difference_or_mixed,treatment,grapeot/web_agentic_ai,code_smells,2,2,1,0,2,2,0,71.5,71.5,71.5,83.1,84.55,86.0,143.0,52.0,123.5,1.0,1.0,0.0,0.0005153803182383364
source_scope_difference_or_mixed,treatment,LearningCircuit/local-deep-research,vulnerabilities,6,6,1,0,6,6,0,23.5,11.5,11.5,52.0,53.5,55.0,141.0,1.1666666666666667,24.666666666666668,1.0,1.0,0.0,0.018205293737895416
commit_selection_difference,treatment,yagami1997/TradeMind,code_smells,6,6,1,0,6,6,0,23.5,27.0,27.0,28.0,28.0,28.0,141.0,208.66666666666666,232.16666666666666,1.0,1.0,0.0,0.0005081722018993387
commit_selection_difference,treatment,ericyuegu/hal,static_analysis_warnings,10,10,1,0,10,9,1,13.4,13.0,13.0,24.0,24.0,24.0,140.0,112.9,126.3,1.0,0.9,0.1,0.0005403256619954227
rule_config_analyzer_profile_signal,control,yoongi43/music_audio_enhancement_conformer,technical_debt,4,4,1,0,4,4,0,35.0,35.0,35.0,35.0,35.0,35.0,140.0,343.5,378.5,1.0,1.0,0.0,9.65479288055573e-05
rule_config_analyzer_profile_signal,control,weaviate/t2v-transformers-models,static_analysis_warnings,13,13,1,0,13,0,13,-10.538461538461538,-9.0,9.0,15.400000000000002,16.0,16.0,137.0,28.307692307692307,17.76923076923077,1.0,0.0,1.0,0.0005287472549526636
rule_config_analyzer_profile_signal,control,markmelnic/stealthenium,static_analysis_warnings,3,3,1,0,3,3,0,45.0,45.0,45.0,45.0,45.0,45.0,135.0,148.0,193.0,1.0,1.0,0.0,0.0005210283169241576
source_scope_difference_or_mixed,treatment,daojiAnime/vmq-fastapi,ncloc,3,3,1,0,3,0,3,-45.0,-45.0,45.0,45.0,45.0,45.0,135.0,2213.0,2168.0,1.0,0.0,1.0,9.740829009487568e-05
source_scope_difference_or_mixed,treatment,lss233/kirara-ai,technical_debt,1,1,1,0,1,1,0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,857.0,992.0,1.0,1.0,0.0,9.30997884910731e-05
rule_config_analyzer_profile_signal,control,markmelnic/stealthenium,code_smells,3,3,1,0,3,3,0,45.0,45.0,45.0,45.0,45.0,45.0,135.0,124.0,169.0,1.0,1.0,0.0,0.0004865478528823455
rule_config_analyzer_profile_signal,treatment,smartian1/tgtrader,static_analysis_warnings,5,5,1,0,5,5,0,26.8,24.0,24.0,41.2,42.6,44.0,134.0,283.0,309.8,1.0,1.0,0.0,0.0005171688479099045
source_scope_difference_or_mixed,treatment,KroMiose/nekro-agent,bugs,14,14,1,1,13,13,0,9.5,8.5,8.5,19.900000000000006,22.35,23.0,133.0,4.071428571428571,13.571428571428571,0.9285714285714286,0.9285714285714286,0.0,0.002071360712672678
source_scope_difference_or_mixed,treatment,keephq/keep,vulnerabilities,17,17,1,0,17,17,0,7.823529411764706,9.0,9.0,11.4,12.0,12.0,133.0,50.0,57.8235294117647,1.0,1.0,0.0,0.017172369270497093
commit_selection_difference,treatment,instructor-ai/instructor,technical_debt,1,1,1,0,1,1,0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,2627.0,2758.0,1.0,1.0,0.0,9.034127623948576e-05
rule_config_analyzer_profile_signal,treatment,tony/django-docutils,code_smells,20,20,1,8,12,12,0,6.5,10.5,10.5,11.0,11.0,11.0,130.0,71.1,77.6,0.6,0.6,0.0,0.0004685275620348512
rule_config_analyzer_profile_signal,control,FaceAdapter/Face-Adapter,technical_debt,1,1,1,0,1,1,0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,632.0,761.0,1.0,1.0,0.0,8.896202011369208e-05
commit_selection_difference,treatment,VRSEN/agency-swarm,ncloc,1,1,1,0,1,1,0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,3176.0,3305.0,1.0,1.0,0.0,9.307903275732564e-05
source_scope_difference_or_mixed,control,microsoft/AzureTRE,vulnerabilities,19,19,1,0,19,19,0,6.684210526315789,7.0,7.0,7.0,7.0,7.0,127.0,5.0,11.68421052631579,1.0,1.0,0.0,0.016397675919948354
rule_config_analyzer_profile_signal,treatment,tony/django-docutils,static_analysis_warnings,20,20,1,0,20,12,8,5.5,9.5,9.5,10.0,10.0,10.0,126.0,79.1,84.6,1.0,0.6,0.4,0.0004862930957958804
rule_config_analyzer_profile_signal,control,aj47/100x-orchestrator,code_smells,4,4,1,0,4,4,0,31.25,30.0,30.0,34.9,35.949999999999996,37.0,125.0,44.25,75.5,1.0,1.0,0.0,0.00045050727118735697
rule_config_analyzer_profile_signal,control,dromara/domain-admin,vulnerabilities,18,18,1,0,18,18,0,6.888888888888889,3.0,3.0,17.0,17.0,17.0,124.0,1.2222222222222223,8.11111111111111,1.0,1.0,0.0,0.016010329244673983
rule_config_analyzer_profile_signal,treatment,vcs-python/vcspull,code_smells,20,20,1,0,20,12,8,2.15,7.0,7.0,7.0,7.050000000000001,8.0,123.0,15.35,17.5,1.0,0.6,0.4,0.00044329915484835926
rule_config_analyzer_profile_signal,treatment,vcs-python/vcspull,static_analysis_warnings,20,20,1,0,20,12,8,2.15,7.0,7.0,7.0,7.050000000000001,8.0,123.0,16.35,18.5,1.0,0.6,0.4,0.00047471468875312137
rule_config_analyzer_profile_signal,treatment,wdm0006/elote,static_analysis_warnings,3,3,1,0,3,0,3,-41.0,-45.0,45.0,45.0,45.0,45.0,123.0,139.33333333333334,98.33333333333333,1.0,0.0,1.0,0.00047471468875312137
rule_config_analyzer_profile_signal,treatment,smartian1/tgtrader,code_smells,5,5,1,0,5,5,0,24.4,21.0,21.0,38.2,39.6,41.0,122.0,243.0,267.4,1.0,1.0,0.0,0.0004396950966788604
rule_config_analyzer_profile_signal,control,golemfoundation/octant,code_smells,1,1,1,0,1,1,0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,280.0,401.0,1.0,1.0,0.0,0.00043609103850936155
rule_config_analyzer_profile_signal,control,golemfoundation/octant,static_analysis_warnings,1,1,1,0,1,1,0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,312.0,433.0,1.0,1.0,0.0,0.0004669957507246153
source_scope_difference_or_mixed,treatment,wdm0006/pygeohash,vulnerabilities,4,4,1,0,4,4,0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,0.0,30.0,1.0,1.0,0.0,0.015493867010974823
source_scope_difference_or_mixed,treatment,daojiAnime/vmq-fastapi,static_analysis_warnings,3,3,1,0,3,0,3,-40.0,-38.0,38.0,42.8,43.4,44.0,120.0,89.33333333333333,49.333333333333336,1.0,0.0,1.0,0.0004631362817103623
