dataset_source,repo_name,time,npr_agc_regular_module_function_unique_bodies
control,aio-libs/aiohttp,2024-10,1
control,aio-libs/aiohttp,2024-11,25
control,aio-libs/aiohttp,2024-12,2
control,aio-libs/aiohttp,2025-02,2
control,aio-libs/aiohttp,2025-03,3
control,aio-libs/aiohttp,2025-04,5
control,aio-libs/aiohttp,2025-05,8
control,aio-libs/aiohttp,2025-06,11
control,aj47/100x-orchestrator,2024-11,2
control,aj47/100x-orchestrator,2024-12,7
control,aj47/100x-orchestrator,2025-01,3
control,ali-bahrainian/RAG_best_practices,2024-12,2
control,aws/nova-act,2025-03,1
control,aws/nova-act,2025-05,1
control,aws/nova-act,2025-06,3
control,aws/nova-act,2025-07,1
control,aws/nova-act,2025-08,2
control,baaivision/EVE,2024-06,2
control,baaivision/EVE,2025-02,2
control,believethehype/nostrdvm,2024-03,1
control,believethehype/nostrdvm,2024-04,2
control,believethehype/nostrdvm,2024-07,2
control,believethehype/nostrdvm,2025-02,1
control,bobokun/actualtap-py,2024-07,5
control,bropines/chrome-lens-py,2024-09,1
control,bropines/chrome-lens-py,2024-10,2
control,bropines/chrome-lens-py,2024-11,1
control,bropines/chrome-lens-py,2025-03,1
control,bropines/chrome-lens-py,2025-06,5
control,caffeinedoom/reconthing,2024-11,1
control,daxa-ai/pebblo,2024-01,5
control,daxa-ai/pebblo,2024-02,1
control,daxa-ai/pebblo,2024-03,3
control,daxa-ai/pebblo,2024-09,1
control,daxa-ai/pebblo,2025-02,1
control,djeada/Kurs-Podstaw-Pythona,2024-06,1
control,dottxt-ai/prompts,2024-09,1
control,dromara/domain-admin,2024-01,4
control,dromara/domain-admin,2024-02,6
control,dromara/domain-admin,2024-03,1
control,dromara/domain-admin,2024-06,2
control,dromara/domain-admin,2024-07,10
control,dromara/domain-admin,2024-09,4
control,dromara/domain-admin,2024-10,1
control,dromara/domain-admin,2024-11,2
control,dymmond/edgy,2024-01,1
control,dymmond/edgy,2024-05,1
control,dymmond/edgy,2024-06,4
control,dymmond/edgy,2024-08,5
control,dymmond/edgy,2024-09,3
control,dymmond/edgy,2024-10,1
control,dymmond/edgy,2025-03,1
control,golemfoundation/octant,2024-02,2
control,golemfoundation/octant,2024-03,4
control,golemfoundation/octant,2024-04,1
control,golemfoundation/octant,2024-05,2
control,golemfoundation/octant,2024-06,3
control,golemfoundation/octant,2024-07,1
control,golemfoundation/octant,2024-10,3
control,golemfoundation/octant,2024-12,1
control,golemfoundation/octant,2025-01,2
control,golemfoundation/octant,2025-02,1
control,golemfoundation/octant,2025-03,1
control,infected4098/Wave-U-Mamba,2024-09,2
control,itsKayWat/MindfulShift-2025,2024-12,1
control,jinli99/iShapEditing,2024-03,3
control,kangtegong/pyftrace,2024-10,1
control,kangtegong/pyftrace,2024-11,2
control,kuleshov-group/caduceus,2024-02,2
control,lancedb/lancedb,2024-04,11
control,lancedb/lancedb,2024-07,2
control,lancedb/lancedb,2024-09,1
control,lancedb/lancedb,2024-12,2
control,lancedb/lancedb,2025-03,2
control,lancedb/lancedb,2025-04,1
control,lancedb/lancedb,2025-06,1
control,lancedb/lancedb,2025-08,1
control,loml13yyy/yyGRPU8,2024-10,2
control,microsoft/semantic-link-labs,2024-08,5
control,microsoft/semantic-link-labs,2024-09,2
control,microsoft/semantic-link-labs,2024-10,4
control,microsoft/semantic-link-labs,2024-12,4
control,microsoft/semantic-link-labs,2025-01,3
control,microsoft/semantic-link-labs,2025-02,7
control,microsoft/semantic-link-labs,2025-03,4
control,microsoft/semantic-link-labs,2025-04,1
control,microsoft/semantic-link-labs,2025-05,3
control,microsoft/semantic-link-labs,2025-06,3
control,microsoft/semantic-link-labs,2025-08,1
control,nhw649/EOV-Seg,2024-06,9
control,pieces-app/cli-agent,2024-02,2
control,pieces-app/cli-agent,2024-03,1
control,pieces-app/cli-agent,2024-09,1
control,pieces-app/cli-agent,2024-10,2
control,pieces-app/cli-agent,2025-03,1
control,pieces-app/cli-agent,2025-04,6
control,pieces-app/cli-agent,2025-06,6
control,pieces-app/cli-agent,2025-07,1
control,pieces-app/cli-agent,2025-08,1
control,plurai-ai/intellagent,2024-11,8
control,plurai-ai/intellagent,2024-12,2
control,popey/sbommage,2025-08,4
control,qiboteam/qibojit,2024-02,1
control,qiboteam/qibojit,2025-02,1
control,qiboteam/qibojit,2025-05,3
control,qiboteam/qibojit,2025-06,1
control,thegreenwebfoundation/admin-portal,2024-02,1
control,thegreenwebfoundation/admin-portal,2024-04,1
control,thegreenwebfoundation/admin-portal,2025-08,1
control,tusgino/llm-code-reviewer,2024-11,1
control,vortezwohl/Bhakti,2024-09,2
control,xinsir6/ControlNetPlus,2024-07,3
control,yoongi43/music_audio_enhancement_conformer,2024-06,1
control,ysj9909/SHViT,2024-04,3
control,zhang-xr/FirmLLM,2025-02,4
control,zhang-xr/FirmLLM,2025-03,1
control,zhipeixu/FakeShield,2025-02,41
control,zju3dv/ready_to_react,2025-02,31
treatment,1mrat/cursor-taskrunner,2024-08,1
treatment,Anemll/Anemll,2025-02,2
treatment,Anemll/Anemll,2025-06,4
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,10
treatment,Chocksy/qc-options-framework,2024-11,1
treatment,DannyMac180/mirror,2024-12,2
treatment,DataDog/integrations-core,2024-01,4
treatment,DataDog/integrations-core,2024-02,1
treatment,DataDog/integrations-core,2024-03,1
treatment,DataDog/integrations-core,2024-05,1
treatment,DataDog/integrations-core,2024-07,3
treatment,DataDog/integrations-core,2024-08,3
treatment,DataDog/integrations-core,2024-09,3
treatment,DataDog/integrations-core,2024-10,1
treatment,DataDog/integrations-core,2024-12,1
treatment,DataDog/integrations-core,2025-01,2
treatment,DataDog/integrations-core,2025-03,2
treatment,DataDog/integrations-core,2025-04,1
treatment,DataDog/integrations-core,2025-05,5
treatment,DataDog/integrations-core,2025-06,4
treatment,DataDog/integrations-core,2025-07,11
treatment,DataDog/integrations-core,2025-08,1
treatment,DataScienceUIBK/Rankify,2025-02,12
treatment,DataScienceUIBK/Rankify,2025-05,2
treatment,DataScienceUIBK/Rankify,2025-06,3
treatment,Elevate-Code/better-voice-typing,2024-11,2
treatment,Elevate-Code/better-voice-typing,2025-03,3
treatment,Hankanman/Area-Occupancy-Detection,2024-11,2
treatment,Hankanman/Area-Occupancy-Detection,2024-12,4
treatment,Hankanman/Area-Occupancy-Detection,2025-03,1
treatment,Hankanman/Area-Occupancy-Detection,2025-04,4
treatment,Hankanman/Area-Occupancy-Detection,2025-06,7
treatment,Hankanman/Area-Occupancy-Detection,2025-07,7
treatment,Hankanman/Area-Occupancy-Detection,2025-08,2
treatment,Kiln-AI/Kiln,2024-08,5
treatment,Kiln-AI/Kiln,2024-10,28
treatment,Kiln-AI/Kiln,2024-11,8
treatment,Kiln-AI/Kiln,2024-12,4
treatment,Kiln-AI/Kiln,2025-01,7
treatment,Kiln-AI/Kiln,2025-02,9
treatment,Kiln-AI/Kiln,2025-03,5
treatment,Kiln-AI/Kiln,2025-05,2
treatment,Kiln-AI/Kiln,2025-06,12
treatment,Kiln-AI/Kiln,2025-07,9
treatment,Kiln-AI/Kiln,2025-08,6
treatment,KroMiose/nekro-agent,2024-07,1
treatment,KroMiose/nekro-agent,2024-12,2
treatment,KroMiose/nekro-agent,2025-01,1
treatment,KroMiose/nekro-agent,2025-02,1
treatment,KroMiose/nekro-agent,2025-04,1
treatment,KroMiose/nekro-agent,2025-06,2
treatment,KroMiose/nekro-agent,2025-07,1
treatment,LearningCircuit/local-deep-research,2025-02,5
treatment,LearningCircuit/local-deep-research,2025-03,24
treatment,LearningCircuit/local-deep-research,2025-04,14
treatment,LearningCircuit/local-deep-research,2025-05,15
treatment,LearningCircuit/local-deep-research,2025-06,55
