dataset_source,repo_name,time,event,time_to_event,post_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,log1p_age,log1p_contributors,log1p_stars,log1p_issues,has_parse_exclusion,parse_exclusion_records,npr_detection_complete,npr_specification,npr_agc_threshold,npr_algorithm_version,npr_decision_rule,npr_window_policy,npr_function_aggregation,npr_partial_body_policy,npr_scoring_model,npr_window_size_literal_space_tokens,npr_perturbations_per_window,npr_random_seed,treatment_group,npr_agc_regular_module_function_unique_bodies,log1p_npr_agc_regular_module_function_unique_bodies,has_npr_agc_regular_module_function_unique_body,zero_npr_agc_regular_module_function_unique_body_month,regular_function_scope,agc_count_unit,agc_outcome_scale,analysis_ready_regular_module_function_agc_unique_body_paper_ncloc,analysis_ready_regular_module_function_agc_unique_body_python_snapshot_ncloc
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,2025-04,2025-03,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13.0,6573.0,2936,1,1.0,0.0,2.6390573296152584,0.6931471805599453,0.6931471805599453,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,2025-06,2025-03,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,74.0,6573.0,2936,1,0.0,0.0,4.31748811353631,0.6931471805599453,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,2025-08,2025-03,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,7296.0,3570,1,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Chocksy/qc-options-framework,2024-04,2025-03,-11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4036.0,4176,1,1.0,2.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681096,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Chocksy/qc-options-framework,2024-06,2025-03,-9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36.0,4123.0,4126,2,5.0,10.0,3.610917912644224,1.0986122886681096,1.791759469228055,2.3978952727983707,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Chocksy/qc-options-framework,2024-07,2025-03,-8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66.0,4179.0,4182,2,0.0,0.0,4.204692619390966,1.0986122886681096,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Chocksy/qc-options-framework,2024-08,2025-03,-7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97.0,4467.0,5618,3,1.0,4.0,4.584967478670571,1.3862943611198906,0.6931471805599453,1.6094379124341005,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Chocksy/qc-options-framework,2024-09,2025-03,-6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,128.0,4631.0,5769,2,1.0,11.0,4.859812404361672,1.0986122886681096,0.6931471805599453,2.4849066497880004,1,2,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Chocksy/qc-options-framework,2024-10,2025-03,-5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,158.0,4645.0,5783,1,0.0,1.0,5.068904202220232,0.6931471805599453,0.0,0.6931471805599453,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Chocksy/qc-options-framework,2024-11,2025-03,-4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,189.0,9277.0,10504,1,1.0,2.0,5.247024072160486,0.6931471805599453,0.6931471805599453,1.0986122886681096,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,1,0.6931471805599453,1,0,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
