outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-5,-0.0734154420900124,-0.348293285922076,0.201462401742051,0.140243797873502,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-4,-0.00869893668276387,-0.308392485688483,0.290994612322955,0.152904871941693,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-3,0.036238045438287,-0.181242235879368,0.253718326755942,0.110959327202885,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-2,0.266639884449392,0.00114090729040417,0.532138861608381,0.13545866181581,,TRUE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),0,0.192303368150219,-0.0712473877770477,0.455854124077486,0.134464671391463,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),1,0.00137823146555963,-0.301096972196554,0.303853435127673,0.154324083501078,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),2,-0.158797923808395,-0.505878130246968,0.188282282630178,0.177081737978864,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),3,-0.27826766159178,-0.646945423118309,0.0904100999347489,0.188100898738025,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),4,-0.172356146200864,-0.569310268204013,0.224597975802286,0.202527613266913,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),5,-0.136266883209502,-0.628476238556877,0.355942472137872,0.251127222116007,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),6,0.182603329576602,-0.554435346083967,0.919642005237172,0.376040140643148,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
