source_group,repo_name,time,metric,row_overlap_status,commit_match_status,commit_equal_or_prefix,paper_latest_commit,our_latest_commit,paper_value,our_value,diff,abs_diff,ncloc_scope_status,cause_category
treatment,wdm0006/elote,2024-07,static_analysis_warnings,both,exact_match,True,75739e6ad51f3d50fdd047a0136f56b6274ad080,75739e6ad51f3d50fdd047a0136f56b6274ad080,885.0,18.0,-867.0,867.0,ncloc_different,source_scope_difference_or_mixed
treatment,wdm0006/elote,2024-08,static_analysis_warnings,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,885.0,18.0,-867.0,867.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2024-09,static_analysis_warnings,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,885.0,18.0,-867.0,867.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2024-10,static_analysis_warnings,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,885.0,18.0,-867.0,867.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2024-11,static_analysis_warnings,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,885.0,18.0,-867.0,867.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2024-12,static_analysis_warnings,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,885.0,18.0,-867.0,867.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2025-01,static_analysis_warnings,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,885.0,18.0,-867.0,867.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2025-02,code_smells,both,exact_match,True,6371b529b88402434e8cafaaf0ed137b412bfd6b,6371b529b88402434e8cafaaf0ed137b412bfd6b,909.0,51.0,-858.0,858.0,ncloc_different,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-06,code_smells,both,exact_match,True,40193a9e2b1b854a8f3b95dd0e7041259f22653d,40193a9e2b1b854a8f3b95dd0e7041259f22653d,2921.0,2071.0,-850.0,850.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-05,code_smells,both,exact_match,True,970e957779bbea1ac84e41927e6e0bd9f118f7ba,970e957779bbea1ac84e41927e6e0bd9f118f7ba,2888.0,2045.0,-843.0,843.0,ncloc_close,source_scope_difference_or_mixed
treatment,wdm0006/elote,2024-07,code_smells,both,exact_match,True,75739e6ad51f3d50fdd047a0136f56b6274ad080,75739e6ad51f3d50fdd047a0136f56b6274ad080,860.0,18.0,-842.0,842.0,ncloc_different,source_scope_difference_or_mixed
treatment,wdm0006/elote,2024-08,code_smells,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,860.0,18.0,-842.0,842.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2024-09,code_smells,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,860.0,18.0,-842.0,842.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2024-10,code_smells,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,860.0,18.0,-842.0,842.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2024-11,code_smells,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,860.0,18.0,-842.0,842.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2024-12,code_smells,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,860.0,18.0,-842.0,842.0,unknown,paper_commit_missing
treatment,wdm0006/elote,2025-01,code_smells,both,paper_commit_missing,False,,75739e6ad51f3d50fdd047a0136f56b6274ad080,860.0,18.0,-842.0,842.0,unknown,paper_commit_missing
treatment,Anemll/Anemll,2025-07,static_analysis_warnings,both,exact_match,True,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,1084.0,243.0,-841.0,841.0,ncloc_identical,rule_config_analyzer_profile_signal
treatment,Anemll/Anemll,2025-07,code_smells,both,exact_match,True,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,1070.0,233.0,-837.0,837.0,ncloc_identical,rule_config_analyzer_profile_signal
treatment,DataDog/integrations-core,2024-04,code_smells,both,exact_match,True,6d0b7455cbbd6b6bfc4a6d2a4ad3345d7a3b31ec,6d0b7455cbbd6b6bfc4a6d2a4ad3345d7a3b31ec,2854.0,2024.0,-830.0,830.0,ncloc_close,source_scope_difference_or_mixed
treatment,Anemll/Anemll,2025-06,static_analysis_warnings,both,exact_match,True,b0ea623eaac791a0803849c4f35ef8357f98935b,b0ea623eaac791a0803849c4f35ef8357f98935b,1000.0,184.0,-816.0,816.0,ncloc_identical,rule_config_analyzer_profile_signal
