source_group,repo_name,time,paper_latest_commit,paper_ncloc,paper_bugs,paper_vulnerabilities,paper_code_smells,paper_duplicated_lines_density,paper_comment_lines_density,paper_cognitive_complexity,paper_technical_debt,paper_static_analysis_warnings,our_latest_commit,our_ncloc,our_bugs,our_vulnerabilities,our_code_smells,our_duplicated_lines_density,our_comment_lines_density,our_cognitive_complexity,our_technical_debt,our_static_analysis_warnings,row_overlap_status,commit_match_status,commit_equal_or_prefix,diff_ncloc,abs_diff_ncloc,diff_bugs,abs_diff_bugs,diff_vulnerabilities,abs_diff_vulnerabilities,diff_code_smells,abs_diff_code_smells,diff_duplicated_lines_density,abs_diff_duplicated_lines_density,diff_comment_lines_density,abs_diff_comment_lines_density,diff_cognitive_complexity,abs_diff_cognitive_complexity,diff_technical_debt,abs_diff_technical_debt,diff_static_analysis_warnings,abs_diff_static_analysis_warnings
control,Envious-Data/Env-KB,2024-10,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2024-11,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2024-12,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2025-01,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2025-02,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2025-03,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2025-04,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2025-05,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2025-06,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2025-07,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
