source_group,repo_name,time,commit_match_status,paper_latest_commit,our_latest_commit,ncloc_scope_status,metric,paper_value,our_value,diff,abs_diff
control,dymmond/edgy,2025-06,exact_match,296c59535df2ac0485f1bcb2616e23cfe596db99,296c59535df2ac0485f1bcb2616e23cfe596db99,ncloc_identical,bugs,31.0,8.0,-23.0,23.0
control,dymmond/edgy,2025-05,exact_match,e9c3ec3948d50eecc353884feac6b45abb753578,e9c3ec3948d50eecc353884feac6b45abb753578,ncloc_identical,bugs,31.0,8.0,-23.0,23.0
control,dymmond/edgy,2025-07,exact_match,2539500a350d0adbcb0486ba4525a8862ac753dd,2539500a350d0adbcb0486ba4525a8862ac753dd,ncloc_identical,bugs,33.0,10.0,-23.0,23.0
control,FolhaSP/mosaico,2024-11,exact_match,671279ed06a708df03f6b96283c4b2e4e752944d,671279ed06a708df03f6b96283c4b2e4e752944d,ncloc_identical,bugs,22.0,0.0,-22.0,22.0
control,FolhaSP/mosaico,2025-01,exact_match,9f54b7e292c074c054d5d53b7e6f5cf92d2ef3d4,9f54b7e292c074c054d5d53b7e6f5cf92d2ef3d4,ncloc_identical,bugs,22.0,1.0,-21.0,21.0
control,FolhaSP/mosaico,2025-02,exact_match,7ee2ad4944d0c431f69e11953c8db270548cab29,7ee2ad4944d0c431f69e11953c8db270548cab29,ncloc_identical,bugs,22.0,1.0,-21.0,21.0
control,FolhaSP/mosaico,2024-12,exact_match,89e8405cb37b43228bf09fb2cbcad41fe0c63f50,89e8405cb37b43228bf09fb2cbcad41fe0c63f50,ncloc_identical,bugs,22.0,1.0,-21.0,21.0
treatment,tmux-python/tmuxp,2024-03,exact_match,eecd9e7e92b8f86bb3e74cd2d88284bce1a82448,eecd9e7e92b8f86bb3e74cd2d88284bce1a82448,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-08,exact_match,453f5956e509445303ee1e161534b8e40f3b3d1c,453f5956e509445303ee1e161534b8e40f3b3d1c,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2025-01,exact_match,b3f7d78f9422faebdb534b1e9a33be4e93567164,b3f7d78f9422faebdb534b1e9a33be4e93567164,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2025-02,exact_match,12da0966aa52fb8d2b79fdfa98c32b770c1aa76b,12da0966aa52fb8d2b79fdfa98c32b770c1aa76b,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2025-08,exact_match,ccbc3729b89db062589697c28077877dc2b30642,ccbc3729b89db062589697c28077877dc2b30642,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-12,exact_match,bd053fa1d6cf9b7958e51b23a3535134c8ca7d8f,bd053fa1d6cf9b7958e51b23a3535134c8ca7d8f,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-09,exact_match,d378f576017983dfe556706e81fb9b1451d6b4d4,d378f576017983dfe556706e81fb9b1451d6b4d4,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2025-03,exact_match,1b034699e8484f3c76a8ef46f5132dcf87b38fd0,1b034699e8484f3c76a8ef46f5132dcf87b38fd0,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-01,exact_match,7ca123dec130c4655a052d12bf7d9dce24c06867,7ca123dec130c4655a052d12bf7d9dce24c06867,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-10,exact_match,e5f255e15fd671519bb9d73459a9890e00927ca3,e5f255e15fd671519bb9d73459a9890e00927ca3,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-07,exact_match,1f339c207881f89bdf2dc90251e2f2de3b16ce59,1f339c207881f89bdf2dc90251e2f2de3b16ce59,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-06,exact_match,8ad7226e1b0859749c46a294327b09a3b31ca5fa,8ad7226e1b0859749c46a294327b09a3b31ca5fa,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2025-07,exact_match,7cea7b926b3366c59d7ca1e41de55cb020a0ce67,7cea7b926b3366c59d7ca1e41de55cb020a0ce67,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2025-06,exact_match,0708824ac8dbff7f0a4b504156be5bc511c288c7,0708824ac8dbff7f0a4b504156be5bc511c288c7,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-11,exact_match,ef6b32a69632cf947e5c630e3b5d7ea26a4034b1,ef6b32a69632cf947e5c630e3b5d7ea26a4034b1,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-02,exact_match,141fb9ad43136bdfd61e978b4ad9fd2dafcc00de,141fb9ad43136bdfd61e978b4ad9fd2dafcc00de,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2025-05,exact_match,d9d4038baa7ecee9623fd770703b544ecec78ad0,d9d4038baa7ecee9623fd770703b544ecec78ad0,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2025-04,exact_match,fad8ac65bba4223e4e082a09149221396a852e0b,fad8ac65bba4223e4e082a09149221396a852e0b,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-04,exact_match,e8d2d6824fd5dc19974b7944697126198e850264,e8d2d6824fd5dc19974b7944697126198e850264,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
treatment,tmux-python/tmuxp,2024-05,exact_match,fc437afd7e83454b717af1d719022cd4aba3972b,fc437afd7e83454b717af1d719022cd4aba3972b,ncloc_identical,bugs,34.0,17.0,-17.0,17.0
control,dymmond/edgy,2025-02,exact_match,6beec111e957f1ef9fadfd39bf88a4617f574a9d,6beec111e957f1ef9fadfd39bf88a4617f574a9d,ncloc_identical,bugs,21.0,6.0,-15.0,15.0
treatment,lss233/kirara-ai,2025-03,exact_match,01f95895fcbe6a330b5b7b82c5769afa080abb05,01f95895fcbe6a330b5b7b82c5769afa080abb05,ncloc_identical,bugs,6.0,20.0,14.0,14.0
control,aio-libs/aiohttp,2024-09,exact_match,22a12cc2e2ef289d9e96fd87dfc17272177e52ac,22a12cc2e2ef289d9e96fd87dfc17272177e52ac,ncloc_identical,bugs,21.0,8.0,-13.0,13.0
treatment,lss233/kirara-ai,2025-02,exact_match,e3f9f4ee52116b858fa36d0ce7d7a91a6db7751a,e3f9f4ee52116b858fa36d0ce7d7a91a6db7751a,ncloc_identical,bugs,5.0,18.0,13.0,13.0
treatment,cohnen/mcp-google-ads,2025-03,exact_match,e7055815879aa160975f5f5e4b61f667cc4df369,e7055815879aa160975f5f5e4b61f667cc4df369,ncloc_identical,bugs,0.0,12.0,12.0,12.0
treatment,cohnen/mcp-google-ads,2025-04,exact_match,557a40ed6371b18a225d0564829648e4014461d6,557a40ed6371b18a225d0564829648e4014461d6,ncloc_identical,bugs,0.0,12.0,12.0,12.0
treatment,cohnen/mcp-google-ads,2025-08,exact_match,c028ad994d96eea4fcd4301938e895c70d43cd6c,c028ad994d96eea4fcd4301938e895c70d43cd6c,ncloc_identical,bugs,0.0,12.0,12.0,12.0
control,MalevichAI/malevich,2024-03,exact_match,fa65da712ea11d1a3573737dc4356ca5050928d3,fa65da712ea11d1a3573737dc4356ca5050928d3,ncloc_identical,bugs,24.0,12.0,-12.0,12.0
treatment,instructor-ai/instructor,2025-05,exact_match,fe151f49267ea90c8a1f660df2c01e51520ae360,fe151f49267ea90c8a1f660df2c01e51520ae360,ncloc_identical,bugs,27.0,16.0,-11.0,11.0
treatment,osomai/servicenow-mcp,2025-03,exact_match,7b4d9e220ae702b3f36d4027e2a7cee83de234d7,7b4d9e220ae702b3f36d4027e2a7cee83de234d7,ncloc_identical,bugs,0.0,11.0,11.0,11.0
treatment,sirkirby/unifi-network-rules,2025-06,exact_match,c5a94b82797ea738e2f9f796f918e315dc71fe90,c5a94b82797ea738e2f9f796f918e315dc71fe90,ncloc_identical,bugs,1.0,12.0,11.0,11.0
treatment,trycua/cua,2025-03,exact_match,9324ab56b21973171f72bfbb6f8aeb8c76871bf3,9324ab56b21973171f72bfbb6f8aeb8c76871bf3,ncloc_identical,bugs,2.0,13.0,11.0,11.0
treatment,instructor-ai/instructor,2025-06,exact_match,05de0f3548ee318f5cb9d9a010cef027147b7443,05de0f3548ee318f5cb9d9a010cef027147b7443,ncloc_identical,bugs,27.0,16.0,-11.0,11.0
control,HelpingAI/Webscout,2025-03,exact_match,0d6ff18a9799de1f2bbe637431e363e4c49006e7,0d6ff18a9799de1f2bbe637431e363e4c49006e7,ncloc_identical,bugs,24.0,34.0,10.0,10.0
treatment,discus0434/nook,2025-04,exact_match,93a9b79409fbfd36c57e68b085dd6cea448d11a2,93a9b79409fbfd36c57e68b085dd6cea448d11a2,ncloc_identical,bugs,1.0,11.0,10.0,10.0
treatment,wdm0006/git-pandas,2025-07,exact_match,52ef82e1f116c820711afa33c8afebf750e5a3ca,52ef82e1f116c820711afa33c8afebf750e5a3ca,ncloc_identical,bugs,13.0,3.0,-10.0,10.0
treatment,sirkirby/unifi-network-rules,2025-03,exact_match,702090debca7301d7ffbb242edc927cc1c5a2703,702090debca7301d7ffbb242edc927cc1c5a2703,ncloc_identical,bugs,1.0,11.0,10.0,10.0
treatment,sirkirby/unifi-network-rules,2025-07,exact_match,82b213f6193a4d0bdac8093c235b16e205d8b6d0,82b213f6193a4d0bdac8093c235b16e205d8b6d0,ncloc_identical,bugs,1.0,11.0,10.0,10.0
treatment,discus0434/nook,2025-03,exact_match,e9fbce1f2d994f41be8762132c6a7d0b14e2a2cd,e9fbce1f2d994f41be8762132c6a7d0b14e2a2cd,ncloc_identical,bugs,1.0,11.0,10.0,10.0
treatment,yeagerai/genlayer-studio,2024-06,exact_match,5672716bd38eccbada79e51ca6b7991a7e02bddb,5672716bd38eccbada79e51ca6b7991a7e02bddb,ncloc_identical,bugs,23.0,13.0,-10.0,10.0
control,dymmond/edgy,2024-12,exact_match,d1021f76b8fd28b0b0dca17c69da71a3bdc9025e,d1021f76b8fd28b0b0dca17c69da71a3bdc9025e,ncloc_identical,bugs,16.0,7.0,-9.0,9.0
treatment,sirkirby/unifi-network-rules,2025-04,exact_match,b208b60791430e40bb8e2bc43c0ff81632167a72,b208b60791430e40bb8e2bc43c0ff81632167a72,ncloc_identical,bugs,1.0,10.0,9.0,9.0
control,dymmond/edgy,2025-01,exact_match,103f66b137d03005ff6baaf5e4b40133d048625d,103f66b137d03005ff6baaf5e4b40133d048625d,ncloc_identical,bugs,15.0,6.0,-9.0,9.0
treatment,lss233/kirara-ai,2025-05,exact_match,8ebe4ce51b0e75ee4c4b10ef01e4fda4e17f1f4b,8ebe4ce51b0e75ee4c4b10ef01e4fda4e17f1f4b,ncloc_identical,bugs,7.0,16.0,9.0,9.0
treatment,yeagerai/genlayer-studio,2024-05,exact_match,08fff8eb122cff09c100a619e785edae1bf1340e,08fff8eb122cff09c100a619e785edae1bf1340e,ncloc_identical,bugs,22.0,13.0,-9.0,9.0
treatment,lss233/kirara-ai,2025-06,exact_match,8295a5deda0b289a3f70d946064b6c9a3e1b0753,8295a5deda0b289a3f70d946064b6c9a3e1b0753,ncloc_identical,bugs,7.0,16.0,9.0,9.0
control,dymmond/edgy,2024-04,exact_match,85a5aa0dcacec8c82bab372772ae25c87c9042f6,85a5aa0dcacec8c82bab372772ae25c87c9042f6,ncloc_identical,bugs,15.0,7.0,-8.0,8.0
control,dymmond/edgy,2024-11,exact_match,b3793603d969de4bf76397961da57910c1e7a6ca,b3793603d969de4bf76397961da57910c1e7a6ca,ncloc_identical,bugs,15.0,7.0,-8.0,8.0
control,aio-libs/aiohttp,2024-07,exact_match,4c81115c0318aa2c7975cb92eeb8fcde9fc84f8f,4c81115c0318aa2c7975cb92eeb8fcde9fc84f8f,ncloc_identical,bugs,20.0,12.0,-8.0,8.0
control,Drchip61/Dual_SAM,2024-03,exact_match,3efdae9483742dd2e2d63331ebdf67972492c9c7,3efdae9483742dd2e2d63331ebdf67972492c9c7,ncloc_identical,bugs,10.0,2.0,-8.0,8.0
treatment,c4fun/tell-stories-webui,2025-02,exact_match,710af02d6d75c9beeb2879b9895ac12dcc5ef4a2,710af02d6d75c9beeb2879b9895ac12dcc5ef4a2,ncloc_identical,bugs,0.0,8.0,8.0,8.0
control,Event-AHU/OpenEvDET,2025-05,exact_match,c3089ba55502bb47ab6689d56bed4bd44236c126,c3089ba55502bb47ab6689d56bed4bd44236c126,ncloc_identical,bugs,9.0,17.0,8.0,8.0
control,dymmond/edgy,2024-05,exact_match,acf009ef9736b17a062320fe62d422fd5db759e3,acf009ef9736b17a062320fe62d422fd5db759e3,ncloc_identical,bugs,16.0,8.0,-8.0,8.0
control,Event-AHU/OpenEvDET,2025-07,exact_match,0387128430648126abe7ef71016a4ff6a1f03f20,0387128430648126abe7ef71016a4ff6a1f03f20,ncloc_identical,bugs,9.0,17.0,8.0,8.0
treatment,c4fun/tell-stories-webui,2025-04,exact_match,2a586311600393da4899d04a91a1fbe38ce7b5b0,2a586311600393da4899d04a91a1fbe38ce7b5b0,ncloc_identical,bugs,0.0,8.0,8.0,8.0
control,Drchip61/Dual_SAM,2024-04,exact_match,cf57ce7726f1d40206e0793cb096c1fc48f73425,cf57ce7726f1d40206e0793cb096c1fc48f73425,ncloc_identical,bugs,10.0,2.0,-8.0,8.0
control,Event-AHU/OpenEvDET,2025-08,exact_match,77a31ac8d522bafc38fbe2569df8020ffc6d11ff,77a31ac8d522bafc38fbe2569df8020ffc6d11ff,ncloc_identical,bugs,8.0,16.0,8.0,8.0
control,dymmond/edgy,2024-10,exact_match,35e2fe2ce7936f3eda666eb083c6f64d11610d29,35e2fe2ce7936f3eda666eb083c6f64d11610d29,ncloc_identical,bugs,18.0,10.0,-8.0,8.0
control,dymmond/edgy,2024-02,exact_match,10115d3429844344d86a9f8146871f8a991c6573,10115d3429844344d86a9f8146871f8a991c6573,ncloc_identical,bugs,15.0,7.0,-8.0,8.0
control,dymmond/edgy,2024-01,exact_match,0bea047b50cc5f4c227e8c44eee1ad7ba0382b2d,0bea047b50cc5f4c227e8c44eee1ad7ba0382b2d,ncloc_identical,bugs,15.0,7.0,-8.0,8.0
control,dymmond/edgy,2024-06,exact_match,8fc8c3322bcc9c522c6b7798cf3d3409afd2d253,8fc8c3322bcc9c522c6b7798cf3d3409afd2d253,ncloc_identical,bugs,19.0,11.0,-8.0,8.0
control,dymmond/edgy,2024-07,exact_match,b8caa8fe87da4fa572c092051de74aea8724f143,b8caa8fe87da4fa572c092051de74aea8724f143,ncloc_identical,bugs,19.0,11.0,-8.0,8.0
control,Drchip61/Dual_SAM,2024-12,exact_match,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,ncloc_identical,bugs,10.0,2.0,-8.0,8.0
treatment,lss233/kirara-ai,2025-04,exact_match,fc34a6fb6bed5001960084c506ccd5fbd4f2e779,fc34a6fb6bed5001960084c506ccd5fbd4f2e779,ncloc_identical,bugs,5.0,13.0,8.0,8.0
control,aio-libs/aiohttp,2024-08,exact_match,b73a4c170c64e2691331542d30133df3d54032c0,b73a4c170c64e2691331542d30133df3d54032c0,ncloc_identical,bugs,20.0,12.0,-8.0,8.0
control,bropines/chrome-lens-py,2025-03,exact_match,e06a26cc2df7b9f475b163cd147c2d892ae69a7b,e06a26cc2df7b9f475b163cd147c2d892ae69a7b,ncloc_identical,bugs,0.0,8.0,8.0,8.0
control,dymmond/edgy,2024-09,exact_match,80f019ccf8587cec7d73e07f0c8b2cca70f5a923,80f019ccf8587cec7d73e07f0c8b2cca70f5a923,ncloc_identical,bugs,18.0,10.0,-8.0,8.0
control,dymmond/edgy,2024-08,exact_match,449d22c3a3191248096ab44ed1391749111d0c0c,449d22c3a3191248096ab44ed1391749111d0c0c,ncloc_identical,bugs,18.0,10.0,-8.0,8.0
treatment,leettools-dev/leettools,2024-12,exact_match,bf8220202f5a90c809cf170822cad5bce2d8f498,bf8220202f5a90c809cf170822cad5bce2d8f498,ncloc_identical,bugs,17.0,10.0,-7.0,7.0
treatment,leettools-dev/leettools,2025-01,exact_match,c004b03a63f7aca6e384d56c2e9b3b4b06027a8c,c004b03a63f7aca6e384d56c2e9b3b4b06027a8c,ncloc_identical,bugs,16.0,9.0,-7.0,7.0
control,aio-libs/aiohttp,2024-06,exact_match,10e3940aff0945180b71193a45cedf927b4d448d,10e3940aff0945180b71193a45cedf927b4d448d,ncloc_identical,bugs,19.0,12.0,-7.0,7.0
control,aio-libs/aiohttp,2024-04,exact_match,c215e56dc175e9da545e73b00531f743833e0de8,c215e56dc175e9da545e73b00531f743833e0de8,ncloc_identical,bugs,19.0,12.0,-7.0,7.0
control,aio-libs/aiohttp,2024-05,exact_match,25e3e41ad0012381f214886ff437b924a4fda2f2,25e3e41ad0012381f214886ff437b924a4fda2f2,ncloc_identical,bugs,19.0,12.0,-7.0,7.0
control,zhang-xr/FirmLLM,2025-02,exact_match,ec1f47e26100924ec60415edfc0eba16e361aa7d,ec1f47e26100924ec60415edfc0eba16e361aa7d,ncloc_identical,bugs,1.0,8.0,7.0,7.0
treatment,wdm0006/pygeohash,2025-02,exact_match,00c4382efc2785dc5352029c3922b1dceb8438c6,00c4382efc2785dc5352029c3922b1dceb8438c6,ncloc_identical,bugs,7.0,0.0,-7.0,7.0
control,stakewise/v3-operator,2024-06,exact_match,35d81e7803d5173dcff73f00317928f4ced751dd,35d81e7803d5173dcff73f00317928f4ced751dd,ncloc_identical,bugs,0.0,7.0,7.0,7.0
control,stakewise/v3-operator,2024-05,exact_match,6dcda1e58bdcd159e49af92f7fc3469c57d06eb5,6dcda1e58bdcd159e49af92f7fc3469c57d06eb5,ncloc_identical,bugs,0.0,7.0,7.0,7.0
treatment,cgevans/qslib,2024-10,exact_match,942f4703421b38c43587d4cfaa33d8cb61744581,942f4703421b38c43587d4cfaa33d8cb61744581,ncloc_identical,bugs,17.0,11.0,-6.0,6.0
treatment,wdm0006/git-pandas,2025-06,exact_match,aa920b8b7a2b402677521d48c57bfbf1fb60a3b0,aa920b8b7a2b402677521d48c57bfbf1fb60a3b0,ncloc_identical,bugs,9.0,3.0,-6.0,6.0
control,bropines/chrome-lens-py,2025-08,exact_match,f0ba9bc2757176ac16104b265c8003212d822a3c,f0ba9bc2757176ac16104b265c8003212d822a3c,ncloc_identical,bugs,4.0,10.0,6.0,6.0
treatment,cgevans/qslib,2024-02,exact_match,b9e339f6ffe9ea5e4d5439cdaaeafa897f25d2d6,b9e339f6ffe9ea5e4d5439cdaaeafa897f25d2d6,ncloc_identical,bugs,18.0,12.0,-6.0,6.0
control,golemfoundation/octant,2024-02,exact_match,dcc1b2c3e18458991c3150adfb08f0fc2a7a7b50,dcc1b2c3e18458991c3150adfb08f0fc2a7a7b50,ncloc_identical,bugs,32.0,26.0,-6.0,6.0
treatment,cgevans/qslib,2024-03,exact_match,ff3fcad7b0ff655d2de1e1df3f85749f256351bf,ff3fcad7b0ff655d2de1e1df3f85749f256351bf,ncloc_identical,bugs,18.0,12.0,-6.0,6.0
control,stakewise/v3-operator,2024-03,exact_match,0139700cf0b051a0421b5f48da3a06bb092ab4a0,0139700cf0b051a0421b5f48da3a06bb092ab4a0,ncloc_identical,bugs,0.0,6.0,6.0,6.0
control,stakewise/v3-operator,2024-04,exact_match,4cd830bed06a646088da8e3248c9909b13daf99a,4cd830bed06a646088da8e3248c9909b13daf99a,ncloc_identical,bugs,0.0,6.0,6.0,6.0
treatment,cgevans/qslib,2024-08,exact_match,eb9bc5cd89646a872dabe7bc10b9dc1f2aa4cde3,eb9bc5cd89646a872dabe7bc10b9dc1f2aa4cde3,ncloc_identical,bugs,17.0,11.0,-6.0,6.0
control,bropines/chrome-lens-py,2025-06,exact_match,4f1620431d6867b4088acf5de8a05f55c8a89244,4f1620431d6867b4088acf5de8a05f55c8a89244,ncloc_identical,bugs,3.0,9.0,6.0,6.0
control,baaivision/EVE,2025-07,exact_match,cc63ec74d9e5eb7f476c2e083eac087b2882f285,cc63ec74d9e5eb7f476c2e083eac087b2882f285,ncloc_identical,bugs,12.0,6.0,-6.0,6.0
