repo_name,time,scan_group,latest_commit,ncloc_our,bugs_our,vulnerabilities_our,code_smells_our,duplicated_lines_density_our,comment_lines_density_our,cognitive_complexity_our,technical_debt_our,static_analysis_warnings_our,is_treatment,event,post_event,time_to_event,dataset_source,ncloc_paper,bugs_paper,vulnerabilities_paper,code_smells_paper,duplicated_lines_density_paper,comment_lines_density_paper,cognitive_complexity_paper,technical_debt_paper,static_analysis_warnings_paper,paper_match_status,diff_ncloc,abs_diff_ncloc,identical_ncloc,diff_bugs,abs_diff_bugs,identical_bugs,diff_vulnerabilities,abs_diff_vulnerabilities,identical_vulnerabilities,diff_code_smells,abs_diff_code_smells,identical_code_smells,diff_duplicated_lines_density,abs_diff_duplicated_lines_density,identical_duplicated_lines_density,diff_comment_lines_density,abs_diff_comment_lines_density,identical_comment_lines_density,diff_cognitive_complexity,abs_diff_cognitive_complexity,identical_cognitive_complexity,diff_technical_debt,abs_diff_technical_debt,identical_technical_debt,diff_static_analysis_warnings,abs_diff_static_analysis_warnings,identical_static_analysis_warnings
The-Pocket/Tutorial-Cold-Email-Personalization,2025-06,treatment,200903e33e7756a880160f8b7c5d6e5dd51794a6,599.0,0.0,0.0,3.0,0.0,16.5,125.0,72.0,3.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-Cold-Email-Personalization,2025-07,treatment,200903e33e7756a880160f8b7c5d6e5dd51794a6,599.0,0.0,0.0,3.0,0.0,16.5,125.0,72.0,3.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-Cold-Email-Personalization,2025-08,treatment,200903e33e7756a880160f8b7c5d6e5dd51794a6,599.0,0.0,0.0,3.0,0.0,16.5,125.0,72.0,3.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-Cursor,2025-04,treatment,0e69c81e74a3927d34b760beaca3a7775d650051,1411.0,0.0,0.0,41.0,1.9,19.6,367.0,355.0,41.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-Cursor,2025-05,treatment,0e69c81e74a3927d34b760beaca3a7775d650051,1411.0,0.0,0.0,41.0,1.9,19.6,367.0,355.0,41.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-Cursor,2025-06,treatment,0e69c81e74a3927d34b760beaca3a7775d650051,1411.0,0.0,0.0,41.0,1.9,19.6,367.0,355.0,41.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-Cursor,2025-07,treatment,0e69c81e74a3927d34b760beaca3a7775d650051,1411.0,0.0,0.0,41.0,1.9,19.6,367.0,355.0,41.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-Cursor,2025-08,treatment,0e69c81e74a3927d34b760beaca3a7775d650051,1411.0,0.0,0.0,41.0,1.9,19.6,367.0,355.0,41.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2024-11,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2024-12,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2025-01,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2025-02,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2025-03,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2025-04,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2025-05,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2025-06,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2025-07,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
TheSethRose/Agent-Chat,2025-08,treatment,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,356.0,0.0,1.0,13.0,0.0,25.5,77.0,76.0,14.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
ToolUse/infinite-ai-seo,2025-04,treatment,d4019a3edb442ae7ffddbfdad289ec92400d32ee,1122.0,2.0,0.0,13.0,0.0,20.3,260.0,175.0,15.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
