metric,cause_category,source_group,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
code_smells,commit_selection_difference,treatment,60,60,24,1,59,56,3,139.38333333333333,28.0,28.0,159.10000000000002,381.39999999999924,3320.0,8413.0,799.6666666666666,939.05,0.9833333333333333,0.9333333333333333,0.05,0.02747317340787523
code_smells,ncloc_missing_exact_commit,control,18,18,9,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code_smells,ncloc_missing_exact_commit,treatment,4,4,3,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code_smells,paper_commit_missing,control,304,304,60,64,240,171,69,-0.694078947368421,2.0,5.0,191.0,344.0,1017.0,17153.0,262.125,261.43092105263156,0.7894736842105263,0.5625,0.22697368421052633,0.05601418560148387
code_smells,paper_commit_missing,treatment,118,118,35,10,108,89,19,3.5338983050847457,5.0,14.0,345.0,633.749999999998,842.0,11815.0,350.22033898305085,353.7542372881356,0.9152542372881356,0.7542372881355932,0.16101694915254236,0.03858261545394578
code_smells,rule_config_analyzer_profile_signal,control,491,491,104,61,430,277,153,5.238289205702648,2.0,8.0,127.0,219.0,719.0,20718.0,150.77800407331975,156.0162932790224,0.8757637474541752,0.5641547861507128,0.31160896130346233,0.06765591425940319
code_smells,rule_config_analyzer_profile_signal,treatment,420,420,74,67,353,261,92,8.269047619047619,3.0,7.0,44.10000000000002,129.5499999999995,837.0,11195.0,105.9047619047619,114.17380952380952,0.8404761904761905,0.6214285714285714,0.21904761904761905,0.03655796699169894
code_smells,source_scope_difference_or_mixed,control,220,220,25,1,219,148,71,64.86818181818182,21.0,91.5,287.2,315.2999999999999,1018.0,27677.0,577.8909090909091,642.7590909090909,0.9954545454545455,0.6727272727272727,0.32272727272727275,0.09038096046710599
code_smells,source_scope_difference_or_mixed,treatment,357,357,38,2,355,279,76,402.9719887955182,86.0,138.0,1456.2,1920.3999999999958,8448.0,207969.0,3141.280112044818,3544.252100840336,0.9943977591036415,0.7815126050420168,0.21288515406162464,0.6791356710403428
cognitive_complexity,commit_selection_difference,control,41,41,13,32,9,9,0,21.341463414634145,0.0,0.0,36.0,47.0,617.0,875.0,863.170731707317,884.5121951219512,0.21951219512195122,0.21951219512195122,0.0,0.002570150419889146
cognitive_complexity,commit_selection_difference,treatment,60,60,24,40,20,17,3,110.46666666666667,0.0,0.0,340.7000000000001,487.15,3603.0,6720.0,5518.533333333334,5629.0,0.3333333333333333,0.2833333333333333,0.05,0.01973875522474864
cognitive_complexity,paper_commit_missing,control,295,295,58,276,19,1,18,-132.85762711864407,0.0,0.0,0.0,2180.0,2180.0,39287.0,2078.013559322034,1945.1559322033897,0.06440677966101695,0.003389830508474576,0.061016949152542375,0.11539828519563985
cognitive_complexity,paper_commit_missing,treatment,118,118,35,109,9,2,7,-1286.6610169491526,0.0,0.0,0.0,4989.149999999799,25067.0,151870.0,2674.313559322034,1387.6525423728813,0.07627118644067797,0.01694915254237288,0.059322033898305086,0.44608999344978806
cognitive_complexity,rule_config_analyzer_profile_signal,control,490,490,104,489,1,0,1,-0.0020408163265306124,0.0,0.0,0.0,0.0,1.0,1.0,944.1714285714286,944.1693877551021,0.0020408163265306124,0.0,0.0020408163265306124,2.937314765587595e-06
cognitive_complexity,rule_config_analyzer_profile_signal,treatment,420,420,74,420,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.9285714285714,943.9285714285714,0.0,0.0,0.0,0.0
cognitive_complexity,source_scope_difference_or_mixed,control,220,220,25,137,83,71,12,65.43181818181819,0.0,0.0,165.0,679.4999999999991,2180.0,19099.0,4044.518181818182,4109.95,0.37727272727272726,0.32272727272727275,0.05454545454545454,0.05609977470795748
cognitive_complexity,source_scope_difference_or_mixed,treatment,357,357,38,255,102,64,38,-126.7703081232493,0.0,0.0,159.60000000000014,857.1999999999986,29442.0,122595.0,17140.840336134454,17014.070028011203,0.2857142857142857,0.1792717086834734,0.10644257703081232,0.36010010368721124
comment_lines_density,commit_selection_difference,control,41,41,13,32,9,4,5,0.021951219512195305,0.0,0.0,0.3000000000000007,0.3999999999999994,1.6000000000000014,3.900000000000002,5.860975609756097,5.8829268292682935,0.21951219512195122,0.0975609756097561,0.12195121951219512,0.00969184890656064
comment_lines_density,commit_selection_difference,treatment,60,60,24,42,18,10,8,0.15833333333333327,0.0,0.0,0.4100000000000004,3.105,14.5,28.699999999999996,16.404999999999998,16.563333333333333,0.3,0.16666666666666666,0.13333333333333333,0.07132206759443338
comment_lines_density,paper_commit_missing,control,300,300,59,267,33,22,11,0.31566666666666665,0.0,0.0,0.09999999999999483,5.4,5.4,100.5,14.900666666666663,15.216333333333331,0.11,0.07333333333333333,0.03666666666666667,0.24975149105367792
comment_lines_density,paper_commit_missing,treatment,118,118,35,93,25,15,10,0.3110169491525424,0.0,0.0,0.4000000000000003,7.900000000000002,9.1,62.500000000000014,18.833898305084748,19.14491525423729,0.211864406779661,0.1271186440677966,0.0847457627118644,0.15531809145129227
comment_lines_density,rule_config_analyzer_profile_signal,control,491,491,104,490,1,0,1,-0.0006109979633401218,0.0,0.0,0.0,0.0,0.2999999999999998,0.2999999999999998,15.426476578411405,15.425865580448066,0.002036659877800407,0.0,0.002036659877800407,0.0007455268389662023
comment_lines_density,rule_config_analyzer_profile_signal,treatment,420,420,74,420,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.48357142857143,19.48357142857143,0.0,0.0,0.0,0.0
comment_lines_density,source_scope_difference_or_mixed,control,220,220,25,131,89,19,70,-0.4745454545454545,0.0,0.0,0.4100000000000013,5.4049999999999985,7.0,121.20000000000002,14.69772727272727,14.223181818181816,0.40454545454545454,0.08636363636363636,0.3181818181818182,0.30119284294234594
comment_lines_density,source_scope_difference_or_mixed,treatment,357,357,38,216,141,86,55,-0.010924369747899213,0.0,0.0,0.3000000000000007,0.5199999999999988,15.7,85.3,12.249019607843136,12.238095238095237,0.3949579831932773,0.24089635854341737,0.15406162464985995,0.21197813121272363
duplicated_lines_density,commit_selection_difference,control,41,41,13,34,7,3,4,0.10487804878048777,0.0,0.0,1.0999999999999996,2.3000000000000007,3.3999999999999986,13.699999999999998,10.997560975609757,11.102439024390243,0.17073170731707318,0.07317073170731707,0.0975609756097561,0.015317531305903399
duplicated_lines_density,commit_selection_difference,treatment,60,60,24,46,14,8,6,0.33,0.0,0.0,0.9300000000000004,6.9,25.3,73.2,5.656666666666665,5.986666666666665,0.23333333333333334,0.13333333333333333,0.1,0.08184257602862255
duplicated_lines_density,paper_commit_missing,control,300,300,59,274,26,0,26,-0.37,0.0,0.0,0.0,5.7,5.7,111.0,10.878333333333334,10.508333333333333,0.08666666666666667,0.0,0.08666666666666667,0.12410554561717355
duplicated_lines_density,paper_commit_missing,treatment,118,118,35,82,36,7,29,-0.08898305084745785,0.0,0.0,0.8000000000000043,0.8999999999999999,1.5999999999999996,22.700000000000024,5.467796610169492,5.378813559322034,0.3050847457627119,0.059322033898305086,0.2457627118644068,0.025380143112701283
duplicated_lines_density,rule_config_analyzer_profile_signal,control,491,491,104,477,14,1,13,-0.039307535641547854,0.0,0.0,0.0,0.0,6.499999999999999,20.299999999999997,8.322403258655804,8.283095723014256,0.028513238289205704,0.002036659877800407,0.026476578411405296,0.022696779964221824
duplicated_lines_density,rule_config_analyzer_profile_signal,treatment,420,420,74,417,3,0,3,-0.0026190476190476155,0.0,0.0,0.0,0.0,0.8999999999999986,1.0999999999999985,2.198571428571429,2.195952380952381,0.007142857142857143,0.0,0.007142857142857143,0.0012298747763864028
duplicated_lines_density,source_scope_difference_or_mixed,control,220,220,25,144,76,48,28,0.2377272727272727,0.0,0.0,1.2999999999999998,3.1999999999999997,5.7,107.3,6.319545454545454,6.557272727272727,0.34545454545454546,0.21818181818181817,0.12727272727272726,0.11996869409660109
duplicated_lines_density,source_scope_difference_or_mixed,treatment,357,357,38,201,156,24,132,-0.7806722689075631,0.0,0.0,1.6,5.719999999999999,46.6,545.0999999999999,9.024929971988795,8.244257703081232,0.4369747899159664,0.06722689075630252,0.3697478991596639,0.6094588550983899
ncloc,commit_selection_difference,control,41,41,13,30,11,8,3,99.82926829268293,0.0,0.0,471.0,685.0,1037.0,4137.0,9226.463414634147,9326.292682926829,0.2682926829268293,0.1951219512195122,0.07317073170731707,0.0025436515695381585
ncloc,commit_selection_difference,treatment,60,60,24,23,37,32,5,1506.0666666666666,1.0,2.0,1297.300000000002,3521.6499999999996,68575.0,91120.0,41875.21666666667,43381.28333333333,0.6166666666666667,0.5333333333333333,0.08333333333333333,0.056025509068483685
ncloc,paper_commit_missing,control,300,300,59,255,45,16,29,-283.94666666666666,0.0,0.0,37.0,7017.0,7017.0,167798.0,13765.003333333334,13481.056666666667,0.15,0.05333333333333334,0.09666666666666666,0.10317129467376454
ncloc,paper_commit_missing,treatment,118,118,35,72,46,26,20,-658.6610169491526,0.0,0.0,1241.8999999999946,7511.899999999983,9217.0,79896.0,14134.584745762711,13475.92372881356,0.3898305084745763,0.22033898305084745,0.1694915254237288,0.04912438622185659
ncloc,rule_config_analyzer_profile_signal,control,491,491,104,491,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8347.022403258656,8347.022403258656,0.0,0.0,0.0,0.0
ncloc,rule_config_analyzer_profile_signal,treatment,420,420,74,420,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8970.371428571429,8970.371428571429,0.0,0.0,0.0,0.0
ncloc,source_scope_difference_or_mixed,control,220,220,25,0,220,136,84,1418.918181818182,14.0,38.0,4524.0,13128.749999999985,22159.0,360788.0,39425.68636363636,40844.604545454546,1.0,0.6181818181818182,0.38181818181818183,0.22183199479587457
ncloc,source_scope_difference_or_mixed,treatment,357,357,38,0,357,162,195,1267.1456582633052,-1.0,44.0,2988.400000000004,9217.0,133392.0,922663.0,199298.57983193276,200565.72549019608,1.0,0.453781512605042,0.5462184873949579,0.5673031636704825
static_analysis_warnings,commit_selection_difference,control,41,41,13,1,40,35,5,10.512195121951219,4.0,4.0,53.0,144.0,400.0,1321.0,143.2439024390244,153.7560975609756,0.975609756097561,0.8536585365853658,0.12195121951219512,0.0026012590802845827
static_analysis_warnings,commit_selection_difference,treatment,60,60,24,0,60,47,13,105.61666666666666,24.0,37.0,214.5,414.9499999999994,1591.0,7485.0,870.4166666666666,976.0333333333333,1.0,0.7833333333333333,0.21666666666666667,0.014739155348925134
static_analysis_warnings,ncloc_missing_exact_commit,control,18,18,9,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_analysis_warnings,ncloc_missing_exact_commit,treatment,11,11,6,4,7,0,7,-15223.90909090909,-17945.0,17945.0,37724.0,37724.5,37725.0,167463.0,15223.90909090909,0.0,0.6363636363636364,0.0,0.6363636363636364,0.32976127885064127
static_analysis_warnings,paper_commit_missing,control,397,397,72,66,331,262,69,93.34005037783375,5.0,13.0,193.0,362.0,10016.0,59928.0,213.84382871536525,307.183879093199,0.8337531486146096,0.6599496221662469,0.17380352644836272,0.1180077624249012
