ncloc_scope_status,metric,exact_commit_rows,comparable_non_null,identical_rows,identical_share_among_non_null,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,max_abs_diff,paper_mean,our_mean
ncloc_close,duplicated_lines_density,406,406,293,0.7216748768472906,-0.8463054187192118,0.0,0.0,1.0999999999999996,1.8999999999999986,26.194999999999997,26.5,9.10985221674877,8.263546798029557
ncloc_different,duplicated_lines_density,171,171,52,0.30409356725146197,0.6853801169590643,0.0,0.5,3.1999999999999993,3.500000000000001,38.62000000000013,46.599999999999994,5.342690058479532,6.028070175438597
ncloc_identical,duplicated_lines_density,911,911,894,0.9813391877058177,-0.02239297475301866,0.0,0.0,0.0,0.0,0.47999999999999543,6.499999999999999,5.499121844127332,5.476728869374314
ncloc_missing,duplicated_lines_density,29,0,0,,,,,,,,,,
ncloc_close,comment_lines_density,406,406,335,0.8251231527093597,0.007635467980295552,0.0,0.0,0.09999999999999964,0.10000000000000142,0.10000000000000142,0.20000000000000284,12.491379310344827,12.499014778325124
ncloc_different,comment_lines_density,171,171,12,0.07017543859649122,-0.6514619883040936,-0.20000000000000107,0.30000000000000027,4.599999999999998,6.200000000000001,8.65000000000003,15.7,14.823976608187134,14.17251461988304
ncloc_identical,comment_lines_density,911,911,910,0.9989023051591658,-0.00032930845225027423,0.0,0.0,0.0,0.0,0.0,0.2999999999999998,17.296926454445664,17.296597145993413
ncloc_missing,comment_lines_density,29,0,0,,,,,,,,,,
ncloc_close,cognitive_complexity,406,406,334,0.8226600985221675,-2.5147783251231526,0.0,0.0,19.0,113.0,165.0,323.0,13586.633004926109,13584.118226600986
ncloc_different,cognitive_complexity,171,171,58,0.3391812865497076,-174.50877192982455,36.0,36.0,1072.0,2013.5,25067.0,29442.0,8730.415204678362,8555.906432748538
ncloc_identical,cognitive_complexity,911,910,909,0.9989010989010989,-0.001098901098901099,0.0,0.0,0.0,0.0,0.0,1.0,944.0593406593407,944.0582417582417
ncloc_missing,cognitive_complexity,29,0,0,,,,,,,,,,
ncloc_close,technical_debt,406,406,1,0.0024630541871921183,339.35960591133005,94.5,401.0,4671.0,15841.75,34841.3499999998,35804.0,16869.18226600985,17208.54187192118
ncloc_different,technical_debt,171,171,1,0.005847953216374269,539.7426900584795,196.0,374.0,3974.0,5074.5,5988.300000000023,56847.0,10473.461988304094,11013.204678362574
ncloc_identical,technical_debt,911,911,115,0.12623490669593854,29.153677277716795,6.0,40.0,305.0,928.0,2406.1999999999944,3580.0,831.4467618002195,860.6004390779364
ncloc_missing,technical_debt,29,22,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncloc_close,static_analysis_warnings,406,406,0,0.0,219.94827586206895,48.5,128.0,1094.5,1195.5,5445.049999999959,5649.0,2559.832512315271,2779.78078817734
ncloc_different,static_analysis_warnings,171,171,0,0.0,171.35087719298247,62.0,64.0,634.0,1195.0,1999.4000000000046,12308.0,1851.3976608187133,2022.748538011696
ncloc_identical,static_analysis_warnings,911,911,108,0.11855104281009879,2.221734357848518,3.0,9.0,55.0,228.5,683.8999999999968,841.0,141.86059275521404,144.08232711306258
ncloc_missing,static_analysis_warnings,29,29,22,0.7586206896551724,-5774.586206896552,0.0,0.0,22138.999999999985,37722.0,37724.72,37725.0,5774.586206896552,0.0
