target_id,variant,source_group,repo_name,time,path_bucket,component_path,type,paper_count,our_count,diff_our_minus_paper,paper_minus_our,abs_diff
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/crypto.js,CODE_SMELL,0,58,58,-58,58
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/c4Diagram-AUYESYAG.mjs,BUG,0,57,57,-57,57
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/flowDiagram-JTTVBJUY.mjs,BUG,0,57,57,-57,57
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/stl.js,CODE_SMELL,0,56,56,-56,56
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-2RSIMOBZ.mjs,CODE_SMELL,0,53,53,-53,53
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/trends/__mocks__/trendsDataLogicMocks.ts,CODE_SMELL,0,46,46,-46,46
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/typescript/src/__tests__/ip.test.ts,CODE_SMELL,0,43,43,-43,43
2,paper_like,treatment,PostHog/posthog,2025-04,ee,ee/benchmarks/benchmarks.py,CODE_SMELL,0,43,43,-43,43
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/exporter/__mocks__/Exporter.mocks.tsx,CODE_SMELL,0,42,42,-42,42
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-F4773GRL.mjs,BUG,0,41,41,-41,41
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/classDiagram-EPVPYR3L.mjs,CODE_SMELL,0,41,41,-41,41
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/components/HedgehogBuddy/HedgehogBuddy.tsx,CODE_SMELL,0,41,41,-41,41
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/dashboard/dashboardLogic.tsx,CODE_SMELL,0,38,38,-38,38
3,paper_like,treatment,DataDog/integrations-core,2025-01,php_fpm,php_fpm/datadog_checks/php_fpm/vendor/fcgi_app.py,CODE_SMELL,0,37,37,-37,37
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/date.js,CODE_SMELL,0,36,36,-36,36
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/operations.js,CODE_SMELL,0,36,36,-36,36
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/typescript/src/stl/stl.ts,CODE_SMELL,0,36,36,-36,36
