snapshot_key,dataset_source,scope_role,repo_name,time,clone_path,latest_commit_effective,commit_resolution,months_since_observed_commit,python_eligible,scan_status,project_key,project_version,status,ncloc_recovered,git_precheck_status,scanner_log_path,error_message,ncloc_patch_available,ncloc_patch_source
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-01,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,17,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-02,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,18,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-03,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,19,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-04,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,20,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-05,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,21,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-06,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,22,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-07,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,23,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-08,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,24,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-09,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,25,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,control,control,FlipperPA/peregrine,2024-10,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,carried_forward,26,1,success_python,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,dcdecaab9fccbab895f3a369c52046c47162191e,success,1427.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,,True,run-x-a05b-sonarqube-whole-repository
