repo_name,time,metric,our_modified_value,paper_value,diff_our_minus_paper,abs_diff
TextGeneratorio/text-generator.io,2025-01,ncloc,59897.0,62492.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2025-02,ncloc,59903.0,62498.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2025-03,ncloc,59904.0,62499.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2025-04,ncloc,63638.0,66233.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2025-05,ncloc,62463.0,65058.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2025-06,ncloc,61881.0,64476.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2025-07,ncloc,68868.0,71455.0,-2587.0,2587.0
TextGeneratorio/text-generator.io,2025-08,ncloc,70085.0,72672.0,-2587.0,2587.0
getsentry/sentry,2025-08,technical_debt,235680.0,233110.0,2570.0,2570.0
TextGeneratorio/text-generator.io,2024-11,technical_debt,22313.0,19776.0,2537.0,2537.0
TextGeneratorio/text-generator.io,2024-12,technical_debt,22328.0,19796.0,2532.0,2532.0
TextGeneratorio/text-generator.io,2025-01,technical_debt,22432.0,19900.0,2532.0,2532.0
TextGeneratorio/text-generator.io,2025-02,technical_debt,22432.0,19900.0,2532.0,2532.0
TextGeneratorio/text-generator.io,2025-03,technical_debt,22432.0,19900.0,2532.0,2532.0
whiteducksoftware/flock,2025-08,ncloc,33463.0,30948.0,2515.0,2515.0
DataDog/integrations-core,2025-04,ncloc,557287.0,554848.0,2439.0,2439.0
Anemll/Anemll,2025-06,technical_debt,1485.0,3921.0,-2436.0,2436.0
PostHog/posthog,2025-05,technical_debt,79880.0,77447.0,2433.0,2433.0
airweave-ai/airweave,2025-04,technical_debt,5092.0,2664.0,2428.0,2428.0
ethyca/fides,2024-12,technical_debt,13793.0,16186.0,-2393.0,2393.0
ethyca/fides,2024-03,technical_debt,10607.0,12970.0,-2363.0,2363.0
ethyca/fides,2025-01,technical_debt,13927.0,16262.0,-2335.0,2335.0
PostHog/posthog,2025-03,cognitive_complexity,71936.0,69652.0,2284.0,2284.0
airweave-ai/airweave,2025-03,technical_debt,4153.0,1905.0,2248.0,2248.0
getsentry/sentry,2025-02,code_smells,18090.0,15845.0,2245.0,2245.0
ethyca/fides,2024-11,technical_debt,13737.0,15958.0,-2221.0,2221.0
ethyca/fides,2024-10,technical_debt,13675.0,15884.0,-2209.0,2209.0
zauberzeug/nicegui,2024-11,bugs,2276.0,4466.0,-2190.0,2190.0
zauberzeug/nicegui,2024-12,bugs,2278.0,4466.0,-2188.0,2188.0
zauberzeug/nicegui,2025-01,bugs,2278.0,4466.0,-2188.0,2188.0
zauberzeug/nicegui,2025-02,bugs,2278.0,4466.0,-2188.0,2188.0
zauberzeug/nicegui,2025-03,bugs,2278.0,4466.0,-2188.0,2188.0
VirtualFlow/VFVS,2024-01,cognitive_complexity,344.0,2524.0,-2180.0,2180.0
keephq/keep,2024-07,technical_debt,10075.0,7927.0,2148.0,2148.0
keephq/keep,2024-08,technical_debt,10372.0,8255.0,2117.0,2117.0
zauberzeug/nicegui,2025-08,bugs,601.0,2688.0,-2087.0,2087.0
aio-libs/aiohttp,2025-06,technical_debt,2668.0,4754.0,-2086.0,2086.0
zauberzeug/nicegui,2025-05,bugs,602.0,2688.0,-2086.0,2086.0
zauberzeug/nicegui,2025-06,bugs,602.0,2688.0,-2086.0,2086.0
zauberzeug/nicegui,2025-07,bugs,602.0,2688.0,-2086.0,2086.0
aio-libs/aiohttp,2025-05,technical_debt,2581.0,4657.0,-2076.0,2076.0
FMInference/FlexiGen,2024-04,code_smells,6566.0,8641.0,-2075.0,2075.0
FMInference/FlexiGen,2024-09,code_smells,6566.0,8641.0,-2075.0,2075.0
FMInference/FlexiGen,2024-10,code_smells,6568.0,8642.0,-2074.0,2074.0
aio-libs/aiohttp,2024-09,technical_debt,2326.0,4400.0,-2074.0,2074.0
aio-libs/aiohttp,2025-03,technical_debt,2340.0,4407.0,-2067.0,2067.0
ethyca/fides,2024-09,technical_debt,13487.0,15533.0,-2046.0,2046.0
aio-libs/aiohttp,2024-08,technical_debt,2338.0,4360.0,-2022.0,2022.0
yeagerai/genlayer-studio,2025-04,technical_debt,3126.0,1105.0,2021.0,2021.0
aio-libs/aiohttp,2024-11,technical_debt,2375.0,4387.0,-2012.0,2012.0
aio-libs/aiohttp,2024-12,technical_debt,2365.0,4377.0,-2012.0,2012.0
aio-libs/aiohttp,2025-01,technical_debt,2345.0,4357.0,-2012.0,2012.0
aio-libs/aiohttp,2024-02,technical_debt,2361.0,4346.0,-1985.0,1985.0
aio-libs/aiohttp,2024-10,technical_debt,2433.0,4413.0,-1980.0,1980.0
aio-libs/aiohttp,2024-07,technical_debt,2355.0,4326.0,-1971.0,1971.0
aio-libs/aiohttp,2024-04,technical_debt,2359.0,4320.0,-1961.0,1961.0
