repo_name,time,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,issue_comments,age,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,dataset_source,other_agents,high_confidence
Chocksy/qc-options-framework,2024-10,0,2025-03,0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,2,46,14,1,0.0,1.0,0.0,158.0,4645.0,3.0,0.0,857.0,1.7,42.5,1057.0,2674.0,,,,treatment,,
Chocksy/qc-options-framework,2024-11,0,2025-03,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,27,8666,1236,1,1.0,2.0,2.0,189.0,9277.0,3.0,0.0,857.0,2.2,31.0,1132.0,2674.0,,,,treatment,,
Chocksy/qc-options-framework,2024-12,0,2025-03,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,9,316,148,1,0.0,2.0,5.0,219.0,9402.0,2.0,0.0,865.0,2.1,30.9,1173.0,2750.0,,,,treatment,,
Chocksy/qc-options-framework,2025-01,0,2025-03,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,3,73,7,2,0.0,0.0,2.0,250.0,9444.0,2.0,0.0,865.0,2.1,30.9,1173.0,2750.0,,,,treatment,,
Chocksy/qc-options-framework,2025-03,1,2025-03,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,5,6077,1105,1,3.0,0.0,1.0,309.0,9863.0,3.0,0.0,876.0,1.6,30.4,1265.0,2808.0,,,,treatment,True,True
DannyMac180/mirror,2024-12,1,2024-12,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,15,7096,1779,1,8.0,0.0,0.0,226.0,3664.0,0.0,4.0,12.0,0.9,23.3,418.0,107.0,,,,treatment,False,True
DataDog/integrations-core,2024-01,0,2025-03,0,-14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,235,48568,7872,45,10.0,10.0,438.0,2819.0,409667.0,59.0,105.0,1767.0,10.3,11.0,35722.0,16553.0,,,,treatment,,
DataDog/integrations-core,2024-02,0,2025-03,0,-13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,199,44603,13161,51,5.0,7.0,418.0,2850.0,409759.0,59.0,106.0,1732.0,10.2,11.0,35416.0,16226.0,,,,treatment,,
DataDog/integrations-core,2024-03,0,2025-03,0,-12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,220,115076,16734,52,16.0,9.0,473.0,2879.0,434802.0,60.0,121.0,1760.0,10.1,10.5,35723.0,16557.0,,,,treatment,,
DataDog/integrations-core,2024-04,0,2025-03,0,-11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,110,21104,3587,37,10.0,8.0,284.0,2910.0,442042.0,60.0,122.0,1778.0,10.0,10.4,36158.0,16684.0,,,,treatment,,
DataDog/integrations-core,2024-05,0,2025-03,0,-10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,141,29120,3821,45,6.0,6.0,241.0,2940.0,448233.0,61.0,121.0,1786.0,10.1,10.4,36505.0,16764.0,,,,treatment,,
DataDog/integrations-core,2024-06,0,2025-03,0,-9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,155,13412,4653,44,12.0,5.0,369.0,2971.0,450213.0,61.0,121.0,1808.0,10.2,10.3,36448.0,16784.0,,,,treatment,,
DataDog/integrations-core,2024-07,0,2025-03,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,148,108977,6988,53,8.0,5.0,319.0,3001.0,506972.0,61.0,126.0,1824.0,9.4,9.4,36788.0,16902.0,,,,treatment,,
DataDog/integrations-core,2024-08,0,2025-03,0,-7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,209,59996,5918,53,21.0,6.0,385.0,3032.0,511641.0,61.0,127.0,1847.0,9.4,9.3,37159.0,16990.0,,,,treatment,,
DataDog/integrations-core,2024-09,0,2025-03,0,-6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,171,114966,22299,53,10.0,8.0,323.0,3063.0,546415.0,72.0,158.0,1850.0,10.5,8.6,37094.0,17269.0,,,,treatment,,
DataDog/integrations-core,2024-10,0,2025-03,0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,141,100590,78175,55,12.0,13.0,260.0,3093.0,526885.0,72.0,158.0,1805.0,8.5,8.8,37188.0,17092.0,,,,treatment,,
DataDog/integrations-core,2024-11,0,2025-03,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,128,82686,5126,51,9.0,28.0,347.0,3124.0,530805.0,72.0,156.0,1812.0,8.5,8.8,37454.0,17172.0,,,,treatment,,
DataDog/integrations-core,2024-12,0,2025-03,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,111,59478,2322,46,10.0,11.0,277.0,3154.0,546142.0,72.0,157.0,1825.0,8.5,8.7,37682.0,17274.0,,,,treatment,,
DataDog/integrations-core,2025-01,0,2025-03,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,137,73303,6537,41,10.0,5.0,297.0,3185.0,551436.0,72.0,157.0,1829.0,8.6,8.6,37975.0,17288.0,,,,treatment,,
