outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,specification,specification_label,ncloc_column,sample_rows,sample_repositories,estimate_percentage_points,conf_low_percentage_points,conf_high_percentage_points
agc_function_block_ratio,AGC-like Function Block Share,0,-0.00902121069052913,-0.0385977523107721,0.0205553309297139,0.015090072255226,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-0.902121069052913,-3.85977523107721,2.05553309297139
agc_function_block_ratio,AGC-like Function Block Share,1,-0.00977374856140703,-0.0448687838244685,0.0253212867016544,0.0179056302362558,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-0.977374856140703,-4.48687838244685,2.53212867016544
agc_function_block_ratio,AGC-like Function Block Share,2,-0.00625474447205985,-0.0406596149358222,0.0281501259917026,0.0175535053386543,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-0.625474447205984,-4.06596149358222,2.81501259917026
agc_function_block_ratio,AGC-like Function Block Share,3,0.0151806157292896,-0.00569526752863724,0.0360564989872164,0.010650960845881,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,1.51806157292896,-0.569526752863724,3.60564989872164
agc_function_block_ratio,AGC-like Function Block Share,4,-0.00478051342289881,-0.0385741105665665,0.0290130837207689,0.0172416311957488,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-0.478051342289881,-3.85741105665665,2.90130837207689
agc_function_block_ratio,AGC-like Function Block Share,5,0.00197397712938659,-0.0340710420926381,0.0380189963514113,0.0183903159296045,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,0.197397712938659,-3.40710420926381,3.80189963514113
agc_function_block_ratio,AGC-like Function Block Share,6,-0.0126553119182663,-0.0829429753539266,0.057632351517394,0.0358610527732961,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-1.26553119182663,-8.29429753539266,5.7632351517394
agc_function_block_ratio,AGC-like Function Block Share,-6,-0.0111037762335406,-0.0219797094055174,-0.000227843061563912,0.0055489454959065,,TRUE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-1.11037762335406,-2.19797094055174,-0.0227843061563912
agc_function_block_ratio,AGC-like Function Block Share,-5,-0.00733481576283328,-0.0215762527433524,0.0069066212176858,0.00726603927577504,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-0.733481576283328,-2.15762527433524,0.69066212176858
agc_function_block_ratio,AGC-like Function Block Share,-4,-0.0203563551310662,-0.044510978127973,0.00379826786584058,0.0123237872433198,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-2.03563551310662,-4.4510978127973,0.379826786584058
agc_function_block_ratio,AGC-like Function Block Share,-3,-0.0073491169092537,-0.0410172944383287,0.0263190606198213,0.0171776415964669,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-0.73491169092537,-4.10172944383287,2.63190606198213
agc_function_block_ratio,AGC-like Function Block Share,-2,-0.0231493181099923,-0.0449050543543627,-0.00139358186562187,0.0110998654308012,,TRUE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-2.31493181099923,-4.49050543543627,-0.139358186562187
agc_function_block_ratio,AGC-like Function Block Share,0,-0.00982034467341823,-0.0394193012987961,0.0197786119519596,0.0151015084823357,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-0.982034467341823,-3.94193012987961,1.97786119519596
agc_function_block_ratio,AGC-like Function Block Share,1,-0.0108490735582937,-0.045908706656974,0.0242105595403866,0.01788756790749,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-1.08490735582937,-4.5908706656974,2.42105595403866
agc_function_block_ratio,AGC-like Function Block Share,2,-0.00699269871466492,-0.0412927071023721,0.0273073096730423,0.0175000042794424,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-0.699269871466492,-4.12927071023721,2.73073096730423
agc_function_block_ratio,AGC-like Function Block Share,3,0.0142488733355465,-0.00628541238556308,0.0347831590566561,0.0104766763883212,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,1.42488733355465,-0.628541238556308,3.47831590566561
agc_function_block_ratio,AGC-like Function Block Share,4,-0.00591104166687541,-0.0394232021940995,0.0276011188603486,0.0170980410853184,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-0.591104166687542,-3.94232021940995,2.76011188603486
agc_function_block_ratio,AGC-like Function Block Share,5,0.000636465987866419,-0.0322795370418408,0.0335524690175736,0.0167938790967894,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,0.0636465987866419,-3.22795370418408,3.35524690175736
agc_function_block_ratio,AGC-like Function Block Share,6,-0.0166539379357015,-0.0821084201703232,0.0488005442989202,0.033395143997256,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1554,211,-1.66539379357015,-8.21084201703232,4.88005442989202
agc_class_block_ratio,AGC-like Class Block Share,-6,-0.0035415977898365,-0.0188041292183738,0.0117209336387009,0.0077870058308864,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,-0.35415977898365,-1.88041292183738,1.17209336387009
agc_class_block_ratio,AGC-like Class Block Share,-5,0.0042782613552109,-0.0146205391292566,0.0231770618396784,0.0096422451451365,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,0.42782613552109,-1.46205391292566,2.31770618396784
agc_class_block_ratio,AGC-like Class Block Share,-4,0.0177856628149149,-0.0122735462619759,0.0478448718918058,0.015336331161679,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,1.77856628149149,-1.22735462619759,4.78448718918058
agc_class_block_ratio,AGC-like Class Block Share,-3,0.0134742567533444,-0.0200621800737559,0.0470106935804446,0.0171104269526022,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,1.34742567533444,-2.00621800737559,4.70106935804446
agc_class_block_ratio,AGC-like Class Block Share,-2,0.0162146823043445,-0.0120910738432048,0.0445204384518938,0.0144417123201782,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,1.62146823043445,-1.20910738432048,4.45204384518938
