treatment_repo,control_repo,control_rank,matched_period,matching_propensity_score,repo_primary_language,event_month,adoption_month,match_status,month_difference,target_dir,overlap_current_treatment_sample,overlap_full_adopter_population
Elevate-Code/better-voice-typing,loml13yyy/yyGRPU8,2,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,False,False
Elevate-Code/better-voice-typing,HelpingAI/Webscout,3,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,False,False
PiotrCzapla/smart_dictation,loml13yyy/AtlassianConfluence-RCE,1,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PiotrCzapla_smart_dictation,False,False
PiotrCzapla/smart_dictation,loml13yyy/yyGRPU8,2,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PiotrCzapla_smart_dictation,False,False
PiotrCzapla/smart_dictation,HelpingAI/Webscout,3,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PiotrCzapla_smart_dictation,False,False
TheSethRose/Agent-Chat,loml13yyy/AtlassianConfluence-RCE,1,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/TheSethRose_Agent-Chat,False,False
TheSethRose/Agent-Chat,loml13yyy/yyGRPU8,2,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/TheSethRose_Agent-Chat,False,False
TheSethRose/Agent-Chat,HelpingAI/Webscout,3,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/TheSethRose_Agent-Chat,False,False
VRSEN/agency-swarm,PennyLaneAI/catalyst,1,202409,0.3564830619691073,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm,False,False
VRSEN/agency-swarm,TianxingChen/RoboTwin,2,202409,0.3564830619691073,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm,False,False
VRSEN/agency-swarm,kuleshov-group/caduceus,3,202409,0.3564830619691073,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm,False,False
VRSEN/agency-voice-interface,loml13yyy/AtlassianConfluence-RCE,1,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-voice-interface,False,False
VRSEN/agency-voice-interface,loml13yyy/yyGRPU8,2,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-voice-interface,False,False
VRSEN/agency-voice-interface,HelpingAI/Webscout,3,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-voice-interface,False,False
codingforentrepreneurs/Cursor-Django,loml13yyy/AtlassianConfluence-RCE,1,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/codingforentrepreneurs_Cursor-Django,False,False
codingforentrepreneurs/Cursor-Django,loml13yyy/yyGRPU8,2,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/codingforentrepreneurs_Cursor-Django,False,False
codingforentrepreneurs/Cursor-Django,HelpingAI/Webscout,3,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/codingforentrepreneurs_Cursor-Django,False,False
matebenyovszky/healing-agent,loml13yyy/AtlassianConfluence-RCE,1,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/matebenyovszky_healing-agent,False,False
matebenyovszky/healing-agent,loml13yyy/yyGRPU8,2,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/matebenyovszky_healing-agent,False,False
matebenyovszky/healing-agent,HelpingAI/Webscout,3,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/matebenyovszky_healing-agent,False,False
ericmjl/pyds-cli,weizequan/TASHR,1,202410,0.0018159645838836,Python,2024-11,2024-11,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,False,False
ericmjl/pyds-cli,krishpranav/socialosint,2,202410,0.0018159645838836,Python,2024-11,2024-11,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,False,False
ericmjl/pyds-cli,YangDi666/UNIK,3,202410,0.0018159645838836,Python,2024-11,2024-11,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,False,False
namuan/trading-utils,Envious-Data/Env-KB,1,202410,0.0013536758854125,Python,2024-11,2024-11,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/namuan_trading-utils,False,False
namuan/trading-utils,666wcy/ARPT-Bot,2,202410,0.0013536758854125,Python,2024-11,2024-11,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/namuan_trading-utils,False,False
namuan/trading-utils,liangchundong/HGNN-AC,3,202410,0.0013536758854125,Python,2024-11,2024-11,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/namuan_trading-utils,False,False
DannyMac180/mirror,viktoriasemaan/sa-ai-agent,1,202411,0.01989527488105,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,False,False
DannyMac180/mirror,adelatour11/androidtvbackground,2,202411,0.01989527488105,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,False,False
DannyMac180/mirror,Makopolo/megascan_houdini20.0_USD_plugin,3,202411,0.01989527488105,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,False,False
Hankanman/Area-Occupancy-Detection,AkariAsai/ScholarQABench,1,202411,0.0336330253620153,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,False,False
Hankanman/Area-Occupancy-Detection,caffeinedoom/reconthing,2,202411,0.0336330253620153,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,False,False
Hankanman/Area-Occupancy-Detection,vortezwohl/Bhakti,3,202411,0.0336330253620153,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,False,False
OpenMOSS/Language-Model-SAEs,Event-AHU/OpenEvDET,1,202411,0.0322640213864148,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/OpenMOSS_Language-Model-SAEs,False,False
OpenMOSS/Language-Model-SAEs,RobinWu218/ToST,2,202411,0.0322640213864148,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/OpenMOSS_Language-Model-SAEs,False,False
OpenMOSS/Language-Model-SAEs,vonssy/BlockBitsApp-BOT,3,202411,0.0322640213864148,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/OpenMOSS_Language-Model-SAEs,False,False
SlyyCooper/cursorrules-architect,Event-AHU/OpenEvDET,1,202411,0.0322513881792437,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/SlyyCooper_cursorrules-architect,False,False
SlyyCooper/cursorrules-architect,RobinWu218/ToST,2,202411,0.0322513881792437,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/SlyyCooper_cursorrules-architect,False,False
SlyyCooper/cursorrules-architect,vonssy/BlockBitsApp-BOT,3,202411,0.0322513881792437,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/SlyyCooper_cursorrules-architect,False,False
ToolUse/tool-use-ai,Drchip61/Dual_SAM,1,202411,0.0183440752323568,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_tool-use-ai,False,False
ToolUse/tool-use-ai,emresen20/Pau-Bilgisayar-nots,2,202411,0.0183440752323568,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_tool-use-ai,False,False
ToolUse/tool-use-ai,bobokun/actualtap-py,3,202411,0.0183440752323568,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_tool-use-ai,False,False
appl-team/appl,JustinSparrrow/IOOI-EmotionEgg,1,202411,0.0235006275534409,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/appl-team_appl,False,False
appl-team/appl,markmelnic/stealthenium,2,202411,0.0235006275534409,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/appl-team_appl,False,False
appl-team/appl,infected4098/Wave-U-Mamba,3,202411,0.0235006275534409,Python,2024-12,2024-12,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/appl-team_appl,False,False
Kiln-AI/Kiln,PromtEngineer/localGPT,1,202412,0.089550799959486,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Kiln-AI_Kiln,False,False
Kiln-AI/Kiln,daxa-ai/pebblo,2,202412,0.089550799959486,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Kiln-AI_Kiln,False,False
Kiln-AI/Kiln,neuml/rag,3,202412,0.089550799959486,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Kiln-AI_Kiln,False,False
MDGrey33/pyvisionai,ali-bahrainian/RAG_best_practices,1,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/MDGrey33_pyvisionai,False,False
MDGrey33/pyvisionai,MrTimonM/Arichain-Bot,2,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/MDGrey33_pyvisionai,False,False
MDGrey33/pyvisionai,yihozhang/most-influential-pl-papers,3,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/MDGrey33_pyvisionai,False,False
Scrapybara/codecapy,ali-bahrainian/RAG_best_practices,1,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Scrapybara_codecapy,False,False
Scrapybara/codecapy,MrTimonM/Arichain-Bot,2,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Scrapybara_codecapy,False,False
Scrapybara/codecapy,yihozhang/most-influential-pl-papers,3,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Scrapybara_codecapy,False,False
W1ndys/Blog,C4NU/Paddie,1,202412,0.0197464997142619,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/W1ndys_Blog,False,False
W1ndys/Blog,LinJing517/micropython-deauth,2,202412,0.0197464997142619,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/W1ndys_Blog,False,False
W1ndys/Blog,ysj9909/SHViT,3,202412,0.0197464997142619,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/W1ndys_Blog,False,False
WangQrkkk/ThinkingCursor,ali-bahrainian/RAG_best_practices,1,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/WangQrkkk_ThinkingCursor,False,False
WangQrkkk/ThinkingCursor,MrTimonM/Arichain-Bot,2,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/WangQrkkk_ThinkingCursor,False,False
WangQrkkk/ThinkingCursor,yihozhang/most-influential-pl-papers,3,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/WangQrkkk_ThinkingCursor,False,False
daojiAnime/vmq-fastapi,ali-bahrainian/RAG_best_practices,1,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/daojiAnime_vmq-fastapi,False,False
daojiAnime/vmq-fastapi,MrTimonM/Arichain-Bot,2,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/daojiAnime_vmq-fastapi,False,False
daojiAnime/vmq-fastapi,yihozhang/most-influential-pl-papers,3,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/daojiAnime_vmq-fastapi,False,False
gerred/mcp-server-replicate,ali-bahrainian/RAG_best_practices,1,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/gerred_mcp-server-replicate,False,False
gerred/mcp-server-replicate,MrTimonM/Arichain-Bot,2,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/gerred_mcp-server-replicate,False,False
gerred/mcp-server-replicate,yihozhang/most-influential-pl-papers,3,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/gerred_mcp-server-replicate,False,False
martinnormark/neural-mesh-simplification,PromtEngineer/localGPT,1,202412,0.0808511004374137,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/martinnormark_neural-mesh-simplification,False,False
martinnormark/neural-mesh-simplification,daxa-ai/pebblo,2,202412,0.0808511004374137,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/martinnormark_neural-mesh-simplification,False,False
martinnormark/neural-mesh-simplification,neuml/rag,3,202412,0.0808511004374137,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/martinnormark_neural-mesh-simplification,False,False
nextml-code/pytorch-datastream,wasilukm/hoymiles-mqtt,1,202412,0.006074567753907,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/nextml-code_pytorch-datastream,False,False
nextml-code/pytorch-datastream,Cherecho/Triangular-arbitrage,2,202412,0.006074567753907,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/nextml-code_pytorch-datastream,False,False
nextml-code/pytorch-datastream,william-sy/TesyLocal,3,202412,0.006074567753907,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/nextml-code_pytorch-datastream,False,False
sbomify/sbomify,ali-bahrainian/RAG_best_practices,1,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/sbomify_sbomify,False,False
sbomify/sbomify,MrTimonM/Arichain-Bot,2,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/sbomify_sbomify,False,False
sbomify/sbomify,yihozhang/most-influential-pl-papers,3,202412,0.0436832021199089,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/sbomify_sbomify,False,False
smartian1/tgtrader,tusgino/llm-code-reviewer,1,202412,0.0426145775277993,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/smartian1_tgtrader,False,False
smartian1/tgtrader,SEU-ProactiveSecurity-Group/LLM-PD,2,202412,0.0426145775277993,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/smartian1_tgtrader,False,False
smartian1/tgtrader,xnl-h4ck3r/getSubsidiaries,3,202412,0.0426145775277993,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/smartian1_tgtrader,False,False
terryyin/lizard,jrowellfx/lsseq,1,202412,3.942490159100863e-05,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/terryyin_lizard,False,False
terryyin/lizard,monero-project/meta,2,202412,3.942490159100863e-05,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/terryyin_lizard,False,False
terryyin/lizard,yousseb/meld,3,202412,3.942490159100863e-05,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/terryyin_lizard,False,False
Anemll/Anemll,MIT-Emerging-Talent/ET6-edXtras,1,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,False,False
Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,False,False
Anemll/Anemll,ninareyes1/Simple-Digital-Clock,3,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,False,False
Apocrathia/home-assistant-config,jacebrowning/datafiles,1,202501,0.0010122098134752,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,False,False
Apocrathia/home-assistant-config,linuxacademy/content-gitops,2,202501,0.0010122098134752,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,False,False
Apocrathia/home-assistant-config,VirtualFlow/VFVS,3,202501,0.0010122098134752,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,False,False
KroMiose/nekro-agent,xinsir6/ControlNetPlus,1,202501,0.0611294299392948,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/KroMiose_nekro-agent,False,False
KroMiose/nekro-agent,FFY0/AdaKV,2,202501,0.0611294299392948,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/KroMiose_nekro-agent,False,False
KroMiose/nekro-agent,DakeQQ/YOLO-Depth-Estimation-for-Android,3,202501,0.0611294299392948,Python,2025-01,2025-01,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/KroMiose_nekro-agent,False,False
Ody-Z/Trading_Game_Simulator,MIT-Emerging-Talent/ET6-edXtras,1,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Ody-Z_Trading_Game_Simulator,False,False
Ody-Z/Trading_Game_Simulator,LuneMods/KCD2-Blender-Toolkit,2,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Ody-Z_Trading_Game_Simulator,False,False
Ody-Z/Trading_Game_Simulator,ninareyes1/Simple-Digital-Clock,3,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Ody-Z_Trading_Game_Simulator,False,False
PostHog/posthog,NVIDIA/cuEquivariance,1,202501,0.9999999999337106,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PostHog_posthog,False,False
PostHog/posthog,aj47/100x-orchestrator,2,202501,0.9999999999337106,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PostHog_posthog,False,False
PostHog/posthog,golemfoundation/octant,3,202501,0.9999999999337106,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PostHog_posthog,False,False
The-Pocket/PocketFlow,MIT-Emerging-Talent/ET6-edXtras,1,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow,False,False
The-Pocket/PocketFlow,LuneMods/KCD2-Blender-Toolkit,2,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow,False,False
The-Pocket/PocketFlow,ninareyes1/Simple-Digital-Clock,3,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow,False,False
The-Pocket/PocketFlow-Template-Python,MIT-Emerging-Talent/ET6-edXtras,1,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow-Template-Python,False,False
The-Pocket/PocketFlow-Template-Python,LuneMods/KCD2-Blender-Toolkit,2,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow-Template-Python,False,False
The-Pocket/PocketFlow-Template-Python,ninareyes1/Simple-Digital-Clock,3,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow-Template-Python,False,False
ToolUse/infinite-ai-seo,MIT-Emerging-Talent/ET6-edXtras,1,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_infinite-ai-seo,False,False
ToolUse/infinite-ai-seo,LuneMods/KCD2-Blender-Toolkit,2,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_infinite-ai-seo,False,False
ToolUse/infinite-ai-seo,ninareyes1/Simple-Digital-Clock,3,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_infinite-ai-seo,False,False
VRSEN/agency-swarm-memory-demo,MIT-Emerging-Talent/ET6-edXtras,1,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm-memory-demo,False,False
VRSEN/agency-swarm-memory-demo,LuneMods/KCD2-Blender-Toolkit,2,202501,0.0752835910159034,Python,2025-02,2025-02,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm-memory-demo,False,False
