dataset_source,repo_name,repo_dir,candidate_ref,candidate_priority,candidate_tip_commit,candidate_kind,candidate_revision_count,candidate_contains_all_panel_anchors,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,selected,selection_status
control,PennyLaneAI/catalyst,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PennyLaneAI_catalyst,HEAD,1,0b3b7b63315ad2f60b68edcc081a4a2955eafdfb,head,1,1,2283,20,20,20,20,1,perfect_panel_match
control,PhilNad/robot-arm-kinematic-calibration,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PhilNad_robot-arm-kinematic-calibration,HEAD,1,d910f77366885d47af31f1e8940b91a9070a7815,head,1,1,14,4,4,4,4,1,perfect_panel_match
control,PiotrMachowski/Home-Assistant-custom-components-TGE,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PiotrMachowski_Home-Assistant-custom-components-TGE,HEAD,1,1038acd33715c412218d64f4e605d14903ecf42d,head,1,1,20,7,7,7,7,1,perfect_panel_match
control,PromtEngineer/localGPT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PromtEngineer_localGPT,HEAD,1,4d41c7d1713b16b216d8e062e51a5dd88b20b054,head,1,1,340,10,10,10,10,1,perfect_panel_match
control,R0uter/ss.conf-for-surge,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/R0uter_ss.conf-for-surge,HEAD,1,d9469ef5b524d25b6a93c130fad76a5f721b8656,head,1,1,161,1,1,1,1,1,perfect_panel_match
control,Retmon403/cs2_cheats_for_python,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Retmon403_cs2_cheats_for_python,HEAD,1,a5b73bc8014e3bf68867c4fb0a48f2609678349b,head,1,1,102,4,4,4,4,1,perfect_panel_match
control,RobinWu218/ToST,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/RobinWu218_ToST,HEAD,1,071ea98ffc84b4e4eb4f0c1167eae90b2bd11dd9,head,1,1,5,3,3,3,3,1,perfect_panel_match
control,SEU-ProactiveSecurity-Group/LLM-PD,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/SEU-ProactiveSecurity-Group_LLM-PD,HEAD,1,fb34fb8051c2f0b2c1dc05a5cd73d5ebb516846b,head,1,1,4,3,3,3,3,1,perfect_panel_match
control,Simatwa/free-proxies,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,HEAD,1,a2bc15ba827245df521a5405535856f9a31bd1fc,head,1,1,8482,8,8,8,8,1,perfect_panel_match
control,The-WhiteRabbit/dnfm_server,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/The-WhiteRabbit_dnfm_server,HEAD,1,27aef2893d5aafe85066fdc682f9ef1bc5fce2d6,head,1,1,18,1,1,1,1,1,perfect_panel_match
control,TheFocusedCoder/api-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/TheFocusedCoder_api-agent,HEAD,1,f8ffde215c91238ab844dc60531b179d6067a211,head,1,1,41,1,1,1,1,1,perfect_panel_match
control,TianxingChen/RoboTwin,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/TianxingChen_RoboTwin,HEAD,1,8f0222543082deaa21e09a1f5c68e43544cf3309,head,1,1,2,1,1,1,1,1,perfect_panel_match
control,VirtualFlow/VFVS,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/VirtualFlow_VFVS,HEAD,1,1b9eb391aaf36f2d58c1ea8e184e9d5d8c44018d,head,1,1,249,2,2,2,2,1,perfect_panel_match
control,Wang-ML-Lab/unified-continual-learning,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Wang-ML-Lab_unified-continual-learning,HEAD,1,b631651a1bc8e408cbf4d94bb3f4abb494c7b953,head,1,1,7,1,1,1,1,1,perfect_panel_match
control,adelatour11/androidtvbackground,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/adelatour11_androidtvbackground,HEAD,1,027367e5e1e6751c095d410993de2ec96876d52c,head,1,1,205,8,8,8,8,1,perfect_panel_match
control,aio-libs/aiohttp,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aio-libs_aiohttp,HEAD,1,e3774b492a1de9d7a5390f14a7df45548ce04aab,head,1,1,13719,20,20,20,20,1,perfect_panel_match
control,aj47/100x-orchestrator,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aj47_100x-orchestrator,HEAD,1,4fede5d1be8abff710a702ee2ee324e4aa329ba3,head,1,1,345,4,4,4,4,1,perfect_panel_match
control,ali-bahrainian/RAG_best_practices,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ali-bahrainian_RAG_best_practices,HEAD,1,be7e7ac3532da61f47c1931c68b52f647267c608,head,1,1,25,3,3,3,3,1,perfect_panel_match
control,aws-samples/aws-dms-cdc-data-pipeline,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aws-samples_aws-dms-cdc-data-pipeline,HEAD,1,4196a7c2072cee21b71315957f0007c61907d932,head,1,1,71,7,7,7,7,1,perfect_panel_match
control,aws/nova-act,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aws_nova-act,HEAD,1,eb13ab52e043abf0e49c68b030aaf750fa2afe97,head,1,1,114,6,6,6,6,1,perfect_panel_match
