dataset_source,repo_name,month,comparison_status,history_ref,panel_commits,selected_commits,count_delta,month_end_commit,reproduced_latest_commit,selected_count_matches_panel,selected_latest_matches_panel
control,thefatedefeater/V2ray-Config,2025-01,committer_month_count_mismatch,panel_anchor_union,534,539,5,515eecbef7ca8e50b7439d0910bc3a697f0d389c,515eecbef7ca8e50b7439d0910bc3a697f0d389c,0,1
control,thegreenwebfoundation/admin-portal,2024-08,committer_month_count_mismatch,panel_anchor_union,2,1,-1,5a578329f796563dd747a83a2938d4c17d213ea2,2dfa3ea244cc1f5b04b1b0e7643eb4925bac37de,0,0
control,thegreenwebfoundation/admin-portal,2024-09,committer_month_count_mismatch,panel_anchor_union,2,3,1,88fc821580c365bf1525d6979a0516702e80b0ca,88fc821580c365bf1525d6979a0516702e80b0ca,0,1
treatment,DataScienceUIBK/Rankify,2025-02,committer_month_count_mismatch,panel_anchor_union,79,77,-2,5a3d11e41492d15c2bbf8d16217f544f60b5f6cc,03f17aeb6a1a4ff9230f017b017ea7a34fe557c7,0,0
treatment,DataScienceUIBK/Rankify,2025-03,committer_month_count_mismatch,panel_anchor_union,47,49,2,fff4134bd4fd10772e43803fd24c18cb86736b8a,fff4134bd4fd10772e43803fd24c18cb86736b8a,0,1
treatment,Kiln-AI/Kiln,2025-04,committer_month_count_mismatch,panel_anchor_union,108,106,-2,39423a96b59cba8c650cf807d6cfd7472e59ac38,39423a96b59cba8c650cf807d6cfd7472e59ac38,0,1
treatment,Kiln-AI/Kiln,2025-05,committer_month_count_mismatch,panel_anchor_union,180,182,2,2e335295e5b45762838ecebd9a09dcbdb70f3c35,2e335295e5b45762838ecebd9a09dcbdb70f3c35,0,1
treatment,Kiln-AI/Kiln,2025-06,committer_month_count_mismatch,panel_anchor_union,317,172,-145,d1b131ca42c7ebb995731d63754a8829e72f0bd2,1c202005a30b7b5e4b855cf8f0d879e305d9ec73,0,0
treatment,Kiln-AI/Kiln,2025-07,committer_month_count_mismatch,panel_anchor_union,337,240,-97,f829026e6c9b974636554b85ad973b4f074d3c96,f829026e6c9b974636554b85ad973b4f074d3c96,0,1
treatment,Kiln-AI/Kiln,2025-08,committer_month_count_mismatch,panel_anchor_union,415,177,-238,315777c3f26303453773d154dbe9c11533c7615f,315777c3f26303453773d154dbe9c11533c7615f,0,1
treatment,KroMiose/nekro-agent,2024-07,committer_month_count_mismatch,panel_anchor_union,7,5,-2,348a85df3e501954ecc2b43aef91a30f841ed680,ba38a08a6edc9555449e2dd7e6cc06e06f9cd092,0,0
treatment,KroMiose/nekro-agent,2024-08,committer_month_count_mismatch,panel_anchor_union,35,37,2,2e099e67991eb9c4bab9506c7ec34b0f1c3cb8ea,2e099e67991eb9c4bab9506c7ec34b0f1c3cb8ea,0,1
treatment,KroMiose/nekro-agent,2025-02,committer_month_count_mismatch,panel_anchor_union,119,118,-1,5a8b6c1815b940ab9821be0682b8117b71fc50fe,19774e7d3ae1fdc574eabfc8f87a92a302a7c252,0,0
treatment,KroMiose/nekro-agent,2025-03,committer_month_count_mismatch,panel_anchor_union,14,15,1,d0c8b4743f456b9fabef664d3b5942e2ea77fb75,d0c8b4743f456b9fabef664d3b5942e2ea77fb75,0,1
treatment,KroMiose/nekro-agent,2025-04,committer_month_count_mismatch,panel_anchor_union,67,66,-1,c628a8a9fff13795c163ef97cda5b6a3144b2062,7121dab877f9d2c2c478fd3543e2c6fd1e2cd73a,0,0
treatment,KroMiose/nekro-agent,2025-05,committer_month_count_mismatch,panel_anchor_union,47,48,1,042d1ff54c527988693b2f18eb6d42c1224d4d16,042d1ff54c527988693b2f18eb6d42c1224d4d16,0,1
treatment,LearningCircuit/local-deep-research,2025-02,committer_month_count_mismatch,refs/remotes/origin/fix/cross-engine-filter-json-parsing,58,56,-2,fd04ea7956044131903c5d9917c7b64fe285d878,1d010370e538792f8297c31565532fe03c37d2df,0,0
treatment,LearningCircuit/local-deep-research,2025-03,committer_month_count_mismatch,refs/remotes/origin/fix/cross-engine-filter-json-parsing,377,378,1,534b12017b9b8db8d6831f3dbd4d4588ddbffe86,45d74c614366d23b969020e46a4ec9354146f926,0,0
treatment,LearningCircuit/local-deep-research,2025-04,committer_month_count_mismatch,refs/remotes/origin/fix/cross-engine-filter-json-parsing,225,224,-1,3c52fac5a154ac340d8e9bc9180fd916540d070b,13000b7d597b955032acdee5ff7309250faf2214,0,0
