dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ast_sequence_token_band_set,ast_sequence_token_band_width,analysis_design_status
control,NVIDIA/cuEquivariance,2024-11,4,3,3,702,91,,0,0,,0,3.0,3.0,True,both,control,control,0,0,4,105,0.0,10362.0,12427,2,114.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341005,4.663439094112067,0.0,1.0986122886681096,4.74493212836325,2.3978952727983707,1,1,1,1,0,NVIDIA/cuEquivariance,2024-11,60,28,32,1,0,0.4666666666666667,4.110873864173311,3.3672958299864737,3.4965075614664802,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NVIDIA/cuEquivariance,2024-12,8,7,7,244,65,,0,0,,0,7.0,7.0,True,both,control,control,0,0,8,3217,12.0,10997.0,13195,2,28.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.197224577336219,8.076515327552329,2.5649493574615367,1.0986122886681096,3.3672958299864737,2.6390573296152584,1,1,1,1,0,NVIDIA/cuEquivariance,2024-12,13,9,4,1,0,0.6923076923076923,2.6390573296152584,2.3025850929940455,1.6094379124341003,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NVIDIA/cuEquivariance,2025-01,17,13,11,112,32,,0,0,,0,11.0,11.0,True,both,control,control,0,0,17,1818,43.0,11414.0,13621,2,24.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.8903717578961645,7.506042178518122,3.784189633918261,1.0986122886681096,3.218875824868201,1.3862943611198906,1,1,1,1,0,NVIDIA/cuEquivariance,2025-01,4,1,3,1,0,0.25,1.6094379124341003,0.6931471805599453,1.3862943611198906,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NVIDIA/cuEquivariance,2025-02,16,8,7,86,20,,0,0,,0,7.0,7.0,True,both,control,control,0,0,16,1780,74.0,11515.0,13774,1,12.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.833213344056216,7.484930283289661,4.31748811353631,0.6931471805599453,2.5649493574615367,0.6931471805599453,1,1,1,1,0,NVIDIA/cuEquivariance,2025-02,6,3,3,1,0,0.5,1.9459101490553132,1.3862943611198906,1.3862943611198906,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NVIDIA/cuEquivariance,2025-03,10,1,1,324,51,,0,0,,0,1.0,1.0,True,both,control,control,0,0,10,3870,102.0,11515.0,13774,2,13.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3978952727983707,8.261268150577648,4.634728988229636,1.0986122886681096,2.6390573296152584,1.6094379124341005,1,1,1,1,0,NVIDIA/cuEquivariance,2025-03,26,14,12,1,0,0.5384615384615384,3.295836866004329,2.70805020110221,2.5649493574615367,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NVIDIA/cuEquivariance,2025-04,11,10,10,193,27,,0,0,,0,10.0,10.0,True,both,control,control,0,0,13,3087,133.0,13960.0,16748,2,8.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.6390573296152584,8.035278911144667,4.897839799950911,1.0986122886681096,2.197224577336219,1.3862943611198906,1,1,1,1,0,NVIDIA/cuEquivariance,2025-04,17,15,2,1,0,0.8823529411764706,2.8903717578961645,2.772588722239781,1.0986122886681096,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NVIDIA/cuEquivariance,2025-05,3,2,2,25,8,,0,0,,0,2.0,2.0,True,both,control,control,0,0,3,945,163.0,14619.0,17478,1,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3862943611198906,6.852242569051878,5.099866427824198,0.6931471805599453,1.6094379124341005,1.3862943611198906,1,1,0,0,0,NVIDIA/cuEquivariance,2025-05,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NVIDIA/cuEquivariance,2025-06,3,2,2,6,5,,0,0,,0,2.0,2.0,True,both,control,control,0,0,3,372,194.0,14698.0,17698,2,23.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3862943611198906,5.921578419643815,5.272999558563747,1.0986122886681096,3.1780538303479453,1.6094379124341005,1,1,0,0,0,NVIDIA/cuEquivariance,2025-06,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NVIDIA/cuEquivariance,2025-07,14,13,13,260,58,,0,0,,0,13.0,13.0,True,both,control,control,0,0,14,8737,224.0,19156.0,22661,2,14.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.70805020110221,9.075436609511382,5.41610040220442,1.0986122886681096,2.70805020110221,2.079441541679836,1,1,1,1,0,NVIDIA/cuEquivariance,2025-07,7,4,3,1,0,0.5714285714285714,2.0794415416798357,1.6094379124341003,1.3862943611198906,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NVIDIA/cuEquivariance,2025-08,13,8,8,87,27,,0,0,,0,8.0,8.0,True,both,control,control,0,0,13,2722,255.0,19894.0,23586,3,11.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.6390573296152584,7.909489492673759,5.545177444479562,1.3862943611198906,2.4849066497880004,2.302585092994045,1,1,1,1,0,NVIDIA/cuEquivariance,2025-08,3,1,2,1,0,0.3333333333333333,1.3862943611198906,0.6931471805599453,1.0986122886681096,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
