dataset_source,repo_name,candidate_ref,timezone_mode,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,total_absolute_count_delta,perfect_panel_match
treatment,OpenSPP/openspp-modules,refs/remotes/origin/area-import-improvements,original_local,3981,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,refs/remotes/origin/audit-logs-enhancements,america_chicago,3962,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,refs/remotes/origin/audit-logs-enhancements,original_local,3962,20,20,20,20,0,1
treatment,OpenSPP/openspp-modules,HEAD,commit_embedded_offset,3972,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,HEAD,utc,3972,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/17.0,commit_embedded_offset,3972,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/17.0,utc,3972,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/386-modify-module-openspp-programs,commit_embedded_offset,3952,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/386-modify-module-openspp-programs,utc,3952,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/archiving-fix,commit_embedded_offset,3972,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/archiving-fix,utc,3972,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/area-import-improvements,commit_embedded_offset,3981,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/area-import-improvements,utc,3981,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/audit-logs-enhancements,commit_embedded_offset,3962,20,12,15,12,42,0
treatment,OpenSPP/openspp-modules,refs/remotes/origin/audit-logs-enhancements,utc,3962,20,12,15,12,42,0
treatment,airweave-ai/airweave,HEAD,america_chicago,4775,9,9,9,9,0,1
treatment,airweave-ai/airweave,HEAD,original_local,4775,9,9,9,9,0,1
treatment,airweave-ai/airweave,refs/remotes/origin/anand-frontend-v2,america_chicago,3261,9,9,9,9,0,1
treatment,airweave-ai/airweave,refs/remotes/origin/anand-frontend-v2,original_local,3261,9,9,9,9,0,1
treatment,airweave-ai/airweave,refs/remotes/origin/anand/ENG-1318-connect-api,america_chicago,3480,9,9,9,9,0,1
treatment,airweave-ai/airweave,refs/remotes/origin/anand/ENG-1318-connect-api,original_local,3480,9,9,9,9,0,1
treatment,airweave-ai/airweave,refs/remotes/origin/anand/prompts,america_chicago,3106,9,9,9,9,0,1
treatment,airweave-ai/airweave,refs/remotes/origin/anand/prompts,original_local,3106,9,9,9,9,0,1
treatment,airweave-ai/airweave,refs/remotes/origin/main,america_chicago,4775,9,9,9,9,0,1
treatment,airweave-ai/airweave,refs/remotes/origin/main,original_local,4775,9,9,9,9,0,1
treatment,airweave-ai/airweave,refs/remotes/origin/feat/process-batching,america_chicago,1720,9,8,9,8,7,0
treatment,airweave-ai/airweave,refs/remotes/origin/feat/process-batching,original_local,1720,9,8,9,8,7,0
