dataset_source,repo_name,time,treatment_group,active_treatment,is_treatment,event,post_event,time_to_event,treatment_period,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,audited_commit_pairs,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,unique_blob_revisions_attempted,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,unique_excluded_blob_revisions,commit_pairs_with_parse_exclusions,has_parse_exclusion,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
control,BalancerMaxis/multisig-ops,2025-07,0,0,0,,0,,control,336,230,18,14,18,15,33,33,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2025-08,0,0,0,,0,,control,450,363,58,47,58,55,113,93,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,Benzauber/convert-commander,2024-11,0,0,0,,0,,control,16,16,3,1,3,0,3,3,0,0,0,0,0,0,0.0,0.0,,0.0,0.0
control,Benzauber/convert-commander,2024-12,0,0,0,,0,,control,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Benzauber/convert-commander,2025-01,0,0,0,,0,,control,3,3,5,1,5,3,8,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,Benzauber/convert-commander,2025-03,0,0,0,,0,,control,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Benzauber/convert-commander,2025-05,0,0,0,,0,,control,5,5,4,2,4,4,8,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,Benzauber/convert-commander,2025-06,0,0,0,,0,,control,3,2,2,1,2,2,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,Benzauber/convert-commander,2025-07,0,0,0,,0,,control,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Benzauber/convert-commander,2025-08,0,0,0,,0,,control,3,3,2,2,2,1,3,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BiancoChiu/iOSRealRun-cli-18,2024-02,0,0,0,,0,,control,14,14,15,5,15,6,21,21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BiancoChiu/iOSRealRun-cli-18,2024-03,0,0,0,,0,,control,3,3,1,1,1,1,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BiancoChiu/iOSRealRun-cli-18,2025-02,0,0,0,,0,,control,6,6,8,4,8,8,16,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BiancoChiu/iOSRealRun-cli-18,2025-03,0,0,0,,0,,control,3,3,3,1,3,3,6,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BiancoChiu/iOSRealRun-cli-18,2025-05,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,BiancoChiu/iOSRealRun-cli-18,2025-06,0,0,0,,0,,control,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,C4NU/Paddie,2024-01,0,0,0,,0,,control,7,6,13,6,13,13,26,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,C4NU/Paddie,2024-02,0,0,0,,0,,control,5,5,5,5,5,5,10,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,C4NU/Paddie,2024-03,0,0,0,,0,,control,5,5,9,5,9,9,18,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,C4NU/Paddie,2024-04,0,0,0,,0,,control,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
control,C4NU/Paddie,2025-03,0,0,0,,0,,control,30,26,69,13,69,42,111,96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-05,0,0,0,,0,,control,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-06,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-07,0,0,0,,0,,control,73,73,53,25,53,22,75,71,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-08,0,0,0,,0,,control,12,12,20,10,20,7,27,26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-09,0,0,0,,0,,control,15,15,40,10,40,5,45,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-10,0,0,0,,0,,control,210,210,53,40,53,37,90,88,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-11,0,0,0,,0,,control,31,31,3,3,3,3,6,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-12,0,0,0,,0,,control,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-01,0,0,0,,0,,control,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-02,0,0,0,,0,,control,32,32,19,19,19,19,38,37,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-03,0,0,0,,0,,control,63,63,39,9,39,5,44,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-04,0,0,0,,0,,control,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-05,0,0,0,,0,,control,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-08,0,0,0,,0,,control,56,56,12,5,12,4,16,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,Drchip61/Dual_SAM,2024-03,0,0,0,,0,,control,27,27,28,1,28,0,28,28,1,1,0,1,1,1,0.037037037037037035,0.03571428571428571,,0.03571428571428571,0.03571428571428571
control,Drchip61/Dual_SAM,2024-04,0,0,0,,0,,control,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Drchip61/Dual_SAM,2024-12,0,0,0,,0,,control,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,EURAC-EEBgroup/brick-llm,2024-09,0,0,0,,0,,control,2,2,11,1,11,0,11,11,0,0,0,0,0,0,0.0,0.0,,0.0,0.0
control,EURAC-EEBgroup/brick-llm,2024-10,0,0,0,,0,,control,54,49,168,32,168,144,312,277,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,EURAC-EEBgroup/brick-llm,2024-11,0,0,0,,0,,control,46,40,27,7,27,24,51,48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,EURAC-EEBgroup/brick-llm,2024-12,0,0,0,,0,,control,7,7,23,7,23,22,45,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,EURAC-EEBgroup/brick-llm,2025-01,0,0,0,,0,,control,8,6,12,1,12,12,24,24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,EURAC-EEBgroup/brick-llm,2025-03,0,0,0,,0,,control,2,2,19,1,19,17,36,36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,EURAC-EEBgroup/brick-llm,2025-05,0,0,0,,0,,control,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
control,Envious-Data/Env-KB,2024-04,0,0,0,,0,,control,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2024-06,0,0,0,,0,,control,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2024-07,0,0,0,,0,,control,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2024-08,0,0,0,,0,,control,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2024-09,0,0,0,,0,,control,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2024-11,0,0,0,,0,,control,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2024-12,0,0,0,,0,,control,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2025-01,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2025-02,0,0,0,,0,,control,45,45,112,3,112,0,112,112,0,0,0,0,0,0,0.0,0.0,,0.0,0.0
control,Event-AHU/OpenEvDET,2025-03,0,0,0,,0,,control,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2025-04,0,0,0,,0,,control,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2025-05,0,0,0,,0,,control,36,36,61,2,61,0,61,61,0,0,0,0,0,0,0.0,0.0,,0.0,0.0
control,Event-AHU/OpenEvDET,2025-07,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Event-AHU/OpenEvDET,2025-08,0,0,0,,0,,control,3,3,1,1,1,1,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FFY0/AdaKV,2024-06,0,0,0,,0,,control,1,1,7,1,7,0,7,7,0,0,0,0,0,0,0.0,0.0,,0.0,0.0
control,FFY0/AdaKV,2024-07,0,0,0,,0,,control,2,2,6,2,6,5,11,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FFY0/AdaKV,2024-08,0,0,0,,0,,control,6,6,11,2,11,6,17,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FFY0/AdaKV,2024-11,0,0,0,,0,,control,9,8,10,3,10,9,19,18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FFY0/AdaKV,2024-12,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,FFY0/AdaKV,2025-01,0,0,0,,0,,control,1,1,9,1,9,7,16,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FFY0/AdaKV,2025-06,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,FMInference/FlexiGen,2024-04,0,0,0,,0,,control,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,,0.0,0.0
control,FMInference/FlexiGen,2024-09,0,0,0,,0,,control,2,2,1,1,1,1,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FMInference/FlexiGen,2024-10,0,0,0,,0,,control,3,3,29,3,29,29,58,56,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FaceAdapter/Face-Adapter,2024-05,0,0,0,,0,,control,24,22,14,5,14,4,18,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FlipperPA/peregrine,2024-12,0,0,0,,0,,control,2,1,1,1,1,1,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FolhaSP/mosaico,2024-11,0,0,0,,0,,control,34,29,139,11,139,32,171,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FolhaSP/mosaico,2024-12,0,0,0,,0,,control,4,4,3,1,3,2,5,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FolhaSP/mosaico,2025-01,0,0,0,,0,,control,11,11,19,6,19,17,36,36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FolhaSP/mosaico,2025-02,0,0,0,,0,,control,20,20,63,15,63,59,122,118,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FolhaSP/mosaico,2025-03,0,0,0,,0,,control,19,19,38,11,38,23,61,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FolhaSP/mosaico,2025-05,0,0,0,,0,,control,6,6,7,4,7,7,14,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,FolhaSP/mosaico,2025-07,0,0,0,,0,,control,7,7,15,4,15,13,28,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,GispoCoding/qgis-venv-creator,2024-02,0,0,0,,0,,control,21,21,14,8,14,4,18,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,GispoCoding/qgis-venv-creator,2024-03,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-09,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-10,0,0,0,,0,,control,47,46,17,9,17,13,30,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-11,0,0,0,,0,,control,40,22,9,9,9,8,17,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2025-03,0,0,0,,0,,control,8,7,2,1,2,2,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2024-02,0,0,0,,0,,control,17,17,30,12,30,16,46,38,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2024-03,0,0,0,,0,,control,35,34,88,21,88,66,154,140,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2024-04,0,0,0,,0,,control,53,51,126,29,126,102,228,183,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2024-05,0,0,0,,0,,control,48,44,177,36,177,138,315,262,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2024-06,0,0,0,,0,,control,28,28,152,26,152,82,234,198,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2024-07,0,0,0,,0,,control,25,25,80,25,80,64,144,128,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2024-08,0,0,0,,0,,control,26,25,195,23,195,143,338,311,4,2,2,2,4,1,0.16,0.010256410256410256,0.013986013986013986,0.011834319526627219,0.006430868167202572
control,HelpingAI/Webscout,2024-09,0,0,0,,0,,control,11,11,107,8,107,75,182,172,2,1,1,2,2,1,0.18181818181818182,0.009345794392523364,0.013333333333333334,0.01098901098901099,0.011627906976744186
control,HelpingAI/Webscout,2024-10,0,0,0,,0,,control,5,5,97,5,97,83,180,160,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2024-11,0,0,0,,0,,control,7,6,24,3,24,20,44,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2024-12,0,0,0,,0,,control,48,41,237,39,237,133,370,352,2,1,1,1,2,1,0.04878048780487805,0.004219409282700422,0.007518796992481203,0.005405405405405406,0.002840909090909091
control,HelpingAI/Webscout,2025-01,0,0,0,,0,,control,8,7,46,7,46,40,86,86,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2025-02,0,0,0,,0,,control,63,54,166,54,166,137,303,287,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2025-03,0,0,0,,0,,control,124,114,407,107,407,344,751,715,3,2,1,3,3,1,0.02631578947368421,0.004914004914004914,0.0029069767441860465,0.0039946737683089215,0.004195804195804196
control,HelpingAI/Webscout,2025-04,0,0,0,,0,,control,124,122,429,114,429,340,769,723,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2025-05,0,0,0,,0,,control,150,134,550,123,550,481,1031,979,8,4,4,8,6,1,0.04477611940298507,0.007272727272727273,0.008316008316008316,0.007759456838021339,0.008171603677221655
control,HelpingAI/Webscout,2025-06,0,0,0,,0,,control,90,86,259,83,259,216,475,451,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2025-07,0,0,0,,0,,control,29,29,96,25,96,89,185,179,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,HelpingAI/Webscout,2025-08,0,0,0,,0,,control,41,39,81,36,81,76,157,149,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,IBM/mt-rag-benchmark,2024-12,0,0,0,,0,,control,3,3,1,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,,0.0,0.0
control,IBM/mt-rag-benchmark,2025-01,0,0,0,,0,,control,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,IBM/mt-rag-benchmark,2025-04,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,ITSpecialist111/ai_automation_suggester,2024-10,0,0,0,,0,,control,79,77,51,20,51,40,91,81,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,ITSpecialist111/ai_automation_suggester,2024-11,0,0,0,,0,,control,18,16,22,10,22,21,43,34,2,1,1,1,2,1,0.125,0.045454545454545456,0.047619047619047616,0.046511627906976744,0.029411764705882353
control,ITSpecialist111/ai_automation_suggester,2024-12,0,0,0,,0,,control,3,2,4,2,4,4,8,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,ITSpecialist111/ai_automation_suggester,2025-01,0,0,0,,0,,control,3,3,2,1,2,2,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,ITSpecialist111/ai_automation_suggester,2025-02,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,ITSpecialist111/ai_automation_suggester,2025-03,0,0,0,,0,,control,7,6,15,6,15,15,30,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,ITSpecialist111/ai_automation_suggester,2025-04,0,0,0,,0,,control,23,18,17,9,17,15,32,27,4,2,2,2,2,1,0.1111111111111111,0.11764705882352941,0.13333333333333333,0.125,0.07407407407407407
control,ITSpecialist111/ai_automation_suggester,2025-05,0,0,0,,0,,control,25,16,19,11,19,18,37,35,2,1,1,2,2,1,0.125,0.05263157894736842,0.05555555555555555,0.05405405405405406,0.05714285714285714
control,ITSpecialist111/ai_automation_suggester,2025-06,0,0,0,,0,,control,25,22,32,18,32,31,63,53,2,1,1,1,2,1,0.09090909090909091,0.03125,0.03225806451612903,0.031746031746031744,0.018867924528301886
control,Jieqianyu/SGN,2024-01,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Jieqianyu/SGN,2024-09,0,0,0,,0,,control,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,JustinSparrrow/IOOI-EmotionEgg,2025-03,0,0,0,,0,,control,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,JustinSparrrow/IOOI-EmotionEgg,2025-04,0,0,0,,0,,control,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,LGro/PyAPSI,2024-04,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,LuneMods/KCD2-Blender-Toolkit,2025-02,0,0,0,,0,,control,18,16,29,5,29,10,39,36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,LuneMods/KCD2-Blender-Toolkit,2025-03,0,0,0,,0,,control,18,17,23,11,23,22,45,41,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,MIT-Emerging-Talent/ET6-edXtras,2025-02,0,0,0,,0,,control,10,8,273,8,273,132,405,377,2,2,0,2,2,1,0.25,0.007326007326007326,0.0,0.0049382716049382715,0.005305039787798408
control,MIT-Emerging-Talent/ET6-edXtras,2025-03,0,0,0,,0,,control,16,14,223,8,223,171,394,393,1,1,0,1,1,1,0.07142857142857142,0.004484304932735426,0.0,0.0025380710659898475,0.002544529262086514
control,MIT-Emerging-Talent/ET6-edXtras,2025-04,0,0,0,,0,,control,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,Makopolo/megascan_houdini20.0_USD_plugin,2024-04,0,0,0,,0,,control,24,24,50,12,50,3,53,51,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,Makopolo/megascan_houdini20.0_USD_plugin,2024-06,0,0,0,,0,,control,5,5,4,4,4,4,8,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,Makopolo/megascan_houdini20.0_USD_plugin,2024-07,0,0,0,,0,,control,2,2,2,2,2,2,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,MalevichAI/malevich,2024-01,0,0,0,,0,,control,100,80,253,46,253,190,443,423,5,3,2,5,3,1,0.0375,0.011857707509881422,0.010526315789473684,0.011286681715575621,0.01182033096926714
