repo_name,status,target_dir,note,status_norm
djeada/Kurs-Podstaw-Pythona,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/djeada_Kurs-Podstaw-Pythona,already_has_git_dir,skipped_existing
dottxt-ai/prompts,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dottxt-ai_prompts,already_has_git_dir,skipped_existing
dromara/domain-admin,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dromara_domain-admin,already_has_git_dir,skipped_existing
dymmond/edgy,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dymmond_edgy,already_has_git_dir,skipped_existing
emresen20/Pau-Bilgisayar-nots,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/emresen20_Pau-Bilgisayar-nots,already_has_git_dir,skipped_existing
ergrelet/unlicense,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ergrelet_unlicense,already_has_git_dir,skipped_existing
evermoving/SystemCaptioner,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/evermoving_SystemCaptioner,already_has_git_dir,skipped_existing
golemfoundation/octant,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/golemfoundation_octant,already_has_git_dir,skipped_existing
harvard-edge/QuaRL,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/harvard-edge_QuaRL,already_has_git_dir,skipped_existing
infected4098/Wave-U-Mamba,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/infected4098_Wave-U-Mamba,already_has_git_dir,skipped_existing
itsKayWat/MindfulShift-2025,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/itsKayWat_MindfulShift-2025,already_has_git_dir,skipped_existing
jacebrowning/datafiles,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jacebrowning_datafiles,already_has_git_dir,skipped_existing
jfcrenshaw/pzflow,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jfcrenshaw_pzflow,already_has_git_dir,skipped_existing
jgwak/GSDN,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jgwak_GSDN,already_has_git_dir,skipped_existing
jinli99/iShapEditing,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jinli99_iShapEditing,already_has_git_dir,skipped_existing
joereynolds/reap-get,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/joereynolds_reap-get,already_has_git_dir,skipped_existing
jrowellfx/lsseq,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jrowellfx_lsseq,already_has_git_dir,skipped_existing
jyjblrd/SelfDrivingCar,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jyjblrd_SelfDrivingCar,already_has_git_dir,skipped_existing
kangtegong/pyftrace,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/kangtegong_pyftrace,already_has_git_dir,skipped_existing
krishpranav/socialosint,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/krishpranav_socialosint,already_has_git_dir,skipped_existing
kuleshov-group/caduceus,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/kuleshov-group_caduceus,already_has_git_dir,skipped_existing
lancedb/lancedb,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/lancedb_lancedb,already_has_git_dir,skipped_existing
liangchundong/HGNN-AC,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/liangchundong_HGNN-AC,already_has_git_dir,skipped_existing
linuxacademy/content-gitops,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/linuxacademy_content-gitops,already_has_git_dir,skipped_existing
loml13yyy/AtlassianConfluence-RCE,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_AtlassianConfluence-RCE,already_has_git_dir,skipped_existing
loml13yyy/yyGRPU8,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_yyGRPU8,already_has_git_dir,skipped_existing
markmelnic/stealthenium,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/markmelnic_stealthenium,already_has_git_dir,skipped_existing
microsoft/AzureTRE,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_AzureTRE,already_has_git_dir,skipped_existing
microsoft/semantic-link-labs,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_semantic-link-labs,already_has_git_dir,skipped_existing
monero-project/meta,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/monero-project_meta,already_has_git_dir,skipped_existing
neuml/rag,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/neuml_rag,already_has_git_dir,skipped_existing
nhw649/EOV-Seg,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/nhw649_EOV-Seg,already_has_git_dir,skipped_existing
ninareyes1/Simple-Digital-Clock,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ninareyes1_Simple-Digital-Clock,already_has_git_dir,skipped_existing
odoo/industry,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/odoo_industry,already_has_git_dir,skipped_existing
omkarcloud/amazon-scraper,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/omkarcloud_amazon-scraper,already_has_git_dir,skipped_existing
oval-group/smooth-topk,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/oval-group_smooth-topk,already_has_git_dir,skipped_existing
peter279k/cdc-data-mirror,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/peter279k_cdc-data-mirror,already_has_git_dir,skipped_existing
pieces-app/cli-agent,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,already_has_git_dir,skipped_existing
plurai-ai/intellagent,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/plurai-ai_intellagent,already_has_git_dir,skipped_existing
popey/sbommage,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/popey_sbommage,already_has_git_dir,skipped_existing
qiboteam/qibojit,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/qiboteam_qibojit,already_has_git_dir,skipped_existing
ruiqini/NTFields,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ruiqini_NTFields,already_has_git_dir,skipped_existing
sakomws/ai-workshop,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/sakomws_ai-workshop,already_has_git_dir,skipped_existing
saucer-man/qq_msg_decode,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/saucer-man_qq_msg_decode,already_has_git_dir,skipped_existing
slopp/30_days_of_dagster,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/slopp_30_days_of_dagster,already_has_git_dir,skipped_existing
snowzjx/ns3-load-balance,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/snowzjx_ns3-load-balance,already_has_git_dir,skipped_existing
stakewise/v3-operator,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/stakewise_v3-operator,already_has_git_dir,skipped_existing
surajt97/Train_Delay_Prediction,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/surajt97_Train_Delay_Prediction,already_has_git_dir,skipped_existing
taylorwilsdon/open-webui-tools,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/taylorwilsdon_open-webui-tools,already_has_git_dir,skipped_existing
thefatedefeater/V2ray-Config,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/thefatedefeater_V2ray-Config,already_has_git_dir,skipped_existing
thegreenwebfoundation/admin-portal,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/thegreenwebfoundation_admin-portal,already_has_git_dir,skipped_existing
tranceitionalMynd/spy-reaper,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/tranceitionalMynd_spy-reaper,already_has_git_dir,skipped_existing
tusgino/llm-code-reviewer,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/tusgino_llm-code-reviewer,already_has_git_dir,skipped_existing
viktoriasemaan/sa-ai-agent,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/viktoriasemaan_sa-ai-agent,already_has_git_dir,skipped_existing
vonssy/BlockBitsApp-BOT,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_BlockBitsApp-BOT,already_has_git_dir,skipped_existing
vonssy/DreamerQuests-BOT,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_DreamerQuests-BOT,already_has_git_dir,skipped_existing
vortezwohl/Bhakti,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vortezwohl_Bhakti,already_has_git_dir,skipped_existing
wasilukm/hoymiles-mqtt,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/wasilukm_hoymiles-mqtt,already_has_git_dir,skipped_existing
weaviate/t2v-transformers-models,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/weaviate_t2v-transformers-models,already_has_git_dir,skipped_existing
weizequan/TASHR,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/weizequan_TASHR,already_has_git_dir,skipped_existing
william-sy/TesyLocal,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/william-sy_TesyLocal,already_has_git_dir,skipped_existing
xinsir6/ControlNetPlus,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/xinsir6_ControlNetPlus,already_has_git_dir,skipped_existing
xnl-h4ck3r/getSubsidiaries,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/xnl-h4ck3r_getSubsidiaries,already_has_git_dir,skipped_existing
yihozhang/most-influential-pl-papers,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/yihozhang_most-influential-pl-papers,already_has_git_dir,skipped_existing
yoongi43/music_audio_enhancement_conformer,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/yoongi43_music_audio_enhancement_conformer,already_has_git_dir,skipped_existing
yousseb/meld,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/yousseb_meld,already_has_git_dir,skipped_existing
ysj9909/SHViT,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ysj9909_SHViT,already_has_git_dir,skipped_existing
zeyangsha/De-Fake,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zeyangsha_De-Fake,already_has_git_dir,skipped_existing
zhang-xr/FirmLLM,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zhang-xr_FirmLLM,already_has_git_dir,skipped_existing
zhipeixu/FakeShield,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zhipeixu_FakeShield,already_has_git_dir,skipped_existing
zhou19830318/xiaozhi_micropython,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zhou19830318_xiaozhi_micropython,already_has_git_dir,skipped_existing
zju3dv/ready_to_react,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zju3dv_ready_to_react,already_has_git_dir,skipped_existing
