repo_name,time,dataset_source,ever_treated,is_treatment,is_treatment_dynamic,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,matched_as_control,matched_treatment_repos,match_ranks,matched_periods,sonarqube_latest_commit,ncloc_raw,bugs_raw,vulnerabilities_raw,code_smells_raw,duplicated_lines_density_raw,comment_lines_density_raw,cognitive_complexity_raw,technical_debt_raw,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,static_analysis_warnings,duplicate_line_density,code_complexity,warnings_per_kloc,complexity_per_kloc,code_smells_per_kloc,sonarqube_any_raw_metric_missing,sonarqube_all_raw_metrics_missing,sonarqube_ncloc_zero,sonarqube_static_warnings_missing,sonarqube_duplicate_density_missing,sonarqube_cognitive_complexity_missing,sonarqube_quality_outcomes_complete,log_static_analysis_warnings,log_code_complexity,log_technical_debt,log_ncloc,log_bugs,log_vulnerabilities,log_code_smells,log_warnings_per_kloc,log_complexity_per_kloc,log_code_smells_per_kloc,did_duplicate_repo_time_source_key,analysis_ready_core_quality,analysis_ready_quality_rates,analysis_ready_did_base,analysis_ready_quality_did
Event-AHU/OpenEvDET,2024-06,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,11,37,6,2,1.0,OpenMOSS/Language-Model-SAEs; SlyyCooper/cursorrules-architect,1,202411.0,9445d9825b622f47cb581339ad6322d28c1f0609,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
Event-AHU/OpenEvDET,2024-07,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,14,181,55,2,1.0,OpenMOSS/Language-Model-SAEs; SlyyCooper/cursorrules-architect,1,202411.0,ef3b6902aabe5fcbb4bcbe52f0d7c160db58811b,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
Event-AHU/OpenEvDET,2024-08,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10,81,40,2,1.0,OpenMOSS/Language-Model-SAEs; SlyyCooper/cursorrules-architect,1,202411.0,fe248bc731b4b3bcfe7716459dd97b020d56379a,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
Event-AHU/OpenEvDET,2024-09,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,3,7,7,2,1.0,OpenMOSS/Language-Model-SAEs; SlyyCooper/cursorrules-architect,1,202411.0,b18ae742fd121615f5acaef3748206b4905e0314,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
Event-AHU/OpenEvDET,2024-11,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,8,229,204,2,1.0,OpenMOSS/Language-Model-SAEs; SlyyCooper/cursorrules-architect,1,202411.0,070bdea99e2bdc41c69d0c7e883b3b2ca19069ab,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
Event-AHU/OpenEvDET,2024-12,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,26,110,42,2,1.0,OpenMOSS/Language-Model-SAEs; SlyyCooper/cursorrules-architect,1,202411.0,7bee63b33fe810ff1c51382f567cfa9fb7b1a745,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
Event-AHU/OpenEvDET,2025-01,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1,2,2,1,1.0,OpenMOSS/Language-Model-SAEs; SlyyCooper/cursorrules-architect,1,202411.0,bd38079458e2d14cce522f1135b3fde0066ab432,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-09,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,1,1.0,leettools-dev/leettools,3,202502.0,4d2a96feb531d47bbe11bba02b77f9b9b9aadae9,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
NiceRingNode/LGGPT,2025-01,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,1,1.0,jmurth1234/ClaudePlayer,1,202502.0,ee2d46bb8d20bd894f56c7db278640f524d8068a,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
RobinWu218/ToST,2024-12,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2,2,0,1,1.0,OpenMOSS/Language-Model-SAEs; SlyyCooper/cursorrules-architect,2,202411.0,aa501aac276809d30d749b54dc299abef6267d23,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
RobinWu218/ToST,2025-01,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1,4,0,1,1.0,OpenMOSS/Language-Model-SAEs; SlyyCooper/cursorrules-architect,2,202411.0,556d812dc1fe318dc5d75c0aa689e532a66240fe,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
SEU-ProactiveSecurity-Group/LLM-PD,2024-12,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2,13,0,1,1.0,smartian1/tgtrader,2,202412.0,366e021b9b2d93ce08ed5488e524686a3bd61d63,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
TianxingChen/RoboTwin,2025-06,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2,3,1,1,1.0,VRSEN/agency-swarm,2,202409.0,8f0222543082deaa21e09a1f5c68e43544cf3309,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
emresen20/Pau-Bilgisayar-nots,2024-03,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10,0,0,1,1.0,ToolUse/tool-use-ai,2,202411.0,ea20069c80a8f9d2c11529b8dedbc2e0d1be9388,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
emresen20/Pau-Bilgisayar-nots,2024-04,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,3,0,0,1,1.0,ToolUse/tool-use-ai,2,202411.0,945236bcbb739b31135487d4dbe93cc35c0b1780,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
emresen20/Pau-Bilgisayar-nots,2024-05,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,4,0,0,1,1.0,ToolUse/tool-use-ai,2,202411.0,0706a69627b488a931cc12b1d61ce0cce4c3b6e9,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1,0,0,0,1,1,0,0.0,,0.0,,0.0,0.0,0.0,,,,0,0,0,1,0
