function_line_count,events,agc_events,hwc_events,repositories,share_of_total,cumulative_events_le,cumulative_share_le,agc_ratio
164,124,5,119,31,0.00027522039827055056,441677,0.9803106439269512,0.04032258064516129
165,133,6,127,31,0.0002951960723385744,441810,0.9806058399992897,0.045112781954887216
166,93,3,90,22,0.0002064152987029129,441903,0.9808122552979927,0.03225806451612903
167,83,2,81,23,0.00018422010529399753,441986,0.9809964754032867,0.024096385542168676
168,100,11,89,30,0.00022195193408915364,442086,0.9812184273373759,0.11
169,112,0,112,25,0.0002485861661798521,442198,0.9814670135035557,0.0
170,96,4,92,30,0.0002130738567255875,442294,0.9816800873602812,0.041666666666666664
171,94,8,86,20,0.00020863481804380443,442388,0.981888722178325,0.0851063829787234
172,82,2,80,30,0.000182000585953106,442470,0.9820707227642782,0.024390243902439025
173,92,8,84,26,0.00020419577936202135,442562,0.9822749185436402,0.08695652173913043
174,95,3,92,31,0.00021085433738469596,442657,0.9824857728810249,0.031578947368421054
175,98,6,92,30,0.0002175128954073706,442755,0.9827032857764323,0.061224489795918366
176,94,9,85,23,0.00020863481804380443,442849,0.9829119205944761,0.09574468085106383
177,81,3,78,24,0.00017978106661221445,442930,0.9830917016610883,0.037037037037037035
178,84,2,82,24,0.00018643962463488905,443014,0.9832781412857232,0.023809523809523808
179,93,3,90,24,0.0002064152987029129,443107,0.9834845565844261,0.03225806451612903
180,74,2,72,27,0.0001642444312259737,443181,0.983648801015652,0.02702702702702703
181,85,3,82,25,0.0001886591439757806,443266,0.9838374601596278,0.03529411764705882
182,108,3,105,29,0.00023970808881628594,443374,0.9840771682484442,0.027777777777777776
183,84,7,77,25,0.00018643962463488905,443458,0.984263607873079,0.08333333333333333
184,89,10,79,24,0.00019753722133934674,443547,0.9844611450944184,0.11235955056179775
185,81,6,75,27,0.00017978106661221445,443628,0.9846409261610306,0.07407407407407407
186,90,12,78,28,0.0001997567406802383,443718,0.9848406829017108,0.13333333333333333
187,85,3,82,28,0.0001886591439757806,443803,0.9850293420456866,0.03529411764705882
188,62,11,51,18,0.00013761019913527528,443865,0.9851669522448219,0.1774193548387097
189,67,2,65,23,0.00014870779583973294,443932,0.9853156600406616,0.029850746268656716
