repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages,status,target_dir,note,event_month,panel_first_month,panel_latest_month,panel_month_count,min_relative_month,max_relative_month,pre_panel_months,event_months,post_panel_months,balanced_window,adoption_month,adoption_date,adoption_commit,confidence,evidence_paths,event_month_clean,adoption_month_clean,month_difference,event_month_match,match_status
Meeting-Baas/speaking-meeting-bot,Python,11,92.0,2.0,464.0,Python: 120632; Dockerfile: 196,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Meeting-Baas_speaking-meeting-bot,ok,2024-11,2024-11,2025-06,8.0,0.0,7.0,0.0,1.0,7.0,0.0,2024-11,2024-11-16,1af24ba656283d18c28068385dd470ac1911c0fd,high,.cursorrules,2024-11,2024-11,0,True,matched
Mineru98/mysql-mcp-server,Python,20,62.0,1.0,157.0,Python: 49417; HTML: 44039; Dockerfile: 168,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Mineru98_mysql-mcp-server,ok,2025-03,2025-03,2025-03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-03,2025-03-16,3164c377ebecfdbbe5c09cdb17ccd1064ad8e0cf,high,.cursor/mcp.json,2025-03,2025-03,0,True,matched
Multi-V-VM/MVVM,Python,36,486.0,5.0,17522.0,Python: 361802; C++: 289239; C: 48692; CMake: 36606; Shell: 7471; Rust: 6798; Dockerfile: 2065,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Multi-V-VM_MVVM,ok,2025-03,2024-01,2025-07,19.0,-14.0,4.0,14.0,1.0,4.0,4.0,2025-03,2025-03-13,9b59629ec211f275bc9ab9d38014e617d6bbeef7,high,.cursorignore,2025-03,2025-03,0,True,matched
Ody-Z/Trading_Game_Simulator,Python,34,4.0,1.0,58.0,Python: 36842,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Ody-Z_Trading_Game_Simulator,ok,2025-02,2025-02,2025-02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-02,2025-02-25,e6ab1e65ed3d31d0f79753c474c594cd660760c7,high,.cursorrules,2025-02,2025-02,0,True,matched
OpenMOSS/Language-Model-SAEs,Python,105,577.0,8.0,10244.0,Python: 412037; TypeScript: 196983; JavaScript: 3620; CSS: 1618; HTML: 383,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/OpenMOSS_Language-Model-SAEs,ok,2024-12,2024-03,2025-07,17.0,-9.0,7.0,9.0,1.0,7.0,7.0,2024-12,2024-12-26,122339f3702eecfa420c3d018e376c8178d2d440,high,.cursorrules,2024-12,2024-12,0,True,matched
OpenSPP/openspp-modules,Python,27,3532.0,18.0,74717.0,Python: 1943049; HTML: 1226632; JavaScript: 345844; CSS: 7328; jq: 7065; SCSS: 6257,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/OpenSPP_openspp-modules,ok,2025-03,2024-01,2025-07,19.0,-14.0,4.0,14.0,1.0,4.0,4.0,2025-03,2025-03-17,775f783eaf9b4a1e9e292f651a65bc19bdfc72a4,high,.cursor/rules/00-cursor-rules-mdc.mdc;.cursor/rules/odoo17-openspp-general.mdc;.cursor/rules/openspp-fields-naming.mdc;.cursor/rules/openspp-testing-practices.mdc;.cursor/rules/openspp-view-customization.mdc,2025-03,2025-03,0,True,matched
PiotrCzapla/smart_dictation,Python,16,6.0,1.0,56.0,Python: 13433,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PiotrCzapla_smart_dictation,ok,2024-10,2024-10,2024-10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-10,2024-10-18,891dd05cf021959fa49fab86ce901a0f6b1b54f0,high,.cursorrules,2024-10,2024-10,0,True,matched
PostHog/posthog,Python,25398,22659.0,275.0,2044832.0,Python: 22679665; TypeScript: 20277702; Rust: 1867097; C++: 686533; JavaScript: 451915; SCSS: 324234; HTML: 144866; Shell: 93437; Go: 39846; Perl: 35898; MDX: 33574; ANTLR: 23533; Dockerfile: 17237; PLpgSQL: 9521; EJS: 4831; Smarty: 1517; CSS: 520; C: 285,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PostHog_posthog,ok,2025-02,2024-01,2025-08,20.0,-13.0,6.0,13.0,1.0,6.0,6.0,2025-02,2025-02-25,7f51a1d7e52de21d6d2282a63a72176c24177f96,high,.cursor/rules/django-python.mdc;.cursor/rules/react-typescript.mdc;.cursor/rules/rust.mdc;.cursorrules,2025-02,2025-02,0,True,matched
PrefectHQ/marvin,Python,5586,3817.0,52.0,64290.0,Python: 450250; Jinja: 2905; Just: 1103; Mako: 494,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PrefectHQ_marvin,ok,2025-01,2024-01,2025-08,20.0,-12.0,7.0,12.0,1.0,7.0,7.0,2025-01,2025-01-28,145ab83087f6b49854f7643981723d0b7e7c61d1,high,.cursor/rules/python-style.mdc,2025-01,2025-01,0,True,matched
ResearchHub/researchhub-backend,Python,40,9323.0,25.0,143476.0,Python: 3274338; HTML: 68020; CSS: 40495; Shell: 2343; Dockerfile: 524,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ResearchHub_researchhub-backend,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-11,15c3619aa72807e0f91c55db194d90c580ea1b0e,high,.cursor/rules/api-endpoints.mdc;.cursor/rules/database-schema.mdc;.cursor/rules/database-tables.mdc,2025-03,2025-03,0,True,matched
Scrapybara/codecapy,Python,159,35.0,1.0,765.0,Python: 64591; Dockerfile: 745,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Scrapybara_codecapy,ok,2025-01,2025-01,2025-08,8.0,0.0,7.0,0.0,1.0,7.0,0.0,2025-01,2025-01-21,a99eb37319092ae0cc9e84d41ea46d71a69a5f64,high,.cursorrules,2025-01,2025-01,0,True,matched
SlyyCooper/cursorrules-architect,Python,58,11.0,1.0,353.0,Python: 239669; HTML: 760,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/SlyyCooper_cursorrules-architect,ok,2024-12,2024-11,2025-04,6.0,-1.0,4.0,1.0,1.0,4.0,1.0,2024-12,2024-12-01,4b1aa977ce4410e197e09beeb9ed774ed1dd174e,high,.cursorrules,2024-12,2024-12,0,True,matched
TextGeneratorio/text-generator.io,Python,33,82.0,1.0,22315.0,Python: 1272211; JavaScript: 1103437; Jinja: 425188; CSS: 165487; Less: 101223; SCSS: 79489; CoffeeScript: 10449; Dockerfile: 7610; HTML: 4178; Shell: 2125,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/TextGeneratorio_text-generator.io,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-28,f330b4fd8064ea499385da03f3fc6c297916b674,high,.cursorrules,2025-03,2025-03,0,True,matched
The-Pocket/PocketFlow,Python,1615,489.0,7.0,42874.0,Python: 214630; Jupyter Notebook: 158647,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow,ok,2025-02,2024-12,2025-08,9.0,-2.0,6.0,2.0,1.0,6.0,2.0,2025-02,2025-02-22,7f0901bc6412bc21029bcfbcff2d4a5ab37750bb,high,assets/.cursorrules,2025-02,2025-02,0,True,matched
The-Pocket/PocketFlow-Template-Python,Python,37,30.0,1.0,5705.0,Python: 2026,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow-Template-Python,ok,2025-02,2025-02,2025-08,7.0,0.0,6.0,0.0,1.0,6.0,0.0,2025-02,2025-02-28,8cb840a210cc76bcdaa4c5769f5887512920e344,high,.cursorrules,2025-02,2025-02,0,True,matched
The-Pocket/Tutorial-AI-Paul-Graham,Python,34,24.0,1.0,67656.0,Python: 47415,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_Tutorial-AI-Paul-Graham,ok,2025-03,2025-02,2025-03,2.0,-1.0,0.0,1.0,1.0,0.0,0.0,2025-03,2025-03-06,2fb18f727d3941326baf01b4acf0ba10843a834e,high,.cursorrules,2025-03,2025-03,0,True,matched
The-Pocket/Tutorial-Cold-Email-Personalization,Python,17,8.0,1.0,593.0,Python: 34157,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_Tutorial-Cold-Email-Personalization,ok,2025-03,2025-03,2025-03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-03,2025-03-05,5694019f12b653006ac732c3079290f6a944eab7,high,.cursorrules,2025-03,2025-03,0,True,matched
The-Pocket/Tutorial-Cursor,Python,68,24.0,1.0,10925.0,Python: 67697; TypeScript: 10442; JavaScript: 990; HTML: 366; CSS: 59,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_Tutorial-Cursor,ok,2025-03,2025-03,2025-03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-03,2025-03-14,a877dfd3a37e9fb4a94daa2ee346edb6dcc2ac8a,high,.cursorrules,2025-03,2025-03,0,True,matched
TheSethRose/Agent-Chat,Python,16,8.0,1.0,897.0,Python: 22565,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/TheSethRose_Agent-Chat,ok,2024-10,2024-10,2024-10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-10,2024-10-20,c30a90b5d6bad4af242c9dd99ff40cd4497261c0,high,.cursorrules,2024-10,2024-10,0,True,matched
ToolUse/infinite-ai-seo,Python,27,9.0,2.0,5391.0,Python: 67331,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_infinite-ai-seo,ok,2025-02,2025-02,2025-03,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2025-02,2025-02-05,1e916b42ccd6fee681a49a8aa2fc11e5804268bc,high,.cursor/prd.md;.cursor/tasks.md,2025-02,2025-02,0,True,matched
ToolUse/tool-use-ai,Python,23,74.0,3.0,219.0,Python: 161046,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_tool-use-ai,ok,2024-12,2024-09,2025-04,8.0,-3.0,4.0,3.0,1.0,4.0,3.0,2024-12,2024-12-02,4c30fb7e9ac92ab042fda47dd243e8d6fe52fc5c,high,.cursorrules,2024-12,2024-12,0,True,matched
VRSEN/agency-swarm,Python,3605,574.0,16.0,5947.0,Python: 389581; Jupyter Notebook: 87169; HTML: 1038,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm,ok,2024-10,2024-01,2025-08,20.0,-9.0,10.0,9.0,1.0,10.0,9.0,2024-10,2024-10-10,a825dad9eeaf61a34489476d95914f02f3360140,high,.cursorrules,2024-10,2024-10,0,True,matched
VRSEN/agency-swarm-memory-demo,Python,36,12.0,2.0,42.0,Python: 10174,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm-memory-demo,ok,2025-02,2025-02,2025-02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-02,2025-02-19,83faed522d183fd03a535be7b983cb5fa2f05ee8,high,.cursorrules,2025-02,2025-02,0,True,matched
VRSEN/agency-voice-interface,Python,75,57.0,2.0,289.0,Python: 120175,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-voice-interface,ok,2024-10,2024-10,2025-01,4.0,0.0,3.0,0.0,1.0,3.0,0.0,2024-10,2024-10-11,d4c4213997c6873d9512b53fc8b5a28b4356c721,high,.cursorrules,2024-10,2024-10,0,True,matched
W1ndys/Blog,Python,43,763.0,10.0,208796.0,Python: 7701; Shell: 3447; JavaScript: 995; CSS: 478,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/W1ndys_Blog,ok,2025-01,2024-03,2025-06,16.0,-10.0,5.0,10.0,1.0,5.0,5.0,2025-01,2025-01-11,ecbf463ff3be26ee1f6c1a9cc7c1452a9c7a6253,high,.cursorrules,2025-01,2025-01,0,True,matched
WangQrkkk/ThinkingCursor,Python,27,5.0,1.0,11.0,Python: 3771,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/WangQrkkk_ThinkingCursor,ok,2025-01,2025-01,2025-02,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2025-01,2025-01-27,62b0e90497dfac0fcf5a7c6fa51220d21fbb53a9,high,.cursorrules,2025-01,2025-01,0,True,matched
airweave-ai/airweave,Python,564,472.0,6.0,3418.0,Python: 1019614; TypeScript: 619545; MDX: 30800; CSS: 8216; Shell: 5094; HTML: 1229; Dockerfile: 1075; JavaScript: 1073; Mako: 494,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/airweave-ai_airweave,ok,2025-03,2024-12,2025-08,9.0,-3.0,5.0,3.0,1.0,5.0,3.0,2025-03,2025-03-03,23759bd5586790d03b549156b5e2d577ec98c10f,high,.cursor/rules/airweave-overview.mdc;.cursor/rules/backend-rules.mdc;.cursor/rules/frontend-rules.mdc;.cursor/rules/repo-structure.mdc;.cursor/rules/source-integration-rules.mdc;.cursor/rules/sync-architecture.mdc,2025-03,2025-03,0,True,matched
allthingslinux/tux,Python,93,1908.0,35.0,11944.0,Python: 742055; Dockerfile: 2806,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/allthingslinux_tux,ok,2025-02,2024-01,2025-08,20.0,-13.0,6.0,13.0,1.0,6.0,6.0,2025-02,2025-02-13,11f4188e92297aebe28e2752d78d4f1ca63d706d,high,.cursorrules,2025-02,2025-02,0,True,matched
appl-team/appl,Python,243,24.0,2.0,9936.0,Python: 351571; HTML: 609; Shell: 168,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/appl-team_appl,ok,2024-12,2024-05,2025-01,9.0,-7.0,1.0,7.0,1.0,1.0,1.0,2024-12,2024-12-16,4fbdab8a999375dcf9f6ac7c9ca00333ec3dd6f2,high,.cursorrules,2024-12,2024-12,0,True,matched
arjitvermaco/DbDost,Python,58,2.0,1.0,26.0,Python: 34174; HTML: 25715,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/arjitvermaco_DbDost,ok,2024-11,2024-11,2024-11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-11,2024-11-08,4826627dec1c92f538a52448e2101becc3b5e3f3,high,.cursorrules,2024-11,2024-11,0,True,matched
askjohngeorge/pipecat-lead-qualifier,Python,14,396.0,1.0,22388.0,Python: 111839; TypeScript: 12206; CSS: 1890; Dockerfile: 638; JavaScript: 528,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/askjohngeorge_pipecat-lead-qualifier,ok,2025-01,2025-01,2025-02,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2025-01,2025-01-20,dbc847a128d0f2e1757d9e676ea150b0e2acf400,high,.cursorrules,2025-01,2025-01,0,True,matched
assafelovic/gpt-researcher,Python,20634,2492.0,146.0,34132.0,Python: 431237; TypeScript: 114500; CSS: 18459; JavaScript: 17539; HTML: 11108; Dockerfile: 2886; Shell: 1214; Procfile: 78,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/assafelovic_gpt-researcher,ok,2025-01,2024-01,2025-08,20.0,-12.0,7.0,12.0,1.0,7.0,7.0,2025-01,2025-01-08,018652cc424b378d4ce6bdba2ccad0569cdfbaea,high,.cursorrules,2025-01,2025-01,0,True,matched
atopile/atopile,Python,2054,2489.0,32.0,108255.0,Python: 2160023; C++: 103410; TypeScript: 30583; ANTLR: 11517; CMake: 2916; JavaScript: 2040; Shell: 397,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/atopile_atopile,ok,2025-01,2024-01,2025-08,20.0,-12.0,7.0,12.0,1.0,7.0,7.0,2025-01,2025-01-13,403b9f95ad2888cbaa65d75dd1dd64fde4d70cea,high,.cursorrules,2025-01,2025-01,0,True,matched
c4fun/tell-stories-webui,Python,40,18.0,1.0,10875.0,Python: 146252,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/c4fun_tell-stories-webui,ok,2025-02,2025-02,2025-04,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2025-02,2025-02-02,0a3a1c7de1b1006babcebf3fe7e00aaeef5c131e,high,.cursorrules,2025-02,2025-02,0,True,matched
cbardyn/ai-swiss-workflows,Python,54,7.0,1.0,4030.0,Python: 99395,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cbardyn_ai-swiss-workflows,ok,2024-12,2024-12,2024-12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-12,2024-12-02,4cf41f10b31aa01525dc08ccb725dfa418f005c2,high,.cursorrules;_ai_workflows_tutorials/1_cursor_ai/1_interface_et_fonctionnalités/.cursorignore;_ai_workflows_tutorials/1_cursor_ai/1_interface_et_fonctionnalités/.cursorrules;_ai_workflows_tutorials/1_cursor_ai/2_template_nouveau_projet/.cursorignore;_ai_workflows_tutorials/1_cursor_ai/2_template_nouveau_projet/.cursorrules;_ai_workflows_tutorials/1_cursor_ai/3_exemple_de_projet_complexe/.cursorignore;_ai_workflows_tutorials/1_cursor_ai/3_exemple_de_projet_complexe/.cursorrules;_ai_workflows_tutorials/2_ai_workflows/.cursorignore;_ai_workflows_tutorials/2_ai_workflows/.cursorrules,2024-12,2024-12,0,True,matched
cgevans/qslib,Python,10,447.0,2.0,1237.0,Python: 395024; Rust: 206027,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cgevans_qslib,ok,2025-02,2024-01,2025-08,20.0,-13.0,6.0,13.0,1.0,6.0,6.0,2025-02,2025-02-03,2796502580c3c1dda9f4b07284249ed3ffa540fb,high,.cursorrules,2025-02,2025-02,0,True,matched
codingforentrepreneurs/Cursor-Django,Python,13,32.0,1.0,77.0,Python: 25063; HTML: 16864,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/codingforentrepreneurs_Cursor-Django,ok,2024-10,2024-10,2024-10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-10,2024-10-03,4bd50c1f908835a2b955bfe2b3e603ac00b4afe3,high,.cursorrules,2024-10,2024-10,0,True,matched
