exclusion_stage,exclusion_reason,scope_role,dataset_source,repo_name,time,event,time_to_event,python_eligible,scan_status,commits,lines_added,age,ncloc,ncloc_original,ncloc_recovered,ncloc_source,ncloc_recovery_applied,ncloc_recovery_snapshot_key,contributors,stars,issues,latest_commit_effective,commit_resolution
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Meeting-Baas/speaking-meeting-bot,2025-06,2024-11,7.0,1,success_python,26.0,3847.0,201,3477.0,3477.0,,replication_panel,0,,3.0,0,0,478051bb3cecaa2bed0258b1df36d283c85911cf,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Mineru98/mysql-mcp-server,2025-03,2025-03,0.0,1,success_python,62.0,4696.0,0,2043.0,2043.0,,replication_panel,0,,2.0,16,4,e183dda6defcde596631e6cf1d5764c988a043f2,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Ody-Z/Trading_Game_Simulator,2025-02,2025-02,0.0,1,success_python,4.0,37.0,0,599.0,599.0,,replication_panel,0,,1.0,28,0,50bbbe078988b2f37720c247a12d2a8368e3e283,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,PiotrCzapla/smart_dictation,2024-10,2024-10,0.0,1,success_python,6.0,2559.0,0,351.0,351.0,,replication_panel,0,,2.0,1,0,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Scrapybara/codecapy,2025-01,2025-01,0.0,1,success_python,7.0,1515.0,0,864.0,864.0,,replication_panel,0,,1.0,0,0,aaf4eb1efe460f71c8ed50794b33fa19ce54b77e,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Scrapybara/codecapy,2025-02,2025-01,1.0,1,success_python,28.0,2795.0,0,1454.0,1454.0,,replication_panel,0,,1.0,110,0,5bfd39ebf9156b54bc2fdaeed7fa61d789924055,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Scrapybara/codecapy,2025-03,2025-01,2.0,1,success_python,0.0,0.0,25,1454.0,1454.0,,replication_panel,0,,0.0,28,0,5bfd39ebf9156b54bc2fdaeed7fa61d789924055,carried_forward
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Scrapybara/codecapy,2025-04,2025-01,3.0,1,success_python,0.0,0.0,56,1454.0,1454.0,,replication_panel,0,,0.0,12,0,5bfd39ebf9156b54bc2fdaeed7fa61d789924055,carried_forward
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Scrapybara/codecapy,2025-05,2025-01,4.0,1,success_python,0.0,0.0,86,1454.0,1454.0,,replication_panel,0,,0.0,6,0,5bfd39ebf9156b54bc2fdaeed7fa61d789924055,carried_forward
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Scrapybara/codecapy,2025-06,2025-01,5.0,1,success_python,0.0,0.0,117,1454.0,1454.0,,replication_panel,0,,0.0,3,0,5bfd39ebf9156b54bc2fdaeed7fa61d789924055,carried_forward
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Scrapybara/codecapy,2025-07,2025-01,6.0,1,success_python,0.0,0.0,147,1454.0,1454.0,,replication_panel,0,,0.0,4,0,5bfd39ebf9156b54bc2fdaeed7fa61d789924055,carried_forward
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,Scrapybara/codecapy,2025-08,2025-01,7.0,1,success_python,0.0,0.0,178,1454.0,1454.0,,replication_panel,0,,0.0,9,0,5bfd39ebf9156b54bc2fdaeed7fa61d789924055,carried_forward
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,The-Pocket/PocketFlow-Template-Python,2025-02,2025-02,0.0,1,success_python,7.0,2372.0,0,33.0,33.0,,replication_panel,0,,2.0,0,0,8b1d9729b37469afab439854ec4ea67706867378,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,The-Pocket/PocketFlow-Template-Python,2025-03,2025-02,1.0,1,success_python,24.0,9633.0,0,45.0,45.0,,replication_panel,0,,3.0,33,0,16714fcc24a8447040363e7e2806cdf2d8b6dcfa,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,The-Pocket/PocketFlow-Template-Python,2025-04,2025-02,2.0,1,success_python,3.0,3331.0,31,45.0,45.0,,replication_panel,0,,2.0,104,1,8a4a1b08a2ccf767f0a4c503ccf6a8a6ab77e787,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,The-Pocket/PocketFlow-Template-Python,2025-05,2025-02,3.0,1,success_python,5.0,17.0,61,48.0,48.0,,replication_panel,0,,3.0,63,0,bb859e5af285f0f047ec7deefa7ebcb8240385b3,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,The-Pocket/PocketFlow-Template-Python,2025-06,2025-02,4.0,1,success_python,3.0,3468.0,92,48.0,48.0,,replication_panel,0,,1.0,25,0,893901c7e1a213e2c62f8d68451836002ac54416,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,The-Pocket/PocketFlow-Template-Python,2025-07,2025-02,5.0,1,success_python,2.0,1677.0,122,48.0,48.0,,replication_panel,0,,1.0,20,1,9eacaaa755698da13bfbe0f766735cd190c479bc,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,The-Pocket/PocketFlow-Template-Python,2025-08,2025-02,6.0,1,success_python,2.0,855.0,153,48.0,48.0,,replication_panel,0,,1.0,15,0,680a1b2f54645818d0eac7880347d31a8cb4a115,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,The-Pocket/Tutorial-Cold-Email-Personalization,2025-03,2025-03,0.0,1,success_python,8.0,577.0,0,599.0,599.0,,replication_panel,0,,2.0,4,0,200903e33e7756a880160f8b7c5d6e5dd51794a6,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,The-Pocket/Tutorial-Cursor,2025-03,2025-03,0.0,1,success_python,24.0,7493.0,0,1411.0,1411.0,,replication_panel,0,,2.0,34,0,0e69c81e74a3927d34b760beaca3a7775d650051,observed
