control_repo,matched_treatment_count_all,matched_treatment_count_candidates,candidate_treatment_month_slots,candidate_python_eligible_slots,control_clone_found,pair_statuses,monthly_history_rows,monthly_python_rows,monthly_no_python_rows,monthly_unknown_rows,first_month,last_month,control_key,matched_estimable_treatment_count,linked_to_estimable_treatment,panel_row_count,panel_first_month,panel_last_month,python_panel_row_count,python_panel_first_month,python_panel_last_month,model_a_complete_row_count,model_a_complete_first_month,model_a_complete_last_month,model_a_estimable_row_count,model_a_estimable_first_month,model_a_estimable_last_month,panel_no_python_rows,panel_python_rows,panel_unknown_python_rows,control_has_adoption_event,control_event_effective,panel_post_adoption_rows,control_adoption_signal_without_event_rows,panel_post_adoption_python_rows,control_pool_status
Drchip61/Dual_SAM,1,1,8,8,1,aligned,10,10,0,0,2024-03,2024-12,drchip61/dual_sam,1,1,10,2024-03,2024-12,10,2024-03,2024-12,10,2024-03,2024-12,10,2024-03,2024-12,0,10,0,0,,0,0,0,model_a_estimable_available
EURAC-EEBgroup/brick-llm,1,1,7,7,1,aligned,9,9,0,0,2024-09,2025-05,eurac-eebgroup/brick-llm,1,1,9,2024-09,2025-05,9,2024-09,2025-05,9,2024-09,2025-05,9,2024-09,2025-05,0,9,0,0,,0,0,0,model_a_estimable_available
Envious-Data/Env-KB,1,1,15,15,1,aligned,39,38,1,0,2021-02,2024-04,envious-data/env-kb,1,1,4,2024-01,2024-04,4,2024-01,2024-04,1,2024-04,2024-04,1,2024-04,2024-04,0,4,0,0,,0,0,0,model_a_estimable_available
Event-AHU/OpenEvDET,2,2,23,9,1,aligned,15,7,8,0,2024-06,2025-08,event-ahu/openevdet,2,1,15,2024-06,2025-08,7,2025-02,2025-08,7,2025-02,2025-08,7,2025-02,2025-08,8,7,0,0,,0,0,0,model_a_estimable_available
FFY0/AdaKV,1,1,14,14,1,aligned,13,13,0,0,2024-06,2025-06,ffy0/adakv,1,1,13,2024-06,2025-06,13,2024-06,2025-06,13,2024-06,2025-06,13,2024-06,2025-06,0,13,0,0,,0,0,0,model_a_estimable_available
FMInference/FlexiGen,1,1,1,1,1,aligned,21,21,0,0,2023-02,2024-10,fminference/flexigen,0,0,10,2024-01,2024-10,10,2024-01,2024-10,7,2024-04,2024-10,0,,,0,10,0,0,,0,0,0,not_linked_to_estimable_treatment
FaceAdapter/Face-Adapter,1,1,20,16,1,aligned,1,1,0,0,2024-05,2024-05,faceadapter/face-adapter,1,1,1,2024-05,2024-05,1,2024-05,2024-05,1,2024-05,2024-05,1,2024-05,2024-05,0,1,0,0,,0,0,0,model_a_estimable_available
FlipperPA/peregrine,1,1,20,20,1,aligned,87,87,0,0,2017-10,2024-12,flipperpa/peregrine,1,1,12,2024-01,2024-12,12,2024-01,2024-12,1,2024-12,2024-12,1,2024-12,2024-12,0,12,0,0,,0,0,0,model_a_estimable_available
FolhaSP/mosaico,1,1,20,10,1,aligned,9,9,0,0,2024-11,2025-07,folhasp/mosaico,1,1,9,2024-11,2025-07,9,2024-11,2025-07,9,2024-11,2025-07,9,2024-11,2025-07,0,9,0,0,,0,0,0,model_a_estimable_available
GispoCoding/qgis-venv-creator,1,1,19,18,1,aligned,2,2,0,0,2024-02,2024-03,gispocoding/qgis-venv-creator,1,1,2,2024-02,2024-03,2,2024-02,2024-03,2,2024-02,2024-03,2,2024-02,2024-03,0,2,0,0,,0,0,0,model_a_estimable_available
