repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages
ericmjl/pyds-cli,Python,45,454.0,2.0,1380.0,Python: 41461; Dockerfile: 5244; Jupyter Notebook: 878; CSS: 607; Makefile: 159; JavaScript: 21
ericyuegu/hal,Python,25,757.0,1.0,427669.0,Python: 569174; Shell: 2169
ericzakariasson/uber-eats-mcp-server,Python,148,5.0,2.0,11.0,Python: 5473
ethereum/pm,Python,1678,2272.0,98.0,8869.0,Python: 1188
ethyca/fides,Python,392,3002.0,62.0,115471.0,Python: 7618523; TypeScript: 5029681; JavaScript: 365464; CSS: 39166; HTML: 33307; SCSS: 18712; Dockerfile: 4481; Jinja: 3618; Mako: 494
ezyang/codemcp,Python,962,1019.0,6.0,1483.0,Python: 487727; Shell: 1540
gerred/mcp-server-replicate,Python,10,26.0,4.0,202.0,Python: 154518; Dockerfile: 808
getsentry/sentry,Python,40425,82057.0,337.0,590738.0,Python: 42565515; TypeScript: 33301709; HTML: 265688; Less: 219675; Lua: 74682; JavaScript: 55575; PEG.js: 20144; Shell: 17052; Makefile: 7073; Dockerfile: 4296; EJS: 1803; Ruby: 708
grapeot/devin.cursorrules,Python,5231,45.0,10.0,4811.0,Python: 51939
grapeot/web_agentic_ai,Python,26,73.0,1.0,1306.0,Python: 180862; JavaScript: 84998; CSS: 24597; HTML: 9056
huggingface/nanotron,Python,1740,1223.0,25.0,15107.0,Python: 1259622; Makefile: 487
hyperb1iss/droidmind,Python,25,59.0,1.0,586.0,Python: 258301
ifokeev/telegram-ai-agent,Python,27,18.0,1.0,173.0,Python: 129315; Shell: 1967
ilanbenb/wa_llm,Python,12,133.0,2.0,569.0,Python: 108183; Jupyter Notebook: 10435; Dockerfile: 855; Mako: 652
instructor-ai/instructor,Python,9933,1184.0,199.0,133554.0,Python: 627215; Shell: 81
jmurth1234/ClaudePlayer,Python,21,12.0,1.0,639.0,Python: 81758
keephq/keep,Python,9804,2420.0,105.0,82462.0,Python: 3885838; TypeScript: 2204593; JavaScript: 20736; CSS: 18662; Shell: 13198; SCSS: 3347; Mako: 551
kenshiro-o/nagato-ai,Python,115,115.0,1.0,38216.0,Python: 614025; Makefile: 1196
kevon217/custom-agency-swarms,Python,14,21.0,1.0,482.0,Python: 94888
leettools-dev/leettools,Python,304,127.0,5.0,1456.0,Python: 2179551; Shell: 19578; Dockerfile: 2722
loftwah/auto-jira,Python,10,34.0,1.0,74.0,Python: 43547
lss233/kirara-ai,Python,14838,1546.0,38.0,38646.0,Python: 741320; Dockerfile: 1644; Shell: 831; Mako: 689
martinnormark/neural-mesh-simplification,Python,28,143.0,2.0,180.0,Python: 127092; Jupyter Notebook: 10204
matebenyovszky/healing-agent,Python,16,18.0,1.0,108.0,Python: 88166
micic-mihajlo/Datalore,Python,40,13.0,1.0,251.0,Python: 43412
namuan/trading-utils,Python,200,816.0,1.0,10017.0,Python: 763806; Shell: 4833; Makefile: 2955
neal-zhu/sentinel,Python,44,6.0,1.0,130.0,Python: 295266
nextml-code/pytorch-datastream,Python,33,133.0,3.0,907.0,Python: 74062
osomai/servicenow-mcp,Python,27,29.0,4.0,193.0,Python: 610912; Shell: 3002; Dockerfile: 344
panther-labs/panther-analysis,Python,368,1369.0,110.0,6377.0,Python: 895993; Makefile: 2424; Dockerfile: 1298; Shell: 709
raphaelmansuy/code2prompt,Python,818,141.0,3.0,1571.0,Python: 142563; Jinja: 18577; Shell: 54
raphaelmansuy/iteration_of_tought,Python,39,21.0,1.0,252.0,Python: 16765
samuelgursky/davinci-resolve-mcp,Python,45,13.0,2.0,421.0,Python: 414022; Shell: 101565; Batchfile: 25690; PowerShell: 16183
sbomify/sbomify,Python,24,83.0,3.0,6882.0,Python: 919400; Vue: 120438; HTML: 112165; TypeScript: 37940; CSS: 10532; JavaScript: 4572; Dockerfile: 1441; Shell: 677
sirkirby/unifi-network-rules,Python,21,42.0,1.0,305.0,Python: 474321
smartian1/tgtrader,Python,27,231.0,1.0,12606.0,Python: 659346; HTML: 294605; Jupyter Notebook: 21893
smorin/py-launch-blueprint,Python,11,130.0,6.0,635.0,Python: 22846; Just: 4749; Makefile: 4132; PowerShell: 683
sshtunnelvision/MCP-LOGO-GEN,Python,159,15.0,1.0,59958.0,Python: 26462; Dockerfile: 161
synaptiai/prompt-decorators,Python,14,122.0,2.0,9425.0,Python: 527011; Shell: 402
terryyin/lizard,Python,1938,1117.0,49.0,2881.0,Python: 530214; Less: 175512; HTML: 102979; JavaScript: 77780; PHP: 4914; CSS: 4084; XSLT: 2233; Makefile: 1026; Nix: 896; Shell: 504; C: 76
tmux-python/tmuxp,Python,4177,4244.0,70.0,8245.0,Python: 302141; Makefile: 1869
tony/django-docutils,Python,11,1427.0,4.0,2039.0,Python: 107865; Makefile: 1383; HTML: 353
tony/django-slugify-processor,Python,16,964.0,5.0,1960.0,Python: 8025; Makefile: 1437
trycua/cua,Python,3101,154.0,8.0,4209.0,Python: 597006; Swift: 222822; Shell: 32179; Jupyter Notebook: 30618; Dockerfile: 1820
tsukumijima/KonomiTV,Python,725,2994.0,18.0,161519.0,Python: 1295281; Vue: 769210; TypeScript: 686372; HTML: 7579; Dockerfile: 6249; SCSS: 2580; JavaScript: 83
ttmouse/Wispr-Flow-CN,Python,19,68.0,1.0,3182.0,Python: 203934; Shell: 8496
tw-haiven/haiven,Python,129,1331.0,10.0,43524.0,Python: 320430; JavaScript: 277810; CSS: 135713; Shell: 2565; HTML: 1992; Dockerfile: 1452
utensils/mcp-nixos,Python,28,163.0,1.0,898.0,Python: 744386; Nix: 26939; Shell: 169
vcs-python/vcspull,Python,207,2296.0,6.0,5726.0,Python: 86358; Makefile: 1559; Shell: 1347
vietanhdev/anylabeling,Python,2594,235.0,8.0,11611.0,Python: 1955730; Shell: 739
wandb/mcp-server,Python,17,11.0,1.0,45.0,Python: 55308
wdm0006/elote,Python,24,77.0,4.0,8927.0,Python: 442959; Makefile: 3284
wdm0006/git-pandas,Python,189,130.0,4.0,6650.0,Python: 203132; Makefile: 2862
wdm0006/pygeohash,Python,159,81.0,11.0,6309.0,Python: 91294; C: 10873; Makefile: 3444
whiteducksoftware/flock,Python,29,241.0,4.0,46725.0,Python: 523435
xzq-xu/jvm-mcp-server,Python,37,31.0,3.0,251.0,Python: 69805
yagami1997/CursorMind,Python,127,31.0,1.0,373.0,Python: 124290; Shell: 17567
yagami1997/TradeMind,Python,78,255.0,2.0,2642.0,Python: 509280; JavaScript: 157653; Shell: 17636
yeagerai/genlayer-studio,Python,31,357.0,16.0,3845.0,Python: 521092; Vue: 186634; Solidity: 154122; TypeScript: 153491; JavaScript: 28075; CSS: 3092; Shell: 2476; Lua: 2112; HTML: 1350; Mako: 635; Dockerfile: 447
zauberzeug/nicegui,Python,11644,5924.0,151.0,63663.0,Python: 1124032; JavaScript: 81676; Shell: 8537; CSS: 6886; Dockerfile: 3867; Vue: 3227; HTML: 3035
zenbase-ai/py-priompt,Python,55,12.0,1.0,82.0,Python: 190347
zilliztech/mcp-server-milvus,Python,45,23.0,3.0,7382.0,Python: 24557
Dror-Bengal/CursorFocus,Python,73,18.0,2.0,69.0,Python: 101281; Shell: 4342
The-Pocket-World/PocketManus,Python,152,382.0,44.0,18656.0,Python: 568817; Jupyter Notebook: 142650; Dockerfile: 305
W1ndys/W1ndysBot,Python,24,65.0,1.0,4108.0,Python: 125508; Shell: 20367; Batchfile: 2209
loning/universe,Python,16,665.0,2.0,9115.0,Python: 35649
stampchain-io/btc_stamps,Python,17,2182.0,10.0,80826.0,Python: 1126403; Rust: 49705; Shell: 29706; Dockerfile: 3243; Makefile: 1803
