repo_name,time,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,issue_comments,age,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,dataset_source,other_agents,high_confidence,latest_commit_original,latest_commit_effective,latest_commit,commit_resolution,months_since_observed_commit,clone_path,clone_exists,is_git_repository,commit_exists,tracked_file_count,python_file_count_all,python_file_count_source,python_file_count_excluded,has_python,has_python_source,python_eligible,python_path_samples,excluded_python_path_samples,scan_status,error_message,eligibility_join_status
Apocrathia/home-assistant-config,2025-02,1,2025-02,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,7.0,207.0,78.0,1.0,0,0,0,2467,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,False,True,752ba2d5b9ca6bf5b909cf1374aacb9f4809464a,752ba2d5b9ca6bf5b909cf1374aacb9f4809464a,752ba2d5b9ca6bf5b909cf1374aacb9f4809464a,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2025-03,1,2025-02,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,4.0,16.0,9.0,1.0,0,0,0,2495,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,False,False,8b66b9e3b784774ae1ee8cb39da7ccc9847981e0,8b66b9e3b784774ae1ee8cb39da7ccc9847981e0,8b66b9e3b784774ae1ee8cb39da7ccc9847981e0,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2025-04,1,2025-02,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,0.0,0.0,0.0,0.0,0,0,0,2526,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,False,False,,8b66b9e3b784774ae1ee8cb39da7ccc9847981e0,8b66b9e3b784774ae1ee8cb39da7ccc9847981e0,carried_forward,1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2025-05,1,2025-02,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,1.0,1.0,1.0,1.0,0,0,0,2556,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,False,False,b7ca64b95ae0af3ec3d7843f5f3be6a84dd04aff,b7ca64b95ae0af3ec3d7843f5f3be6a84dd04aff,b7ca64b95ae0af3ec3d7843f5f3be6a84dd04aff,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2025-06,1,2025-02,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,1.0,14.0,2.0,1.0,0,0,0,2587,57.0,0.0,0.0,1.0,0.0,27.8,19.0,8.0,,,,treatment,False,False,840bf311a24b770f0bddce641acfcc26f8c852d3,840bf311a24b770f0bddce641acfcc26f8c852d3,840bf311a24b770f0bddce641acfcc26f8c852d3,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2025-07,1,2025-02,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,26.0,855.0,159.0,3.0,0,0,1,2617,57.0,0.0,0.0,1.0,0.0,27.8,19.0,8.0,,,,treatment,False,False,87df5e43eff43caa79cc09749b9a6c1368729d3e,87df5e43eff43caa79cc09749b9a6c1368729d3e,87df5e43eff43caa79cc09749b9a6c1368729d3e,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,137,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2025-08,1,2025-02,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,7.0,133.0,35.0,3.0,0,0,0,2648,57.0,0.0,0.0,1.0,0.0,27.8,19.0,8.0,,,,treatment,False,False,56ce01ca8b29b3fd1acec9be4f6835c5047154f6,56ce01ca8b29b3fd1acec9be4f6835c5047154f6,56ce01ca8b29b3fd1acec9be4f6835c5047154f6,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,137,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,1,2025-03,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,64.0,357094.0,344695.0,3.0,12,0,0,0,6573.0,2.0,0.0,38.0,12.1,7.9,649.0,496.0,,,,treatment,True,True,8a14987a286e25f89700138a78d8383f04a0115a,8a14987a286e25f89700138a78d8383f04a0115a,8a14987a286e25f89700138a78d8383f04a0115a,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Aronnaxx_Behold-Urwar-Droid-Concepts,1,1,1,82,13,13,0,1,1,1,app.py | app/__init__.py | app/config/__init__.py | app/config/duck_config.py | app/routes/duck.py,,success_python,,matched_repo_month
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-04,1,2025-03,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,2.0,3.0,1.0,1.0,1,0,0,13,6573.0,2.0,0.0,38.0,12.1,7.9,649.0,496.0,,,,treatment,True,False,89ec1d902b5b85a3b89144a32b132bd87b662f58,89ec1d902b5b85a3b89144a32b132bd87b662f58,89ec1d902b5b85a3b89144a32b132bd87b662f58,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Aronnaxx_Behold-Urwar-Droid-Concepts,1,1,1,82,13,13,0,1,1,1,app.py | app/__init__.py | app/config/__init__.py | app/config/duck_config.py | app/routes/duck.py,,success_python,,matched_repo_month
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-05,1,2025-03,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,0.0,0.0,0.0,0.0,0,0,0,0,6573.0,2.0,0.0,38.0,12.1,7.9,649.0,496.0,,,,treatment,True,False,,89ec1d902b5b85a3b89144a32b132bd87b662f58,89ec1d902b5b85a3b89144a32b132bd87b662f58,carried_forward,1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Aronnaxx_Behold-Urwar-Droid-Concepts,1,1,1,82,13,13,0,1,1,1,app.py | app/__init__.py | app/config/__init__.py | app/config/duck_config.py | app/routes/duck.py,,success_python,,matched_repo_month
